| Government | Panama |
| Political parties and leaders: | Democratic Change or CD [Ricardo MARTINELLI]; Democratic Revolutionary Party or PRD [Francisco SANCHEZ Cardenas]; Nationalist Republican Liberal Movement or MOLIRENA [Sergio GONZALEZ-Ruiz]; Panamenista Party [Juan Carlos VARELA Rodriguez] (formerly the Arnulfista Party); Patriotic Union Party or UP (combination of the Liberal National Party or PLN and the Solidarity Party or PS)[Anibal GALINDO]; Popular Party or PP [Milton HENRIQUEZ] (formerly Christian Democratic Party or PDC) |
| Political parties and leaders: | note: The Patriotic Union Party (UP) has now merged with Democratic Change (CD) |
| Political pressure groups and leaders: | Chamber of Commerce; Concertacion Nacional (mechanism for government of Panama to formally dialogue with representatives of civil society); National Council of Organized Workers or CONATO; National Council of Private Enterprise or CONEP; National Union of Construction and Similar Workers (SUNTRACS); Panamanian Association of Business Executives or APEDE; Panamanian Industrialists Society or SIP; Workers Confederation of the Republic of Panama or CTRP |
| International organization participation: | BCIE, CAN (observer), CD, CELAC, CSN (observer), FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, NAM, OAS, OPANAL, OPCW, PCA, SICA, UN, UNASUR (observer), UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mario Ernesto JARAMILLO Castillo |
| Diplomatic representation in the US: | chancery: 2862 McGill Terrace NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-1407 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-8416 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Houston, Miami, New Orleans, New York, Philadelphia, San Diego, San Francisco, Tampa |
| Diplomatic representation from the US: | chief of mission: Ambassador Jonathan D. FARRAR |
| Diplomatic representation from the US: | embassy: Edificio 783, Avenida Demetrio Basilio Lakas Panama, Apartado Postal 0816-02561, Zona 5, Panama City |
| Diplomatic representation from the US: | mailing address: American Embassy Panama, Unit 0945, APO AA 34002 |
| Diplomatic representation from the US: | telephone: [507] 207-7000 |
| Diplomatic representation from the US: | FAX: [507] 317-5568 |
| Flag description: | divided into four, equal rectangles; the top quadrants are white (hoist side) with a blue five-pointed star in the center and plain red; the bottom quadrants are plain blue (hoist side) and white with a red five-pointed star in the center; the blue and red colors are those of the main political parties (Conservatives and Liberals respectively) and the white denotes peace between them; the blue star stands for the civic virtues of purity and honesty, the red star signifies authority and law |
| National symbol(s): | harpy eagle |
| National anthem: | name: "Himno Istemno" (Isthmus Hymn) |
| National anthem: | lyrics/music: Jeronimo DE LA OSSA/Santos A. JORGE |
| National anthem: | note: adopted 1925 |
