| Government | Maldives |
| Legislative branch: | election results: percent of vote - PPM 40%, MDP 28.2%, JP 18.8%, MDA 5.9%, other 1.2%, independents 5.9%; seats by party - PPM 33, MDP 26, JP 15, MDA 5, other 1, independents 5 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 6 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president in consultation with the Judicial Service Commission - a separate 10-member body of selected high government officials and the public - and upon confirmation by voting members of the People's Majlis; judges serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Court; Criminal, Civil, Family, Juvenile, and Drug Courts; Magistrate Courts (on each of the inhabited islands) |
| Political parties and leaders: | note: |
| Political parties and leaders: | political parties with an asterisk were dissolved on 7 February 2014 by the Elections Commission under the Political Parties Act, which requires a minimum membership; the status of these parties is unresolved, as the Supreme Court later ruled the dissolution invalid |
| Political parties and leaders: | Adhaalath (Justice) Party or AP [Sheikh Imran ABDULLA] |
| Political parties and leaders: | Dhivehi Qaumee Party or DQP [Hassan SAEED]* |
| Political parties and leaders: | Dhivehi Rayyithunge Party (Maldivian People's Party) or DRP |
| Political parties and leaders: | Gaumee Itthihaad Party (National Unity Party) or GIP [Mohamed WAHEED] |
| Political parties and leaders: | Islamic Democratic Party or IDP* |
| Political parties and leaders: | Maldives Development Alliance or MDA [Ahmed SIYAM] |
| Political parties and leaders: | Maldives National Congress or MNC [Ali AMJAD]* |
| Political parties and leaders: | Maldives Reform Movement or MRM [Mohamed MUNAWWAR] |
| Political parties and leaders: | Maldivian Democratic Party or MDP [Reeko Moosa MANIKU] |
| Political parties and leaders: | Maldivian Labor Party or MLP [Ahmed MOOSA]* |
| Political parties and leaders: | Maldivian Social Democratic Party or MSDP [Reeko Ibrahim MANIKU]* |
| Political parties and leaders: | Meedhu Dhaaira |
| Political parties and leaders: | People's Alliance or PA [Moosa ZAMEERI]* |
| Political parties and leaders: | People's Party or PP [Ahmed RIYAZ]* |
| Political parties and leaders: | Poverty Alleviation Party or PAP |
| Political parties and leaders: | Progressive Party of Maldives or PPM [Maumoon Abdul GAYOOM] |
| Political parties and leaders: | Republican (Jumhooree) Party or JP [Qasim IBRAHIM] |
| Political parties and leaders: | Social Liberal Party or SLP [Mazian RASHEED]* |
| Political pressure groups and leaders: | other: various unregistered political parties |
| International organization participation: | ADB, AOSIS, C, CP, FAO, G-77, IBRD, ICAO, ICC (NGOs), IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, MIGA, NAM, OIC, OPCW, SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ahmed SAREER (since 11 January 2013) |
| Diplomatic representation in the US: | chancery: 800 2nd Avenue, Suite 400E, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6194 |
| Diplomatic representation in the US: | FAX: [1] (212) 599-6195 |
| Diplomatic representation from the US: | the US does not have an embassy in Maldives; the US Ambassador to Sri Lanka, currently Ambassador Michele J. SISON, is accredited to Maldives and makes periodic visits |
| Flag description: | red with a large green rectangle in the center bearing a vertical white crescent moon; the closed side of the crescent is on the hoist side of the flag; red recalls those who have sacrificed their lives in defense of their country, the green rectangle represents peace and prosperity, and the white crescent signifies Islam |
| National symbol(s): | coconut palm, yellowfin tuna |
| National anthem: | name: "Gaumee Salaam" (National Salute) |
| National anthem: | lyrics/music: Mohamed Jameel DIDI/Wannakuwattawaduge DON AMARADEVA |
| National anthem: | note: lyrics adopted 1948, music adopted 1972; between 1948 and 1972, the lyrics were sung to the tune of "Auld Lang Syne" |
