| Government | Ukraine |
| International organization participation: | BSEC, CE, CEI, CIS, EAPC, EBRD, FAO, GUUAM, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NAM (observer), NSG, OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIFIL, UNMEE, UNMIK, UNMIL, UNMOVIC, UNOMIG, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Mykhailo B. REZNIK |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago and New York |
| Diplomatic representation in the US: | telephone: [1] (202) 349-2920 |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation from the US: | chief of mission: Ambassador John E. HERBST |
| Diplomatic representation from the US: | embassy: 10 Yuriia Kotsiubynskoho Street, 04053 Kiev |
| Diplomatic representation from the US: | mailing address: 5850 Kiev Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 490-4000 |
| Diplomatic representation from the US: | FAX: [380] (44) 490-4085 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grainfields under a blue sky |
