| Government | UKRAINE |
| Political parties and leaders: | Communist Party of Ukraine or CPU [Petro SYMONENKO] |
| Political parties and leaders: | Opposition Bloc or OB [Yuriy BOIKO] |
| Political parties and leaders: | People's Front or NF [Arseniy YATSENIUK] |
| Political parties and leaders: | People's Will or VN [Ihor YEREMEYEV] |
| Political parties and leaders: | Radical Party [Oleh LYASHKO] |
| Political parties and leaders: | Samopomich ("Selfreliance") [Andriy SADOVYI] |
| Political parties and leaders: | Svoboda ("Freedom") [Oleh TYAHNYBOK] |
| Political parties and leaders: | UDAR-Solidarity [Vitali KLITSCHKO] (formed from the merger of the Petro Poroshenko Bloc (BPP) and UDAR) |
| Political pressure groups and leaders: | Committee of Voters of Ukraine [Oleksandr CHERNENKO] |
| Political pressure groups and leaders: | OPORA [Olha AIVAZOVSKA] |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CD, CE, CEI, CICA (observer), CIS (participating member, has not signed the 1993 CIS charter), EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Valerii CHALYI (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 349-2920 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Geoffrey R. PYATT (since 7 August 2013) |
| Diplomatic representation from the US: | embassy: 4 Igor Sikorsky Street, 04112 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kyiv Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 521-5000 |
| Diplomatic representation from the US: | FAX: [380] (44) 521-5155 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
| National symbol(s): | tryzub (trident); national colors: blue, yellow |
| National anthem: | name: "Shche ne vmerla Ukraina" (Ukraine Has Not Yet Perished) |
| National anthem: | lyrics/music: Paul CHUBYNSKYI/Mikhail VERBYTSKYI |
| National anthem: | note: music adopted 1991, lyrics adopted 2003; song first performed in 1864 at the Ukraine Theatre in Lviv; the lyrics, originally written in 1862, were revised in 2003 |
