| Government | Ukraine |
| International organization participation: | Australia Group, BSEC, CBSS (observer), CE, CEI, CIS, EAPC, EBRD, FAO, GUAM, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAIA (observer), MIGA, MONUC, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIL, UNMIS, UNMOVIC, UNOMIG, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Oleh V. SHAMSHUR |
| Diplomatic representation in the US: | chancery: 3350 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-0606 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-0817 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador William B. TAYLOR |
| Diplomatic representation from the US: | embassy: 10 Yurii Kotsiubynsky Street, 04053 Kyiv |
| Diplomatic representation from the US: | mailing address: 5850 Kiev Place, Washington, DC 20521-5850 |
| Diplomatic representation from the US: | telephone: [380] (44) 490-4000 |
| Diplomatic representation from the US: | FAX: [380] (44) 490-4085 |
| Flag description: | two equal horizontal bands of azure (top) and golden yellow represent grain fields under a blue sky |
