| Government | MEXICO |
| Legislative branch: | description: bicameral National Congress or Congreso de la Union consists of the Senate or Camara de Senadores (128 seats; 96 members directly elected in multi-seat constituencies by simple majority vote and 32 directly elected in a single, nationwide constituency by proportional representation vote; members serve 6-year terms) and the Chamber of Deputies or Camara de Diputados (500 seats; 300 members directly elected in single-seat constituencies by simple majority vote and 200 directly elected in a single, nationwide constituency by proportional representation vote; members serve 3-year terms) |
| Legislative branch: | elections: Senate - last held on 1 July 2012 for all of the seats (next to be held 1 July 2018); Chamber of Deputies - last held on 7 June 2015 (next to be held on 1 July 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PRI 52, PAN 38, PRD 22, PVEM 9, PT 4, Movimiento Ciudadano 2, PANAL 1; Chamber of Deputies - percent of vote by party - NA; seats by party - PRI 203, PAN 108, PRD 56, PVEM 47, MORENA 35, MC 26, PNA/PANAL 10, PES 8, PT 6, independent 1 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Suprema Corte de Justicia de la Nacion (consists of the chief justice and 11 justices and organized into civil, criminal, administrative, and labor panels) and the Electoral Tribunal of the Federal Judiciary (organized into the superior court, with 7 judges including the court president and 5 regional courts, each with 3 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court justices nominated by the president of the republic and approved by two-thirds vote of the members present in the Senate; justices serve for life; Electoral Tribunal superior and regional court judges nominated by the Supreme Court and elected by two-thirds vote of members present in the Senate; superior court president elected from among its members to hold office for a single-renewable 4-year term; other judges of the superior and regional courts serve staggered, single-renewable 9-year terms |
| Judicial branch: | subordinate courts: federal level includes circuit, collegiate, and unitary courts; state and district level courts |
| Political parties and leaders: | Citizen's Movement (Movimiento Ciudadano) or MC [Dante DELGADO Rannaoro] |
| Political parties and leaders: | Institutional Revolutionary Party (Partido Revolucionario Institucional) or PRI [Cesar CAMACHO Quiroz] |
| Political parties and leaders: | Labor Party (Partido del Trabajo) or PT [Alberto ANAYA Gutierrez] |
| Political parties and leaders: | Mexican Green Ecological Party (Partido Verde Ecologista de Mexico) or PVEM [Jorge Emilio GONZALEZ Torres] |
| Political parties and leaders: | Movement for National Regeneration (Movimiento Regeneracion Nacional) or MORENA [Marti BATRES] |
| Political parties and leaders: | National Action Party (Partido Accion Nacional) or PAN [Gustavo MADERO Munoz] |
| Political parties and leaders: | New Alliance Party (Partido Nueva Alianza) or PNA/PANAL [Luis CASTRO Obregon] |
| Political parties and leaders: | Party of the Democratic Revolution (Partido de la Revolucion Democratica) or PRD [Jesus ZAMBRANO Grijalva] |
| Political parties and leaders: | Social Encounter Party (Partido Encuentro Social) or PES [Hugo Eric FLORES Cervantes] |
| Political pressure groups and leaders: | Businessmen's Coordinating Council or CCE |
| Political pressure groups and leaders: | Confederation of Employers of the Mexican Republic or COPARMEX |
| Political pressure groups and leaders: | Confederation of Industrial Chambers or CONCAMIN |
| Political pressure groups and leaders: | Confederation of Mexican Workers or CTM |
| Political pressure groups and leaders: | Confederation of National Chambers of Commerce or CONCANACO |
| Political pressure groups and leaders: | Coordinator for Foreign Trade Business Organizations or COECE |
| Political pressure groups and leaders: | Federation of Unions Providing Goods and Services or FESEBES |
| Political pressure groups and leaders: | National Chamber of Transformation Industries or CANACINTRA |
| Political pressure groups and leaders: | National Confederation of Popular Organizations or CNOP |
| Political pressure groups and leaders: | National Coordinator for Education Workers or CNTE |
| Political pressure groups and leaders: | National Peasant Confederation or CNC |
| Political pressure groups and leaders: | National Small Business Chamber or CANACOPE |
| Political pressure groups and leaders: | National Syndicate of Education Workers or SNTE |
| Political pressure groups and leaders: | National Union of Workers or UNT |
| Political pressure groups and leaders: | Popular Assembly of the People of Oaxaca or APPO |
| Political pressure groups and leaders: | Roman Catholic Church |
| International organization participation: | APEC, Australia Group, BCIE, BIS, CAN (observer), Caricom (observer), CD, CDB, CE (observer), CELAC, CSN (observer), EBRD, FAO, FATF, G-3, G-15, G-20, G-24, G-5, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, NAFTA, NAM (observer), NEA, NSG, OAS, OECD, OPANAL, OPCW, Pacific Alliance, Paris Club (associate), PCA, SICA (observer), UN, UNASUR (observer), UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina (observer), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Miguel BASANEZ (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 1911 Pennsylvania Avenue NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 728-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 728-1698 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Austin, Boston, Chicago, Dallas, Denver, El Paso (TX), Houston, Laredo (TX), Los Angeles, Miami, New York, Nogales (AZ), Phoenix, Sacramento (CA), San Antonio (TX), San Diego, San Francisco, San Jose (CA), San Juan (Puerto Rico), Saint Paul (MN) |
| Diplomatic representation in the US: | consulate(s): Albuquerque (NM), Anchorage (AK), Boise (ID), Brownsville (TX), Calexico (CA), Del Rio (TX), Detroit, Douglas (AZ), Eagle Pass (TX), Fresno (CA), Indianapolis (IN), Kansas City (MO), Las Vegas (NV), Little Rock (AR), McAllen (TX), New Orleans, Omaha (NE), Orlando (FL), Oxnard (CA), Philadelphia, Portland (OR), Presidio (TX), Raleigh (NC), Salt Lake City, San Bernardino (CA), Santa Ana (CA), Seattle, Tucson (AZ), Yuma (AZ); note - Washington DC Consular Section located in a separate building from the Mexican Embassy and has jurisdiction over DC, parts of Virginia, Maryland, and West Virginia |
| Diplomatic representation from the US: | chief of mission: Ambassador Earl Anthony WAYNE (since 2 August 2011) |
| Diplomatic representation from the US: | embassy: Paseo de la Reforma 305, Colonia Cuauhtemoc, 06500 Mexico, Distrito Federal |
| Diplomatic representation from the US: | mailing address: P. O. Box 9000, Brownsville, TX 78520-9000 |
| Diplomatic representation from the US: | telephone: [52] (55) 5080-2000 |
| Diplomatic representation from the US: | FAX: [52] (55) 5080-2834 |
| Diplomatic representation from the US: | consulate(s) general: Ciudad Juarez, Guadalajara, Hermosillo, Matamoros, Merida, Monterrey, Nogales, Nuevo Laredo, Tijuana |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; Mexico's coat of arms (an eagle with a snake in its beak perched on a cactus) is centered in the white band; green signifies hope, joy, and love; white represents peace and honesty; red stands for hardiness, bravery, strength, and valor; the coat of arms is derived from a legend that the wandering Aztec people were to settle at a location where they would see an eagle on a cactus eating a snake; the city they founded, Tenochtitlan, is now Mexico City |
| Flag description: | note: similar to the flag of Italy, which is shorter, uses lighter shades of red and green, and does not display anything in its white band |
| National symbol(s): | golden eagle; national colors: green, white, red |
| National anthem: | name: "Himno Nacional Mexicano" (National Anthem of Mexico) |
| National anthem: | lyrics/music: Francisco Gonzalez BOCANEGRA/Jaime Nuno ROCA |
| National anthem: | note: adopted 1943, in use since 1854; also known as "Mexicanos, al grito de Guerra" (Mexicans, to the War Cry); according to tradition, Francisco Gonzalez BOCANEGRA, an accomplished poet, was uninterested in submitting lyrics to a national anthem contest; his fiancee locked him in a room and refused to release him until the lyrics were completed |
