| Government | CYPRUS |
| International organization participation: | Australia Group, C, CD, CE, EBRD, ECB, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Leonidas PANTELIDIS (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 2211 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-5772, 462-0873 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-6710 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | note: representative of the Turkish Cypriot community in the US is Ismet KORUKOGLU; office at 1667 K Street NW, Washington, DC; telephone [1] (202) 887-6198 |
| Diplomatic representation from the US: | chief of mission: Ambassador Kathleen Ann DOHERTY (since 7 October 2015) |
| Diplomatic representation from the US: | embassy: corner of Metochiou and Ploutarchou Streets, 2407 Engomi, Nicosia |
| Diplomatic representation from the US: | mailing address: P. O. Box 24536, 1385 Nicosia |
| Diplomatic representation from the US: | telephone: [357] (22) 393939 |
| Diplomatic representation from the US: | FAX: [357] (22) 393344 |
| Flag description: | centered on a white field is a copper-colored silhouette of the island (the island has long been famous for its copper deposits) above two olive-green-colored, crossed olive branches; the branches symbolize the hope for peace and reconciliation between the Greek and Turkish communities |
| Flag description: | note 1: one of only two national flags that uses a map as a design element; the flag of Kosovo is the other |
| Flag description: | note 2: the "Turkish Republic of Northern Cyprus" flag retains the white field of the Cyprus national flag but displays narrow horizontal red stripes positioned a small distance from the top and bottom edges between which are centered a red crescent and a red five-pointed star; the banner is modeled after the Turkish national flag but with the colors reversed |
| National symbol(s): | Cypriot mouflon (wild sheep), white dove; national colors: blue, white |
| National anthem: | name: "Ymnos eis tin Eleftherian" (Hymn to Liberty) |
| National anthem: | lyrics/music: Dionysios SOLOMOS/Nikolaos MANTZAROS |
| National anthem: | note: adopted 1960; Cyprus adopted the Greek national anthem as its own; the Turkish Cypriot community in Cyprus uses the anthem of Turkey |
