| Government | France |
| Judicial branch: | Supreme Court of Appeals or Cour de Cassation (judges are appointed by the president from nominations of the High Council of the Judiciary); Constitutional Council or Conseil Constitutionnel (three members appointed by the president, three appointed by the president of the National Assembly, and three appointed by the president of the Senate); Council of State or Conseil d'Etat |
| Political parties and leaders: | Citizen and Republican Movement or MRC [Jean Pierre CHEVENEMENT]; Democratic and European Social Rally or RDSE (mainly Radical Republican and Socialist Parties, and PRG) [Jacques PELLETIER]; French Communist Party or PCF [Marie-George BUFFET]; Greens [Yan WEHRLING, national secretary]; Left Radical Party or PRG (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG) [Jean-Michel BAYLET]; Movement for France or MPF [Philippe DE VILLIERS]; National Front or FN [Jean-Marie LE PEN]; Rally for France or RPF [Charles PASQUA]; Socialist Party or PS [Francois HOLLANDE]; Union for French Democracy or UDF [Francois BAYROU]; Union for a Popular Movement or UMP [Nicolas SARKOZY] |
| Political pressure groups and leaders: | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 889,000 members (claimed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| International organization participation: | ABEDA, ACCT, AfDB, Arctic Council (observer), AsDB, Australia Group, BDEAC, BIS, BSEC (observer), CBSS (observer), CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FZ, G- 5, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, MINURSO, MINUSTAH, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, PIF (partner), SECI (observer), SPC, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMEE, UNMIL, UNMOVIC, UNOCI, UNOMIG, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jean-David LEVITTE |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Craig R. STAPLETON |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75382 Paris Cedex 08 |
| Diplomatic representation from the US: | mailing address: PSC 116, APO AE 09777 |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the "Le drapeau tricolore" (French Tricolor), the origin of the flag dates to 1790 and the French Revolution; the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Ireland, Cote d'Ivoire, Luxembourg, and Netherlands; the official flag for all French dependent areas |
