| Government | France |
| Legislative branch: | elections: Senate - last held on 25 September 2011 (next to be held in September 2014); National Assembly - last held on 10 and 17 June 2012 (next to be held in June 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PS/Greens 140, UMP 132, UDF 31, PCF/MRC 21, PRG 17, other 7; National Assembly - percent of vote by party - PS 48.5%, UMP 33.6%, miscellaneous left wing parties 3.8%, Greens 3.0%, miscellaneous right wing parties 2.6%, NC 2.1%, PRG 2.1%, FDG 1.7%, other 2.6%; seats by party - PS 280, UMP 194, miscellaneous left wing parties 22, Greens 17, miscellaneous right wing parties 15, NC 12, PRG 12, FDG 10, other 15 |
| Judicial branch: | highest court(s): Court of Cassation or Cour de Cassation (consists of the court president, 6 divisional presiding judges, 120 trial judges, and 70 deputy judges organized into 6 divisions - 3 civil, 1 commercial, 1 labor, and 1 criminal); Constitutional Council (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by the president of the republic from nominations from the High Council of the Judiciary, presided by the Court of Cassation and 15 appointed members; judge term of appointment NA; Constitutional Council members appointed - 3 by the president of the republic and 3 each by the National Assembly and Senate presidents; members serve 9-year, non-renewable terms with one third of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: appellate courts or Cour d'Appel; regional courts or Tribunal de Grande Instance; first instance courts or Tribunal' d'instance |
| Political parties and leaders: | Europe Ecology - The Greens or EELV [Emmanuelle COSSE] |
| Political parties and leaders: | French Communist Party or PCF [Pierre LAURENT] |
| Political parties and leaders: | Left Front Coalition or FDG [Jean-Luc MELENCHON] |
| Political parties and leaders: | Left Party or PG [Jean-Luc MELENCHON and Martine BILLARD] |
| Political parties and leaders: | Left Radical Party or PRG [Jean-Michel BAYLET] (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG) |
| Political parties and leaders: | Movement for France or MPF [Philippe DE VILLIERS] |
| Political parties and leaders: | National Front or FN [Marine LE PEN] |
| Political parties and leaders: | New Anticapitalist Party or NPA [collective leadership; main spokesperson Christine POUPIN] |
| Political parties and leaders: | New Center or NC [Herve MORIN] |
| Political parties and leaders: | Radical Party [Jean-Louis BORLOO] |
| Political parties and leaders: | Rally for France or RPF [Charles PASQUA] |
| Political parties and leaders: | Republican and Citizen Movement or MRC [Jean-Luc LAURENT] |
| Political parties and leaders: | Socialist Party or PS [Haerlem DESIR] |
| Political parties and leaders: | United Republic or RS [Dominique DE VILLEPIN] |
| Political parties and leaders: | Union for a Popular Movement or UMP [Jean-Francois COPE] |
| Political parties and leaders: | Union des Democrates et Independants or UDI [Jean-Louis BORLOO] and Democratic Movement or MoDem [Francois BAYROU] (previously Union for French Democracy or UDF); together known as UDI-Modem |
| Political parties and leaders: | Worker's Struggle (Lutte Ouvriere) or LO [collective leadership; spokespersons Nathalie ARTHAUD and Arlette LAQUILLER] |
| Political pressure groups and leaders: | Confederation Francaise Democratique du Travail (French Democratic Confederation of Labor) or CFDT, left-leaning labor union with approximately 875,000 members [Laurent BERGER, Secretary General] |
| Political pressure groups and leaders: | Confederation francaise de l'encadrement - Confederation generale des cadres (French Confederation of Management - General Confederation of Executives) or CFE-CGC, independent white-collar union with 140,000 members [Carole COUVERT, president] |
| Political pressure groups and leaders: | Confederation francaise des travailleurs chretiens (French Confederation of Christian Workers) or CFTC, independent labor union founded by Catholic workers that claims 142,000 members [Philippe LOUIS, president] |
| Political pressure groups and leaders: | Confederation generale du travail (General Confederation of Labor) or CGT, historically communist labor union with approximately 710,000 members [Bernard THIBAULT, secretary general] |
| Political pressure groups and leaders: | Confederation generale du travail - Force ouvriere (General Confederation of Labor - Worker's Force) or FO, independent labor union with an estimated 300,000 members [Jean-Claude MAILLY, secretary general] |
| Political pressure groups and leaders: | Mouvement des entreprises de France or MEDEF, employers' union with 750,000 companies as members (claimed) [Pierre GATTAZ, president] |
| French Guiana: | conservationists |
| French Guiana: | gold mining pressure groups |
| French Guiana: | hunting pressure groups |
| Guadeloupe: | Christian Movement for the Liberation of Guadeloupe or KLPG |
| Guadeloupe: | General Federation of Guadeloupe Workers or CGT-G |
| Guadeloupe: | General Union of Guadeloupe Workers or UGTG |
| Guadeloupe: | Movement for an Independent Guadeloupe or MPGI |
| Guadeloupe: | The Socialist Renewal Movement |
| Martinique: | Caribbean Revolutionary Alliance or ARC |
| Martinique: | Central Union for Martinique Workers or CSTM |
| Martinique: | Frantz Fanon Circle |
| Martinique: | League of Workers and Peasants |
| Martinique: | Proletarian Action Group or GAP |
| Reunion: | NA |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BDEAC, BIS, BSEC (observer), CBSS (observer), CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, FZ, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MINUSTAH, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SPC, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMIL, UNOCI, UNRWA, UNSC (permanent), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Francois M. DELATTRE (since 18 February 2011) |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mark A. TAPLIN; note - also accredited to Monaco |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75382 Paris Cedex 08 |
| Diplomatic representation from the US: | mailing address: PSC 116, APO AE 09777 |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the "Le drapeau tricolore" (French Tricolor), the origin of the flag dates to 1790 and the French Revolution when the "ancient French color" of white was combined with the blue and red colors of the Parisian militia; the official flag for all French dependent areas |
| Flag description: | note: the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Cote d'Ivoire, Ireland, Italy, Luxembourg, and Netherlands |
| National symbol(s): | Gallic rooster, fleur-de-lis, Marianne |
| National anthem: | name: "La Marseillaise" (The Song of Marseille) |
| National anthem: | lyrics/music: Claude-Joseph ROUGET de Lisle |
| National anthem: | note: adopted 1795, restored 1870; originally known as "Chant de Guerre pour l'Armee du Rhin" (War Song for the Army of the Rhine), the National Guard of Marseille made the song famous by singing it while marching into Paris in 1792 during the French Revolutionary Wars |
