| Government | France |
| Legislative branch: | bicameral Parliament or Parlement consists of the Senate or Senat (348 seats; 328 for metropolitan France and overseas departments, 2 for New Caledonia, 2 for French Polynesia, 1 for Saint-Pierre and Miquelon, 1 for Saint-Barthelemy, 1 for Saint-Martin, 1 for Wallis and Futuna, and 12 for French nationals abroad; members indirectly elected by an electoral college to serve six-year terms; one third elected every three years); and the National Assembly or Assemblee Nationale (577 seats; 555 for metropolitan France, 15 for overseas departments, 7 for overseas dependencies; members elected by popular vote under a single-member majority system to serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 25 September 2011 (next to be held in September 2014); National Assembly - last held on 10 and 17 June 2012 (next to be held in June 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PS/Greens 140, UMP 132, UDF 31, PCF/MRC 21, PRG 17, other 7; National Assembly - percent of vote by party - PS 48.5%, UMP 33.6%, miscellaneous left wing parties 3.8%, The Greens 3.0%, miscellaneous right wing parties 2.6%, NC 2.1%, PRG 2.1%, FDG 1.7%, other 2.6%; seats by party - PS 280, UMP 194, miscellaneous left wing parties 22, The Greens 17, miscellaneous right wing parties 15, NC 12, PRG 12, FDG 10, other 15 |
| Judicial branch: | Supreme Court of Appeals or Cour de Cassation (judges are appointed by the president from nominations of the High Council of the Judiciary); Constitutional Council or Conseil Constitutionnel (three members appointed by the president, three appointed by the president of the National Assembly, and three appointed by the president of the Senate); Council of State or Conseil d'Etat |
| Political parties and leaders: | Centrist Union or UDF [Nicolas ABOUT]; Democratic Movement or MoDem [Francois BAYROU] (previously Union for French Democracy or UDF); French Communist Party or PCF [Pierre LAURENT]; Greens [Dominique VOYNET]; Left Front or FDG [Jean-Luc MELENCHON]; Left Party or PG [Jean-Luc MELENCHON]; Left Radical Party or PRG [Jean-Michel BAYLET] (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG); Movement for France or MPF [Philippe DE VILLIERS]; National Front or FN [Marine LE PEN]; New Anticapitalist Party or NPA [Myriam MARTIN and Christine POUPIN]; New Center or NC [Herve MORIN]; Radical Party [Jean-Louis BORLOO]; Rally for France or RPF [Charles PASQUA]; Republican and Citizen Movement or MRC [Jean-Luc LAURENT]; Socialist Party or PS [Herlem DESIR]; United Republic or RS [Dominique DE VILLEPIN]; Union for a Popular Movement or UMP [Jean-Francois COPE]; Worker's Struggle or LO [Nathalie ARTHAUD] |
| Political pressure groups and leaders: | Confederation francaise democratique du travail or CFDT, left-leaning labor union with approximately 803,000 members; Confederation francaise de l'encadrement - Confederation generale des cadres or CFE-CGC, independent white-collar union with 196,000 members; Confederation francaise des travailleurs chretiens of CFTC, independent labor union founded by Catholic workers that claims 132,000 members; Confederation generale du travail or CGT, historically communist labor union with approximately 700,000 members; Confederation generale du travail - Force ouvriere or FO, independent labor union with an estimated 300,000 members; Mouvement des entreprises de France or MEDEF, employers' union with 750,000 companies as members (claimed) |
| Political pressure groups and leaders: | French Guiana: conservationists; gold mining pressure groups; hunting pressure groups |
| Political pressure groups and leaders: | Guadeloupe: Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement for an Independent Guadeloupe or MPGI; The Socialist Renewal Movement |
| Political pressure groups and leaders: | Martinique: Caribbean Revolutionary Alliance or ARC; Central Union for Martinique Workers or CSTM; Frantz Fanon Circle; League of Workers and Peasants; Proletarian Action Group or GAP |
| Political pressure groups and leaders: | Reunion: NA |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BDEAC, BIS, BSEC (observer), CBSS (observer), CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, FZ, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSTAH, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SPC, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMIL, UNOCI, UNRWA, UNSC (permanent), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Francois M. DELATTRE |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Charles H. RIVKIN |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75382 Paris Cedex 08 |
| Diplomatic representation from the US: | mailing address: PSC 116, APO AE 09777 |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the "Le drapeau tricolore" (French Tricolor), the origin of the flag dates to 1790 and the French Revolution when the "ancient French color" of white was combined with the blue and red colors of the Parisian militia; the official flag for all French dependent areas |
| Flag description: | note: the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Cote d'Ivoire, Ireland, Italy, Luxembourg, and Netherlands |
| National symbol(s): | Gallic rooster |
| National anthem: | name: "La Marseillaise" (The Song of Marseille) |
| National anthem: | lyrics/music: Claude-Joseph ROUGET de Lisle |
| National anthem: | note: adopted 1795, restored 1870; originally known as "Chant de Guerre pour l'Armee du Rhin" (War Song for the Army of the Rhine), the National Guard of Marseille made the song famous by singing it while marching into Paris in 1792 during the French Revolutionary Wars |
