| Government | Senegal |
| Political parties and leaders: | Front for Socialism and Democracy/Benno Jubel or FSD/BJ [Cheikh Abdoulaye Bamba DIEYE] |
| Political parties and leaders: | Gainde Centrist Bloc or BGC [Jean-Paul DIAS] |
| Political parties and leaders: | Independence and Labor Party or PIT [Amath DANSOKHO] |
| Political parties and leaders: | Jef-Jel [Talla SYLLA] |
| Political parties and leaders: | National Democratic Rally or RND [Madior DIOUF] |
| Political parties and leaders: | Party for Truth and Development or PVD [Ahmadou Kara MBACKE] |
| Political parties and leaders: | People's Labor Party or PTP [El Hadji DIOUF] |
| Political parties and leaders: | Reform Party or PR [Abdourahim AGNE] |
| Political parties and leaders: | Republican Movement for Socialism and Democracy or MRDS |
| Political parties and leaders: | Rewmi Party [Idrissa SECK] |
| Political parties and leaders: | Senegalese Democratic Party or PDS [Abdoulaye WADE] |
| Political parties and leaders: | Socialist Party or PS [Ousmane Tanor DIENG] |
| Political parties and leaders: | SOPI Coalition [Abdoulaye WADE] (a coalition led by the PDS) |
| Political parties and leaders: | Synergy for Ethics and Transparency [Aminata TALL] |
| Political parties and leaders: | Union for Democratic Renewal or URD [Djibo Leyti KA] |
| Political pressure groups and leaders: | other: labor; students; Sufi brotherhoods, including the Mourides and Tidjanes; teachers |
| International organization participation: | ACP, AfDB, AU, CD, CPLP (associate), ECOWAS, FAO, FZ, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Cheikh NIANG (since 13 July 2012) |
| Diplomatic representation in the US: | chancery: 2031 Florida Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6315 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Lewis LUKENS (since 11 July 2011); note - also accredited to Guinea-Bissau |
| Diplomatic representation from the US: | embassy: Route des Almadies, Dakar |
| Diplomatic representation from the US: | mailing address: B. P. 49, Dakar |
| Diplomatic representation from the US: | telephone: [221] 33-879-4000 |
| Diplomatic representation from the US: | FAX: [221] 33-822-2991 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red with a small green five-pointed star centered in the yellow band; green represents Islam, progress, and hope; yellow signifies natural wealth and progress; red symbolizes sacrifice and determination; the star denotes unity and hope |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Mali and the reverse of those on the flag of neighboring Guinea |
| National symbol(s): | lion |
| National anthem: | name: "Pincez Tous vos Koras, Frappez les Balafons" (Pluck Your Koras, Strike the Balafons) |
| National anthem: | lyrics/music: Leopold Sedar SENGHOR/Herbert PEPPER |
| National anthem: | note: adopted 1960; the lyrics were written by Leopold Sedar SENGHOR, Senegal's first president; the anthem is sometimes played incorporating the Koras (harp-like stringed instruments) and Balafons (types of xylophones) mentioned in the title |
