| Government | Jamaica |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation in the US: | consulate(s): Atlanta, Boston, Chicago, Concord (MA), Houston, Los Angeles, Philadelphia, Richmond (VA), San Francisco, Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald R. TAPIA (since 11 September 2019) |
| Diplomatic representation from the US: | telephone: [1] (876) 702-6000 (2018) |
| Diplomatic representation from the US: | embassy: 142 Old Hope Road, Kingston 6 |
| Diplomatic representation from the US: | mailing address: P.O. Box 541, Kingston 5 |
| Diplomatic representation from the US: | FAX: [1] (876) 702-6001 (2018) |
| Flag description: | diagonal yellow cross divides the flag into four triangles - green (top and bottom) and black (hoist side and fly side); green represents hope, vegetation, and agriculture, black reflects hardships overcome and to be faced, and yellow recalls golden sunshine and the island's natural resources |
| National symbol(s): | green-and-black streamertail (bird), Guaiacum officinale (Guaiacwood); national colors: green, yellow, black |
| National anthem: | name: Jamaica, Land We Love |
| National anthem: | lyrics/music: Hugh Braham SHERLOCK/Robert Charles LIGHTBOURNE |
| National anthem: | note: adopted 1962 |
