| Government | Congo, Democratic Republic of the |
| Political parties and leaders: | Union of Mobutuist Democrats or UDEMO [MOBUTU Nzanga] |
| Political pressure groups and leaders: | FARDC (Forces Armées de la République Démocratique du Congo) - Army of the Democratic Republic of the Congo, which commits atrocities on citizens |
| Political pressure groups and leaders: | FDLR (Forces Democratiques de Liberation du Rwanda) - Rwandan militia group made up of some of the perpetrators of Rwanda's Genocide in 1994 |
| Political pressure groups and leaders: | CNDP (National Congress for the Defense of the People) - mainly Congolese Tutsis who want refugees returned and more representation in government |
| Political pressure groups and leaders: | M23 - rebel group comprised largely from ex-CNDP forces |
| International organization participation: | ACP, AfDB, AU, CEPGL, COMESA, EITI (candidate country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Faida Maramuke MITIFU (since 3 February 2000) |
| Diplomatic representation in the US: | chancery: Suite 601, 1726 M Street, NW, Washington, DC, 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7690 through 7691 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-2609 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James C. SWAN (since 5 September 2013) |
| Diplomatic representation from the US: | embassy: 310 Avenue des Aviateurs, Kinshasa |
| Diplomatic representation from the US: | mailing address: Unit 2220, DPO AE 09828 |
| Diplomatic representation from the US: | telephone: [243] (081) 556-0151 |
| Diplomatic representation from the US: | FAX: [243] (081) 556-0175 |
| Flag description: | sky blue field divided diagonally from the lower hoist corner to upper fly corner by a red stripe bordered by two narrow yellow stripes; a yellow, five-pointed star appears in the upper hoist corner; blue represents peace and hope, red the blood of the country's martyrs, and yellow the country's wealth and prosperity; the star symbolizes unity and the brilliant future for the country |
| National symbol(s): | leopard |
| National anthem: | name: "Debout Congolaise" (Arise Congolese) |
| National anthem: | lyrics/music: Joseph LUTUMBA/Simon-Pierre BOKA di Mpasi Londi |
| National anthem: | note: adopted 1960; the anthem was replaced during the period in which the country was known as Zaire, but was readopted in 1997 |
