| Government | Congo, Democratic Republic of the |
| Diplomatic representation in the US: | chancery: Suite 601, 1726 M Street, NW, Washington, DC, 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7690 through 7691 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-2609 |
| Diplomatic representation from the US: | chief of mission: Ambassador James F. ENTWISTLE |
| Diplomatic representation from the US: | embassy: 310 Avenue des Aviateurs, Kinshasa |
| Diplomatic representation from the US: | mailing address: Unit 31550, APO AE 09828 |
| Diplomatic representation from the US: | telephone: [243] (81) 225-5872 |
| Diplomatic representation from the US: | FAX: [243] (81) 301-0561 |
| Flag description: | sky blue field divided diagonally from the lower hoist corner to upper fly corner by a red stripe bordered by two narrow yellow stripes; a yellow, five-pointed star appears in the upper hoist corner; blue represents peace and hope, red the blood of the country's martyrs, and yellow the country's wealth and prosperity; the star symbolizes unity and the brilliant future for the country |
| National symbol(s): | leopard |
| National anthem: | name: "Debout Congolaise" (Arise Congolese) |
| National anthem: | lyrics/music: Joseph LUTUMBA/Simon-Pierre BOKA di Mpasi Londi |
| National anthem: | note: adopted 1960; the anthem was replaced during the period in which the country was known as Zaire, but was readopted in 1997 |
