| Government | TOGO |
| Diplomatic representation in the US: | chancery: 2208 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4212 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-3190 |
| Diplomatic representation from the US: | chief of mission: Ambassador David R. GILMOUR (20 December 2015) |
| Diplomatic representation from the US: | embassy: 4332 Blvd. Gnassingbe Eyadema, Cite OUA, Lome |
| Diplomatic representation from the US: | mailing address: B.P. 852, Lome; 2300 Lome Place, Washington, DC 20521-2300 |
| Diplomatic representation from the US: | telephone: [228] 2261-5470 |
| Diplomatic representation from the US: | FAX: [228] 2261-5501 |
| Flag description: | five equal horizontal bands of green (top and bottom) alternating with yellow; a white five-pointed star on a red square is in the upper hoist-side corner; the five horizontal stripes stand for the five different regions of the country; the red square is meant to express the loyalty and patriotism of the people; green symbolizes hope, fertility, and agriculture; yellow represents mineral wealth and faith that hard work and strength will bring prosperity; the star symbolizes life, purity, peace, dignity, and Togo's independence |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | lion; national colors: green, yellow, red, white |
| National anthem: | name: "Salut a toi, pays de nos aieux" (Hail to Thee, Land of Our Forefathers) |
| National anthem: | lyrics/music: Alex CASIMIR-DOSSEH |
| National anthem: | note: adopted 1960, restored 1992; this anthem was replaced by another during one-party rule between 1979 and 1992 |
