| Government | Kyrgyzstan |
| Diplomatic representation in the US: | chancery: 1732 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-5141 |
| Diplomatic representation in the US: | FAX: [1] (202) 338-5139 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen M. YOUNG |
| Diplomatic representation from the US: | embassy: 171 Prospect Mira, Bishkek 720016 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [996] (312) 551-241, (517) 777-217 |
| Diplomatic representation from the US: | FAX: [996] (312) 551-264 |
| Flag description: | red field with a yellow sun in the center having 40 rays representing the 40 Kyrgyz tribes; on the obverse side the rays run counterclockwise, on the reverse, clockwise; in the center of the sun is a red ring crossed by two sets of three lines, a stylized representation of the roof of the traditional Kyrgyz yurt |
