| Government | Kyrgyzstan |
| Political parties and leaders: | Respublika (Republic) [Ruslan KAZAKBAEV] |
| Political parties and leaders: | Respublika-Ata-Jurt (Republic-Homeland) [Ruslan KAZAKBAEV] (parliamentary faction) |
| Political parties and leaders: | Social-Democratic Party of Kyrgyzstan or SDPK [Almazbek ATAMBAEV] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAEU, EAPC, EBRD, ECO, EITI (compliant country), FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMIL, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Kadyr TOKTOGULOV (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2360 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 449-9822 |
| Diplomatic representation in the US: | FAX: [1] (202) 449-8275 |
| Diplomatic representation in the US: | honorary consulate(s): Maple Valley (WA) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Alan MELTZER (since 4 August 2017) |
| Diplomatic representation from the US: | embassy: 171 Prospect Mira, Bishkek 720016 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [996] (312) 597-000 |
| Diplomatic representation from the US: | FAX: [996] (312) 597-744 |
| Flag description: | red field with a yellow sun in the center having 40 rays representing the 40 Kyrgyz tribes; on the obverse side the rays run counterclockwise, on the reverse, clockwise; in the center of the sun is a red ring crossed by two sets of three lines, a stylized representation of a "tunduk" - the crown of a traditional Kyrgyz yurt; red symbolizes bravery and valor, the sun evinces peace and wealth |
| National symbol(s): | white falcon; national colors: red, yellow |
| National anthem: | name: "Kyrgyz Respublikasynyn Mamlekettik Gimni" (National Anthem of the Kyrgyz Republic) |
| National anthem: | lyrics/music: Djamil SADYKOV and Eshmambet KULUEV/Nasyr DAVLESOV and Kalyi MOLDOBASANOV |
| National anthem: | note: adopted 1992 |
