| Government | Barbados |
| Diplomatic representation in the US: | FAX: [1] (202) 332-7467 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Linda S. TAGLIALATELA (since 1 February 2016) note - also accredited to Antigua and Barbuda, Dominica, Grenada, Saint Kitts and Nevis, Saint Lucia, and Saint Vincent and the Grenadines |
| Diplomatic representation from the US: | telephone: [1] (246) 227-4000 |
| Diplomatic representation from the US: | embassy: Wildey Business Park, Wildey, St. Michael BB 14006, W.I. |
| Diplomatic representation from the US: | mailing address: P. O. Box 302, Bridgetown BB 11000; (Department Name) Unit 3120, DPO AA 34055 |
| Diplomatic representation from the US: | FAX: [1] (246) 431-0179 |
| Flag description: | three equal vertical bands of ultramarine blue (hoist side), gold, and ultramarine blue with the head of a black trident centered on the gold band; the band colors represent the blue of the sea and sky and the gold of the beaches; the trident head represents independence and a break with the past (the colonial coat of arms contained a complete trident) |
| National symbol(s): | Neptune's trident, pelican, Red Bird of Paradise flower (also known as Pride of Barbados); national colors: blue, yellow, black |
| National anthem: | name: The National Anthem of Barbados |
| National anthem: | lyrics/music: Irving BURGIE/C. Van Roland EDWARDS |
| National anthem: | note: adopted 1966; the anthem is also known as "In Plenty and In Time of Need" |
