| Government | Malaysia |
| Political parties and leaders: | Malaysian United Indigenous Party (Parti Pribumi Bersatu Malaysia) or PPBM [MAHATHIR Mohamad] |
| Political parties and leaders: | National Trust Party (Parti Amanah Negara) or AMANAH [Mohamad SABU] |
| Political parties and leaders: | People's Justice Party (Parti Keadilan Rakyat) or PKR [ANWAR Ibrahim] |
| Political parties and leaders: | Other: |
| Political parties and leaders: | Homeland Solidarity Party or STAR [Jeffrey KATINGAN] |
| Political parties and leaders: | Pan-Malaysian Islamic Party (Parti Islam se Malaysia) or PAS [Abdul HADI Awang] |
| Political parties and leaders: | Progressive Democratic Party or PDP [TIONG King Sing] |
| Political parties and leaders: | Sabah Heritage Party (Parti Warisan Sabah) or WARISAN [Shafie APDAL] |
| Political parties and leaders: | Sarawak Parties Alliance (Gabungan Parti Sarawak) or GPS [ABANG JOHARI Openg] (includes PBB, SUPP, PRS, PDP) |
| Political parties and leaders: | Sarawak People's Party (Parti Rakyat Sarawak) or PRS [James MASING] |
| Political parties and leaders: | Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [Dr. SIM Kui Hian] |
| Political parties and leaders: | United Pasokmomogun Kadazandusun Murut Organization (Pertubuhan Pasko Momogun Kadazan Dusun Bersatu) or UPKO [Wilfred Madius TANGAU] |
| Political parties and leaders: | United Sabah Party (Parti Bersatu Sabah) or PBS [Joseph PAIRIN Kitingan] |
| Political parties and leaders: | United Sabah People's (Party Parti Bersatu Rakyat Sabah) or PBRS [Joseph KURUP] |
| Political parties and leaders: | United Traditional Bumiputera Party (Parti Pesaka Bumiputera Bersata) or PBB |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIS, C, CICA (observer), CP, D-8, EAS, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OIC, OPCW, PCA, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires MURNI Abdul Hamid (since April 2018) |
| Diplomatic representation in the US: | chancery: 3516 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 572-9700 |
| Diplomatic representation in the US: | FAX: [1] (202) 572-9882 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kamala Shirin LAKHDHIR (since 21 February 2017) |
| Diplomatic representation from the US: | embassy: 376 Jalan Tun Razak, 50400 Kuala Lumpur |
| Diplomatic representation from the US: | mailing address: US Embassy Kuala Lumpur, APO AP 96535-8152 |
| Diplomatic representation from the US: | telephone: [60] (3) 2168-5000 |
| Diplomatic representation from the US: | FAX: [60] (3) 2142-2207 |
| Flag description: | 14 equal horizontal stripes of red (top) alternating with white (bottom); there is a dark blue rectangle in the upper hoist-side corner bearing a yellow crescent and a yellow 14-pointed star; the flag is often referred to as Jalur Gemilang (Stripes of Glory); the 14 stripes stand for the equal status in the federation of the 13 member states and the federal government; the 14 points on the star represent the unity between these entities; the crescent is a traditional symbol of Islam; blue symbolizes the unity of the Malay people and yellow is the royal color of Malay rulers |
| Flag description: | note: the design is based on the flag of the US |
| National symbol(s): | tiger, hibiscus; national colors: gold, black |
| National anthem: | name: "Negaraku" (My Country) |
| National anthem: | lyrics/music: collective, led by Tunku ABDUL RAHMAN/Pierre Jean DE BERANGER |
| National anthem: | note: adopted 1957; full version only performed in the presence of the king; the tune, which was adopted from a popular French melody titled "La Rosalie," was originally the anthem of Perak, one of Malaysia's 13 states |
