| Government | Thailand |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | note: there is also a Privy Council advising the king |
| Executive branch: | elections: the monarchy is hereditary; according to 2007 constitution, the prime minister elected from among members of House of Representatives; following national elections for House of Representatives, the leader of the party positioned to organize a majority coalition usually becomes prime minister by appointment by the king; the prime minister limited to two four-year terms |
| Legislative branch: | bicameral National Assembly or Rathasapha consisted of the Senate or Wuthisapha (150 seats; 76 members elected by popular vote representing 76 provinces, 74 appointed by judges and independent government bodies; members serve six-year terms) and the House of Representatives or Sapha Phuthaen Ratsadon (480 seats; 400 members elected from 157 multi-seat constituencies and 80 elected on proportional party-list basis of 10 per eight zones or groupings of provinces; members serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 2 March 2008 (next to be held in March 2014); House of Representatives - last election held on 23 December 2007 (next to be held by December 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - percent of vote by party - NA; seats by party - PPP 233, DP 164, TNP 34, Motherland 24, Middle Way 11, Unity 9, Royalist People's 5; following the PPP's dissolution in December 2008, most of the party's seats were assumed by its successor, the Phuea Thai Party |
| Legislative branch: | note: 74 senators were appointed on 19 February 2008 by a seven-member committee headed by the chief of the Constitutional Court; 76 senators were elected on 2 March 2008; elections to the Senate are non-partisan; registered political party members are disqualified from being senators |
| Judicial branch: | Constitutional Court, Supreme Court of Justice, and Supreme Administrative Court; all judges are appointed by the king; the king's appointments to the Constitutional Courtare made upon the advice of the Senate; the nine Constitutional Court judges are drawn from the Supreme Court of Justice and Supreme Administrative Court as well as from among substantive experts in law and social sciences outside the judiciary |
| Political parties and leaders: | Chat Thai Phattana Party or CP (Thai Nation Development Party) [CHUMPON Silpa-archa]; Democrat Party or DP (Prachathipat Party) [ABHISIT Wetchachiwa, also spelled ABHISIT Vejjajiva]; Motherland Party (Phuea Phaendin Party) [CHANCHAI Chairungrueng]; Phuea Thai Party (For Thais Party) or PTP [YONGYUTH Wichaidit]; Phumjai (Bhumjai) Thai Party or PJT (Thai Pride) [CHAWARAT Chanvirakun]; Royalist People's Party (Pracharaj) [SANOH Thienthong]; Ruam Jai Thai Party (Thai Unity Party) [WANNARAT Channukun] |
| Political pressure groups and leaders: | People's Alliance for Democracy or PAD; United Front for Democracy Against Dictatorship or UDD |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIMSTEC, BIS, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE (partner), PCA, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Kittiphong Na RANONG |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kristie A. KENNEY |
| Diplomatic representation from the US: | embassy: 120-122 Wireless Road, Bangkok 10330 |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | telephone: [66] (2) 205-4000 |
| Diplomatic representation from the US: | FAX: [66] (2) 254-2990, 205-4131 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red; the red color symbolizes the nation and the blood of life; white represents religion and the purity of Buddhism; blue stands for the monarchy |
| Flag description: | note: similar to the flag of Costa Rica but with the blue and red colors reversed |
| National anthem: | name: "Phleng Chat Thai" (National Anthem of Thailand) |
| National anthem: | lyrics/music: LUANG Saranuprapan/PHRA Jenduriyang |
| National anthem: | note: music adopted 1932, lyrics adopted 1939; by law, people are required to stand for the national anthem at 0800 and 1800 every day; the anthem is played in schools, offices, theaters, and on television and radio during this time; "Phleng Sansasoen Phra Barami" (A Salute to the Monarch) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
