| Government | Burundi |
| Diplomatic representation in the US: | Ambassador S.E. Gandence SINDAYIGAYA (since 20 September 2019); Charge d'Affaires Benjamin MANIRAKIZA (since 7 December 2017) |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Avenue NW, Suite 408, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2574 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-2578 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge dâ€™Affaires Eunice S. REDDICK (since May 2019) |
| Diplomatic representation from the US: | telephone: [257] 22-207-000 |
| Diplomatic representation from the US: | embassy: Avenue Des Etats-Unis, Bujumbura |
| Diplomatic representation from the US: | BP1720 |
| Diplomatic representation from the US: | mailing address: B.P. 1720, Bujumbura |
| Diplomatic representation from the US: | FAX: [257] 22-222-926 |
| Flag description: | divided by a white diagonal cross into red panels (top and bottom) and green panels (hoist side and fly side) with a white disk superimposed at the center bearing three red six-pointed stars outlined in green arranged in a triangular design (one star above, two stars below); green symbolizes hope and optimism, white purity and peace, and red the blood shed in the struggle for independence; the three stars in the disk represent the three major ethnic groups: Hutu, Twa, Tutsi, as well as the three elements in the national motto: unity, work, progress |
| National symbol(s): | lion; national colors: red, white, green |
| National anthem: | name: "Burundi Bwacu" (Our Beloved Burundi) |
| National anthem: | lyrics/music: Jean-Baptiste NTAHOKAJA/Marc BARENGAYABO |
| National anthem: | note: adopted 1962 |
