| Government | MAURITANIA |
| Political parties and leaders: | Coalition for Pacific Alternation or CAP (coalition of opposition parties, including APP, El Wiam) |
| Political parties and leaders: | Coalition of Majority Parties or CPM (includes UPR, UDP) |
| Political parties and leaders: | Coordination of Democratic Opposition or COD [Ahmed Ould DADDAH] (coalition includes RNRD-TAWASSOUL) |
| Political parties and leaders: | El Karama Party [Cheikhna Ould Mohamed Ould HAJBOU] |
| Political parties and leaders: | El Vadila Party [Ethmane Ould Ahmed ABOULMAALY] |
| Political parties and leaders: | El Wiam [Boidiel Ould HOUMEIT] |
| Political parties and leaders: | Initiative for the Resurgence of the Abolitionist Movement [Biram Dah ABEID] |
| Political parties and leaders: | National Rally for Reform and Development or RNRD-TAWASSOUL [Mohamed Jamil Ould MANSOUR] |
| Political parties and leaders: | Party for Liberty, Equality and Justice [Ba ALASSANE] |
| Political parties and leaders: | Party of Unity and Development or PUD [Mohamed BARO] |
| Political parties and leaders: | Popular Progressive Alliance or APP [Messaoud Ould BOULKHEIR] |
| Political parties and leaders: | Ravah Party |
| Political parties and leaders: | Republican Party for Democracy and Renewal or PRDR [Sidi Mohamed Ould Mohamed VALL] |
| Political parties and leaders: | Union for Democracy and Progress or UDP [Naha Mint MOUKNASS] |
| Political parties and leaders: | Union for Progress [Mohamed Ould MAOULOUD] |
| Political parties and leaders: | Union for the Republic or UPR [Sidi Mohamed Ould MAHAM] |
| Political pressure groups and leaders: | Association of Women Heads of Household [Aminetou Mint ElMOCTAR] |
| Political pressure groups and leaders: | General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED] |
| Political pressure groups and leaders: | Independent Confederation of Mauritanian Workers or CLTM and El Hor [Samory Ould BEYE] (civil society organization, anti-slavery) |
| Political pressure groups and leaders: | Initiative for Resurgent Abolitionist Movement or IRA-Mauritania [Biram Dah ABEID] (US-based, anti-slavery group) |
| Political pressure groups and leaders: | Mauritanian Human Rights Association or AMDH [Fatimata M'BAYE] |
| Political pressure groups and leaders: | Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM] |
| Political pressure groups and leaders: | National Forum for Democracy and Unity [Mohamed Jamil Ould MANSOUR] |
| Political pressure groups and leaders: | SOS-Esclaves [Boubacar Ould MESSAOUD] (anti-slavery) |
| Political pressure groups and leaders: | other: Arab nationalists; Ba'athists; Islamists; Nasserists |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AMU, AU, CAEU (candidate), EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAS, MIGA, MIUSMA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohamedoun DADDAH (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 2129 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5700 through 5701 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2623 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry Edward ANDRE, Jr. (since 3 November 2014) |
| Diplomatic representation from the US: | embassy: 288, rue 42-100 (rue Abdallaye), Nouakchott |
| Diplomatic representation from the US: | mailing address: B.P. 222, Nouakchott |
| Diplomatic representation from the US: | telephone: [222] 4525-2660 or [222] 2660-2663 |
| Diplomatic representation from the US: | FAX: [222] 4525-1592 |
| Flag description: | green with a yellow five-pointed star above a yellow, horizontal crescent; the closed side of the crescent is down; the crescent, star, and color green are traditional symbols of Islam; green also represents hope for a bright future; the yellow color stands for the sands of the Sahara |
| National symbol(s): | star and crescent; national colors: green, yellow |
| National anthem: | name: "Hymne National de la Republique Islamique de Mauritanie" (National Anthem of the Islamic Republic of Mauritania) |
| National anthem: | lyrics/music: Baba Ould CHEIKH/traditional, arranged by Tolia NIKIPROWETZKY |
| National anthem: | note: adopted 1960; the unique rhythm of the Mauritanian anthem makes it particularly challenging to sing |
