| Government | Syria |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert Stephen FORD (since 7 January 2011); note - on 6 February 2012, the US closed its embassy in Damascus |
| Diplomatic representation from the US: | embassy: Abou Roumaneh, Al-Mansour Street, No. 2, Damascus |
| Diplomatic representation from the US: | mailing address: P. O. Box 29, Damascus |
| Diplomatic representation from the US: | telephone: [963] (11) 3391-4444 |
| Diplomatic representation from the US: | FAX: [963] (11) 3391-3999 |
| Flag description: | three equal horizontal bands of red (top), white, and black; two small, green, five-pointed stars in a horizontal line centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); identical to the former flag of the United Arab Republic (1958-1961) where the two stars represented the constituent states of Syria and Egypt; the current design dates to 1980 |
| Flag description: | note: similar to the flag of Yemen, which has a plain white band, Iraq, which has an Arabic inscription centered in the white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band |
| National symbol(s): | hawk |
| National anthem: | name: "Humat ad-Diyar" (Guardians of the Homeland) |
| National anthem: | lyrics/music: Khalil Mardam BEY/Mohammad Salim FLAYFEL and Ahmad Salim FLAYFEL |
| National anthem: | note: adopted 1936, restored 1961; between 1958 and 1961, while Syria was a member of the United Arab Republic with Egypt, the country had a different anthem |
