| Government | Kazakhstan |
| Legislative branch: | bicameral Parliament consists of the Senate (39 seats; 7 senators are appointed by the president; other members are popularly elected, two from each of the 14 oblasts, the capital of Astana, and the city of Almaty, to serve six-year terms; note - formerly composed of 47 seats) and the Majilis (77 seats; 10 out of the 77 Majilis members are elected from the winning party's lists; members are popularly elected to serve five-year terms) |
| Legislative branch: | elections: Senate - (indirect) last held 17 September 1999 (next to be held December 2005); Majilis - last held 19 September and 3 October 2004 (next to be held September 2009) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - NA; candidates nominated by local councils; Majilis - percent of vote by party - NA%; seats by party - Otan 42, AIST 11, ASAR (All Together) 4, Ak Zhol (Bright Path) 1, Democratic Party 1, independent 18; note - most independent candidates are affiliated with parastatal enterprises and other pro-government institutions |
| Judicial branch: | Supreme Court (44 members); Constitutional Council (7 members) |
| Political parties and leaders: | Agrarian Party [Romin MADINOV]; Ak Zhol Party "Bright Path" [Bulat ABILOV, Uraz ZHANDOSOV, Lyudmila ZHULANOVA, Alikhan BAYMENOV, Altynbek SARSENBAYEV, co-chairs]; ASAR "All Together" [Dariga NAZARBAYEVA, chairwoman]; AUL "Village" [Gani KALIYEV]; Civic Party [Azat PERUASHEV, first secretary]; Communist Party or KPK [Serikbolsyn ABDILDIN, first secretary]; Communist People's Party of Kazakhstan [Vladislav KOSAREV]; Democratic Party of Kazakhstan [Maksut NARIKBAEV]; Otan "Fatherland" [Bakhytzhan ZHUMAGULOV, acting chairman]; Patriots' Party [Gani KASYMOV]; Rukhaniyat [Altynshash JAGANOVA] |
| Political pressure groups and leaders: | Adil-Soz [Tamara KALEYEVA]; Almaty Helsinki Group [Ninel FOKINA]; Confederation of Free Trade Unions [Sergei BELKIN]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; Republican Network of International Monitors [Dos KUSHIM]; Transparency International [Sergei ZLOTNIKOV] |
| International organization participation: | AsDB, CIS, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM (observer), NSG, OAS (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Kanat B. SAUDABAYEV |
| Diplomatic representation in the US: | chancery: 1401 16th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5488 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5845 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador John M. ORDWAY |
| Diplomatic representation from the US: | embassy: 99/97A Fumanova, Samal-2, Almaty, 480099 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [7] (3272) 50-48-02 |
| Diplomatic representation from the US: | FAX: [7] (3272) 50-48-84 |
| Flag description: | sky blue background representing the endless sky and a gold sun with 32 rays soaring above a golden steppe eagle in the center; on the hoist side is a "national ornamentation" in gold |
