| Government | Kazakhstan |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held on 3 April 2011 (next to be held in 2016); prime minister and deputy prime ministers appointed by the president, with Mazhilis approval; note - constitutional amendments of May 2007 shortened the presidential term from seven years to five years and established a two-consecutive-term limit; NAZARBAYEV has official status as the "First President of Kazakhstan" and is allowed an unlimited amount of terms |
| Executive branch: | note: constitutional amendments of February 2011 moved election date from 2012 to April 2011 but kept five-year term; subsequent election to take place in 2016 |
| Executive branch: | election results: Nursultan A. NAZARBAYEV reelected president; percent of vote - Nursultan A. NAZARBAYEV 95.5%, other 4.5% |
| Legislative branch: | bicameral Parliament consists of the Senate (47 seats; 15 members are appointed by the president; 32 members elected by local assemblies; members serve six-year terms, but elections are staggered with half of the members up for re-election every three years) and the Mazhilis (107 seats; 9 out of the 107 Mazhilis members elected by the Assembly of the People of Kazakhstan, a presidentially appointed advisory body designed to represent the country's ethnic minorities; non-appointed members are popularly elected to serve five-year terms) |
| Legislative branch: | elections: Senate - (indirect) last held in August 2011 (next to be held in 2014); Mazhilis - last held on 15 January 2012 (next to be held in 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Nur Otan 16; Mazhilis - percent of vote by party - Nur-Otan 81%, Ak Zhol 7.5%, Communist People's Party 7.2%, other 4.3%; seats by party - Nur-Otan 83, Ak Zhol 8, Communist People's Party 7 |
| Judicial branch: | Supreme Court (44 members); Constitutional Council (seven members) |
| Political parties and leaders: | Adilet (Justice) [Maksut NARIKBAYEV, Serik ABDRAHMANOV, Bakhytbek AKHMETZHAN, Yerkin ONGARBAYEV, Tolegan SYDYKOV] (formerly Democratic Party of Kazakhstan); Agrarian and Industrial Union of Workers Block or AIST (Agrarian Party and Civic Party); Ak Zhol Party (Bright Path) [Azat PERUASHEV]; Alga [Vladimir KOZLOV] (unregistered and banned as extremist in November 2012); Auyl (Village) [Gani KALIYEV]; Azat (Freedom) Party [Bolat ABILOV] (formerly True Ak Zhol Party); Azat NSDP [co-chaired by Bolat ABILOV and Zharmakhan TUYAKBAY]; Azat and NSDP united in 2009, but the authorities have refused to register Azat NSDP as a single party; Communist Party of Kazakhstan or KPK [Serikbolsyn ABDILDIN] (unregistered); Communist People's Party of Kazakhstan [Vladislav KOSAREV]; National Social Democratic Party or NSDP [Zharmakhan TUYAKBAY]; Nur Otan (Fatherland's Ray of Light) [Nursultan NAZARBAYEV, Nurlan NIGMATULIN] (the Agrarian, Asar, and Civic parties merged with Otan); Patriots' Party [Gani KASYMOV]; Rukhaniyat (Spirituality) [Altynshash ZHAGANOVA] |
| Political pressure groups and leaders: | Adil-Soz [Tamara KALEYEVA]; Almaty Helsinki Committee [Ninel FOKINA]; Confederation of Free Trade Unions [Sergei BELKIN]; For Fair Elections [Yevgeniy ZHOVTIS, Sabit ZHUSUPOV, Sergey DUVANOV, Ibrash NUSUPBAYEV]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director]; Khalyk Maidany (Peoples' Front) - an informal union between the unregistered Alga Party, the unregistered Communist Party of Kazakhstan, and several opposition-oriented civil society groups, banned in November 2012 [no formal leader]; Pan-National Social Democratic Party of Kazakhstan [Zharmakhan TUYAKBAY]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; Republican Network of International Monitors [Daniyar LIVAZOV]; Transparency International [Sergey ZLOTNIKOV] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, EITI (candidate country), FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM (observer), NSG, OAS (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kayrat UMAROV |
| Diplomatic representation in the US: | chancery: 1401 16th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5488 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5845 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kenneth FAIRFAX |
| Diplomatic representation from the US: | embassy: Ak Bulak 4, Str. 23-22, Building #3, Astana 010010 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [7] (7172) 70-21-00 |
| Diplomatic representation from the US: | FAX: [7] (7172) 34-08-90 |
| Flag description: | a gold sun with 32 rays above a soaring golden steppe eagle, both centered on a sky blue background; the hoist side displays a national ornamental pattern "koshkar-muiz" (the horns of the ram) in gold; the blue color is of religious significance to the Turkic peoples of the country, and so symbolizes cultural and ethnic unity; it also represents the endless sky as well as water; the sun, a source of life and energy, exemplifies wealth and plenitude; the sun's rays are shaped like grain, which is the basis of abundance and prosperity; the eagle has appeared on the flags of Kazakh tribes for centuries and represents freedom, power, and the flight to the future |
| National symbol(s): | golden eagle |
| National anthem: | name: "Menin Qazaqstanim" (My Kazakhstan) |
| National anthem: | lyrics/music: Zhumeken NAZHIMEDENOV and Nursultan NAZARBAYEV/Shamshi KALDAYAKOV |
| National anthem: | note: adopted 2006; President Nursultan NAZARBAYEV played a role in revising the lyrics |
