| Government | Kazakhstan |
| Legislative branch: | bicameral Parliament consists of the Senate (39 seats - previously 47 seats; 7 senators are appointed by the president; other members are popularly elected, two from each of the 14 oblasts, the capital of Astana, and the city of Almaty, to serve six-year terms) and the Majilis (77 seats; 10 out of the 77 Majilis members are elected from the winning party's lists; members are popularly elected to serve five-year terms) |
| Legislative branch: | election results: note - the election results are for the old Senate structure; Senate - percent of vote by party - NA%; seats by party - NA; 16 seats up for election in 1999, candidates nominated by local councils; Majilis - percent of vote by party - NA%; seats by party - Otan 23, Civic Party 13, Communist Party 3, Agrarian Party 3, People's Cooperative Party 1, independents 34; note - most independent candidates are affiliated with parastatal enterprises and other pro-government institutions |
| Legislative branch: | elections: Senate - (indirect) last held 17 September 1999 (next to be held NA December 2005); Majilis - last held 10 and 24 October and 26 December 1999 (next to be held NA 2004) |
| Judicial branch: | Supreme Court (44 members); Constitutional Council (7 members) |
| Political parties and leaders: | Agrarian Party [Romin MADINOV]; Alash [Sabet-Kazy AKATAY]; AZAMAT "Citizen" Movement [Petr SVOIK, Murat AUEZOV, and Galym ABILSEITOV, cochairmen]; Civic Party [Azat PERUASHEV, first secretary]; Communist Party or KPK [Serikbolsyn ABDILDIN, first secretary]; Forum of Democratic Forces [a union of opposition parties, movements, and NGOs which includes Communists, RNPK, Orleu "Development" Movement, Pokoleniye "Generation" Pensioners' Movement, Labor Movement, Association of Independent Mass Media of Central Asia, and the Tabighat "Nature" Ecological Movement]; Labor and Worker's Movement [Madel ISMAILOV, chairman]; Orleu "Development" Movement [Seidakhmet KUTTYKADAM]; Otan "Fatherland" [Sergei TERESCHENKO, chairman]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; People's Congress of Kazakhstan of NKK [Olzhas SULEIMENOV, chairman]; People's Cooperative Party of Kazakhstan [Umirzak SARSENOV]; Republican People's Party of Kazakhstan or RNPK [Akezhan KAZHEGELDIN]; Socialist Party [Petr SVOIK]; United Democratic Party (a new party not yet registered) [leader NA] |
| Political pressure groups and leaders: | Adil-Soz [Tamara KALEYEVA]; Democratic Choice of Kazakhstan [Galymzhan ZHAKIYANOV, Uraz ZHANDOSOV, Nurzhan SUBKHANBERDIN, Mukhtar ABLYAZOV, Zhanat YERTLESOVA, Bulat ABILOV, cofounders]; Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director] |
| International organization participation: | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IAEA, IBRD, ICAO, IDA, IDB, IFAD, IFC, IFRCS (associate), ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, NAM (observer), OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Kanat B. SAUDABAYEV |
| Diplomatic representation in the US: | chancery: 1401 16th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5845 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5488 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry C. NAPPER |
| Diplomatic representation from the US: | embassy: 99/97A Furmanova Street, Almaty, Republic of Kazakhstan 480091 |
| Diplomatic representation from the US: | mailing address: American Embassy Almaty, Department of State, Washington, DC 20521-7030 |
| Diplomatic representation from the US: | telephone: [7] (3272) 63-39-21, 50-76-23, 50-76-27 (emergency number) |
| Diplomatic representation from the US: | FAX: [7] (3272) 50-62-69 |
| Flag description: | sky blue background representing the endless sky and a gold sun with 32 rays soaring above a golden steppe eagle in the center; on the hoist side is a "national ornamentation" in gold |
