| Government |
| Legislative branch: | bicameral Parliament consists of the Senate (47 seats; 7 senators are appointed by the president; other members are popularly elected, two from each of the former oblasts and the former capital of Almaty, to serve six-year terms) and the Majilis (67 seats; the addition of 10 "Party List" seats brings the total to 77; members are popularly elected to serve five-year terms); note - with the oblasts being reduced to 14, the Senate will eventually be reduced to 37; a number of Senate seats come up for reelection every two years |
| Legislative branch: | elections: Senate - (indirect) last held 17 September 1999 (next to be held NA 2001); Majilis - last held 10 and 24 October and 26 December 1999 (next to be held NA 2004) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - NA; 16 seats up for election in 1999, candidates nominated by local councils; Majilis - percent of vote by party - NA%; seats by party - Otan 23, Civic Party 13, Communist Party 3, Agrarian Party 3, People's Cooperative Party 1, independents 34; note - most independent candidates are affiliated with parastatal enterprises and other pro-government institutions |
| Judicial branch: | Supreme Court (44 members); Constitutional Council (7 members) |
| Political parties and leaders: | Agrarian Party [Romin MADENOV]; Alash [Soverkazhy AKATAYEV]; AZAMAT Movement [Petr SVOIK, Murat AUEZOV, and Galym ABILSIITOV, cochairmen]; Civic Party [Azat PERUASHEV, first secretary]; Communist Party or KPK [Serikbolsyn ABDILDIN, first secretary]; Forum of Democratic Forces [Nurbulat MASANOV, Deputy Chairman of the Republican People's Party of Kazakhstan (RNPK); Amirzhan KOSANOV, RNPK activist; Seidakhmet KUTTYKADAM, Orleu Movement; cochairmen]; Labor and Worker's Movement [Madel ISMAILOV, chairman]; Orleu Movement [Seidakhmet KUTTYKADAM]; Otan [Sergei TERESCHENKO, chairman]; Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman]; People's Congress of Kazakhstan of NKK [Olzhas SULEIMENOV, chairman]; People's Cooperative Party [Umirzak SARSENOV]; People's Unity Party or PUP [Nursultan A. NAZARBAYEV]; Republican People's Party of Kazakhstan or RNPK [Akezhan KAZHEGELDIN] |
| Political pressure groups and leaders: | Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, executive director] |
| International organization participation: | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IAEA, IBRD, ICAO, IDA, IDB, IFAD, IFC, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM (observer), OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Kanat SAUDABAYEV |
| Diplomatic representation in the US: | chancery: 1401 16th Street, NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5488 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5845 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard H. JONES |
| Diplomatic representation from the US: | embassy: 99/97A Furmanova Street, Almaty, Republic of Kazakhstan 480091 |
| Diplomatic representation from the US: | mailing address: American Embassy Almaty, Department of State, Washington, DC 20521-7030 |
| Diplomatic representation from the US: | telephone: [7] (3272) 63-39-21, 50-76-23, 50-76-27 (emergency number) |
| Diplomatic representation from the US: | FAX: [7] (3272) 63-38-83, 50-76-24 |
| Flag description: | sky blue background representing the endless sky and a gold sun with 32 rays soaring above a golden steppe eagle in the center; on the hoist side is a "national ornamentation" in gold |
