| Government | KAZAKHSTAN |
| Executive branch: | election results: Nursultan Abishuly NAZARBAYEV reelected president; percent of vote - Nursultan Abishuly NAZARBAYEV (Nur Otan) 97.8%, other 2.2% |
| Legislative branch: | description: bicameral Parliament consists of the Senate (47 seats; 32 members indirectly elected by majority two-round vote by the oblast-level assemblies and 15 members appointed by the president; members serve 6-year terms, with one-half of the membership renewed every 3 years) and the Mazhilis (107 seats; 98 members directly elected in a single national constituency by proportional representation vote to serve 5-year terms and 9 indirectly elected by the Assembly of People of Kazakhstan, a 350-member, presidentially appointed advisory body designed to represent the country's ethnic minorities) |
| Legislative branch: | elections: Senate - (indirect) last held in 2014 (next to be held in 2017); Mazhilis - last held on 15 January 2012 (next to be held by November 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Nur Otan 16; Mazhilis - percent of vote by party - Nur-Otan 81%, Ak Zhol 7.5%, Communist People's Party 7.2%, other 4.3%; seats by party - Nur-Otan 83, Ak Zhol 8, Communist People's Party 7 |
| Judicial branch: | highest court(s): Supreme Court of the Republic (consists of 44 members); Constitutional Council (consists of 7 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges proposed by the president of the republic on recommendation of the Supreme Judicial Council, and confirmed by the Senate; judge tenure NA; Constitutional Council - the president of the republic, the Senate chairperson, the Majilis chairperson each appoints 1 member for a 3-year term and each appoints 1 member for a 6-year term; chairperson of the Constitutional Council appointed by the president of the republic for a 6-year term |
| Judicial branch: | subordinate courts: regional and local courts |
| Political parties and leaders: | Ak Zhol Party (Bright Path) [Azat PERUASHEV] |
| Political parties and leaders: | Alga [Vladimir KOZLOV] (unregistered and banned as extremist in November 2012) |
| Political parties and leaders: | Auyl (Village) [Gani KALIYEV] |
| Political parties and leaders: | Azat (Freedom) Party [Bolat ABILOV] (formerly True Ak Zhol Party) |
| Political parties and leaders: | Birlik (Unity) [Seril SULTANGALI] (Birlik is an April 2013 merger of Adilet (Justice; formerly Democratic Party of Kazakhstan) and Rukhaniyat (Spirituality)) |
| Political parties and leaders: | NSDP [Zharmakhan TUYAKBAY] |
| Political parties and leaders: | Communist Party of Kazakhstan or KPK [Serikbolsyn ABDILDIN] (suspended by court decision) |
| Political parties and leaders: | Communist People's Party of Kazakhstan [Vladislav KOSAREV] |
| Political parties and leaders: | National Social Democratic Party or NSDP [Zharmakhan TUYAKBAY] |
| Political parties and leaders: | Nur Otan (Fatherland's Ray of Light) [Nursultan NAZARBAYEV, Nurlan NIGMATULIN] (the Agrarian, Asar, and Civic parties merged with Otan) |
| Political parties and leaders: | Patriots' Party [Gani KASYMOV] |
| Political pressure groups and leaders: | Adil-Soz [Tamara KALEYEVA] |
| Political pressure groups and leaders: | Almaty Helsinki Committee [Ninel FOKINA] |
| Political pressure groups and leaders: | Confederation of Free Trade Unions [Sergei BELKIN] |
| Political pressure groups and leaders: | For Fair Elections [Yevgeniy ZHOVTIS, Sabit ZHUSUPOV, Sergey DUVANOV, Ibrash NUSUPBAYEV] |
| Political pressure groups and leaders: | Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, Chairman of Bureau's Council, Roza AKYLBEKOVA, director] |
| Political pressure groups and leaders: | Khalyk Maidany (Peoples' Front) - an informal union between the unregistered Alga Party, the unregistered Communist Party of Kazakhstan, and several opposition-oriented civil society groups, banned in November 2012 [no formal leader] |
| Political pressure groups and leaders: | Pan-National Social Democratic Party of Kazakhstan [Zharmakhan TUYAKBAY] |
| Political pressure groups and leaders: | Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman] |
| Political pressure groups and leaders: | Republican Network of International Monitors [Daniyar LIVAZOV] |
| Political pressure groups and leaders: | Transparency International [Sergey ZLOTNIKOV] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, EITI (compliant country), FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, MINURSO, NAM (observer), NSG, OAS (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kayrat UMAROV (since 14 January 2013) |
| Diplomatic representation in the US: | chancery: 1401 16th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5488 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5845 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador George KROL (since 18 March 2015) |
| Diplomatic representation from the US: | embassy: Rakhymzhan Koshkarbayev Ave. No 3, Astana 010010 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [7] (7172) 70-21-00 |
| Diplomatic representation from the US: | FAX: [7] (7172) 54-09-14 |
| Diplomatic representation from the US: | Consulate(s) General: Almaty |
| Flag description: | a gold sun with 32 rays above a soaring golden steppe eagle, both centered on a sky blue background; the hoist side displays a national ornamental pattern "koshkar-muiz" (the horns of the ram) in gold; the blue color is of religious significance to the Turkic peoples of the country, and so symbolizes cultural and ethnic unity; it also represents the endless sky as well as water; the sun, a source of life and energy, exemplifies wealth and plenitude; the sun's rays are shaped like grain, which is the basis of abundance and prosperity; the eagle has appeared on the flags of Kazakh tribes for centuries and represents freedom, power, and the flight to the future; blue and yellow are the national colors |
| National symbol(s): | golden eagle; national colors: blue, yellow |
| National anthem: | name: "Menin Qazaqstanim" (My Kazakhstan) |
| National anthem: | lyrics/music: Zhumeken NAZHIMEDENOV and Nursultan NAZARBAYEV/Shamshi KALDAYAKOV |
| National anthem: | note: adopted 2006; President Nursultan NAZARBAYEV played a role in revising the lyrics |
