| Government | France |
| Legislative branch: | bicameral Parliament or Parlement consists of the Senate or Senat (331 seats, 305 for metropolitan France, 9 for overseas departments, 5 for dependencies, and 12 for French nationals abroad; members are indirectly elected by an electoral college to serve nine-year terms; one third elected every three years); note - between 2006 and 2010, 15 new seats will be added to the Senate for a total of 346 seats - 326 for metropolitan France and overseas departments, 2 for New Caledonia, 2 for Mayotte, 1 for Saint-Pierre and Miquelon, 3 for overseas territories, and 12 for French nationals abroad; starting in 2008, members will be indirectly elected by an electoral college to serve six-year terms, with one-half elected every three years; and the National Assembly or Assemblee Nationale (577 seats, 555 for metropolitan France, 15 for overseas departments, 7 for dependencies; members are elected by popular vote under a single-member majority system to serve five-year terms) |
| Legislative branch: | elections: Senate - last held 26 September 2004 (next to be held in September 2008); National Assembly - last held 10 and 17 June 2007 (next to be held on June 2012) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - UMP 156, PS 97, UDF 33, PCF 23, RDSE 15, other 7; National Assembly - percent of vote by party - UMP 46.37%, PS 42.25%, miscellaneous left wing parties 2.47%, PCF 2.28%, NC 2.12%, PRG 1.65%, miscellaneous right wing parties 1.17%, the Greens 0.45, other 1.24%; seats by party - UMP 313, PS 186, NC 22, miscellaneous left wing parties 15, PCF 15, miscellaneous right wing parties 9, PRG 7, the Greens 4, other 6 |
| Judicial branch: | Supreme Court of Appeals or Cour de Cassation (judges are appointed by the president from nominations of the High Council of the Judiciary); Constitutional Council or Conseil Constitutionnel (three members appointed by the president, three appointed by the president of the National Assembly, and three appointed by the president of the Senate); Council of State or Conseil d'Etat |
| Political parties and leaders: | Citizen and Republican Movement or MRC [Jean Pierre CHEVENEMENT]; Democratic and European Social Rally or RDSE [Jacques PELLETIER] (mainly Radical Republican and Socialist Parties, and PRG); French Communist Party or PCF [Marie-George BUFFET]; Greens [Yann WEHRLING]; Left Radical Party or PRG [Jean-Michel BAYLET] (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG); Movement for France or MPF [Philippe DE VILLIERS]; National Front or FN [Jean-Marie LE PEN]; New Center of NC [Herve MORIN]; Rally for France or RPF [Charles PASQUA]; Socialist Party or PS [Francois HOLLANDE]; Union for French Democracy or UDF [Francois BAYROU]; Union for a Popular Movement or UMP [Nicolas SARKOZY]; Radical Party [Jean-Louis BORLOO] |
| Political pressure groups and leaders: | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 889,000 members (claimed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| Political pressure groups and leaders: | French Guiana: NA |
| Political pressure groups and leaders: | Guadeloupe: Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement of Independent Guadeloupe or MPGI; The Socialist Renewal Movement |
| Political pressure groups and leaders: | Martinique: Caribbean Revolutionary Alliance or ARC; Central Union for Martinique Workers or CSTM [Marc PULVAR]; Frantz Fanon Circle; League of Workers and Peasants; Proletarian Action Group or GAP |
| Political pressure groups and leaders: | Reunion: NA |
| International organization participation: | ABEDA, ACCT, AfDB, Arctic Council (observer), AsDB, Australia Group, BDEAC, BIS, BSEC (observer), CBSS (observer), CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FZ, G- 5, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IFTU, IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, MINURSO, MINUSTAH, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, PIF (partner), Schengen Convention, SECI (observer), SPC, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNITAR, UNMEE, UNMIL, UNMOVIC, UNOCI, UNOMIG, UNRWA, UNTSO, UNWTO, UPU, WADB (nonregional), WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Pierre VIMONT |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Craig R. STAPLETON |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75382 Paris Cedex 08 |
| Diplomatic representation from the US: | mailing address: PSC 116, APO AE 09777 |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the "Le drapeau tricolore" (French Tricolor), the origin of the flag dates to 1790 and the French Revolution; the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Ireland, Cote d'Ivoire, Luxembourg, and Netherlands; the official flag for all French dependent areas |
