| Government | France |
| Executive branch: | cabinet: Council of Ministers appointed by the president at the suggestion of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 23 April with a runoff on 7 May 2017 (next to be held in April 2022); prime minister appointed by the president |
| Executive branch: | election results: Emmanuel MACRON elected president in second round; percent of vote in first round - Emmanuel MACRON (EM) 24.%, Marine LE PEN (FN) 21.3%, Francois FILLON (LR) 20.%, Jean-Luc MELENCHON (FI) 19.6%, Benoit HAMON (PS) 6.4%, other 8.7%; percent of vote in second round - MACRON 66.1%, LE PEN 33.9% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of: |
| Legislative branch: | Senate or Senat (348 seats - 328 for metropolitan France and overseas departments and regions of Guadeloupe, Martinique, French Guiana, Reunion, and Mayotte, 2 for New Caledonia, 2 for French Polynesia, 1 for Saint-Pierre and Miquelon, 1 for Saint-Barthelemy, 1 for Saint-Martin, 1 for Wallis and Futuna, and 12 for French nationals abroad; members indirectly elected by departmental electoral colleges using absolute majority vote in 2 rounds if needed for departments with 1-3 members and proportional representation vote in departments with 4 or more members; members serve 6-year terms with one-half of the membership renewed every 3 years) |
| Legislative branch: | National Assembly or Assemblee Nationale (577 seats - 556 for metropolitan France, 10 for overseas departments, and 11 for citizens abroad; members directly elected by absolute majority vote in 2 rounds if needed to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 24 September 2017 (next to be held on 24 September 2020) |
| Legislative branch: | National Assembly - last held on 11 and 18 June 2017 (next to be held in June 2022) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by political caucus (party or group of parties)Â  - LR 144, PS 73, UC 51. LREM 23, RDSE 22, CRCE 16, RTLI 13, other 6; composition - men 246, women 102, percent of women 29.3% |
| Legislative branch: | National Assembly - percent of vote by party first round - LREM 28.2%, LR 15.8%. FN 13.2%, FI 11%, PS 7.4%, other 24.4%; percent of vote by party second round - LREM 43.1%, LR 22.2%, FN 8.8%, MoDEM 6.1%, PS 5.7%. FI 4.9%, other 9.2%; seats by political caucus (party or group of parties) - LREM 306, LR 104, MoDEM 46, UDI/Agir 29, PS 29, UDI 18, FI 17, Liberties and Territories 16, PCF 16, other 14; composition - men 349, women 228, percent of women 39.5%; note - total Parliament percent of women 35.7% |
| Judicial branch: | highest courts: Court of Cassation or Cour de Cassation (consists of the court president, 6 divisional presiding judges, 120 trial judges, and 70 deputy judges organized into 6 divisions - 3 civil, 1 commercial, 1 labor, and 1 criminal); Constitutional Council (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by the president of the republic from nominations from the High Council of the Judiciary, presided over by the Court of Cassation and 15 appointed members; judges appointed for life; Constitutional Council members - 3 appointed by the president of the republic and 3 each by the National Assembly and Senate presidents; members serve 9-year, non-renewable terms with one-third of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: appellate courts or Cour d'Appel; regional courts or Tribunal de Grande Instance; first instance courts or Tribunal d'instance; administrative courts |
| Judicial branch: | note: in April 2018, the French Government announced its intention to reform the country's judicial system |
| Political parties and leaders: | Presidential majority Parties [Edouard PHILIPPE] |
| Political parties and leaders: | Â  Â Â  La Republique en Marche! or REM [Richard FERRAND] |
| Political parties and leaders: | Â  Â Â  Democratic Movement or MoDem [Francois BAYROU] |
| Political parties and leaders: | Â  Â Â  Movement of Progressives or MDPÂ  Robert HUE] |
| Political parties and leaders: | Parliamentary right Parties [Francois BAROIN] |
| Political parties and leaders: | Â  Â Â  The Republicans or LR [Annie GENEVARD] |
| Political parties and leaders: | Â  Â Â  Union of Democrats and Independents or UDI [Jean-Christophe CAMBADELIS] |
| Political parties and leaders: | Â  Â  Â  Hunting, Fishing, Nature and Tradition or (CPNT) [Eddie PUYJAION] |
| Political parties and leaders: | Â  Â Â  CE |
| Political parties and leaders: | Parliamentary left Parties [Bernard CAZENEUVE] |
| Political parties and leaders: | Â  Â Â  Sociatlist Party or PS [Jean-Christophe CAMBADEMAND] |
| Political parties and leaders: | Â  Â Â  Radical Party of the Left or PRG [Sylvia PINEL] |
| Political parties and leaders: | Â  Â Â  Citizen and Republican Movement or MRC [Jean-Luc LAURENT] |
| Political parties and leaders: | Â  Â Â  Martinican Progressive Party or PPM [Aiem CESAIRE] |
| Political parties and leaders: | National Front or FN [Marine LE PEN] |
| Political parties and leaders: | La France Insoumise or FI [Jean-Luc MELENCHONLIS] |
| Political parties and leaders: | Europe Ecologists - the Greens or EELV [David CORMAND] |
| Political parties and leaders: | French Communist Party or PCF [Pierre LAURENT] |
| Political parties and leaders: | Debout la France or DLF [Nicolas DUPONT-AIGNAN] |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BDEAC, BIS, BSEC (observer), CBSS (observer), CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, FZ, G-5, G-7, G-8, G-10, G-20, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MINUSTAH, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SPC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMIL, UNOCI, UNRWA, UN Security Council (permanent), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | Ambassador Philippe ETIENNE (since 8 July 2019) |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco, Washington, DC |
| Diplomatic representation from the US: | chief of mission: Ambassador Jamie D. McCOURT (since 18 December 2017); note - also accredited to Monaco |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75008 Paris |
| Diplomatic representation from the US: | mailing address: PSC 116, APO AE 09777 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Diplomatic representation from the US: | consulate(s): Bordeaux, Lyon, Rennes |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the "Le drapeau tricolore" (French Tricolor), the origin of the flag dates to 1790 and the French Revolution when the "ancient French color" of white was combined with the blue and red colors of the Parisian militia; the official flag for all French dependent areas |
| Flag description: | note: the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Cote d'Ivoire, Ireland, Italy, Luxembourg, and Netherlands |
| National symbol(s): | Gallic rooster, fleur-de-lis, Marianne (female personification); national colors: blue, white, red |
| National anthem: | name: "La Marseillaise" (The Song of Marseille) |
| National anthem: | lyrics/music: Claude-Joseph ROUGET de Lisle |
| National anthem: | note: adopted 1795, restored 1870; originally known as "Chant de Guerre pour l'Armee du Rhin" (War Song for the Army of the Rhine), the National Guard of Marseille made the song famous by singing it while marching into Paris in 1792 during the French Revolutionary Wars |
