| Government | France |
| Political parties and leaders: | Citizen and Republican Movement or MCR [Jean Pierre CHEVENEMENT]; Democratic and European Social Rally or RDSE (mainly RAD. and PRG) [Jacques PELLETIER]; French Communist Party or PCF [Marie-George BUFFET]; Left Radical Party or PRG (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG) [Jean-Michel BAYLET]; Movement for France or MPF [Philippe DE VILLIERS]; Rally for France or RPF [Charles PASQUA]; Socialist Party or PS [Francois HOLLANDE]; Greens [Gilles LEMAIRE, Francine BAVAY, Jean DESESSARD, Christophe PORQUIER, Maud LELIEVRE]; Union for French Democracy or UDF [Francois BAYROU]; Union for a Popular Movement or UMP (including RPR, DL, and a part of UDF) [Nicolas SARKOZY] |
| Political pressure groups and leaders: | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 889,000 members (claimed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| International organization participation: | ABEDA, ACCT, AfDB, AsDB, Australia Group, BDEAC, BIS, BSEC (observer), CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FZ, G- 5, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, MINUSTAH, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMEE, UNMIK, UNMIL, UNMOVIC, UNOCI, UNOMIG, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jean-David LEVITTE |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, and San Francisco |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation from the US: | chief of mission: Ambassador Howard H. LEACH |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75008 Paris Cedex 08 |
| Diplomatic representation from the US: | mailing address: PSC 116, APO AE 09777 |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the "Le drapeau tricolore" (French Tricolor), the origin of the flag dates to 1790 and the French Revolution; the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Ireland, Cote d'Ivoire, Luxembourg, and Netherlands; the official flag for all French dependent areas |
