| Government | France |
| Political parties and leaders: | Citizen adn Republican Movement or MCR [Jean Pierre CHEVENEMENT]; Democratic and European Social Rally or RDES (mainly RAD and PRG) [leader NA]; Forum of Social Republicans or FRS (offshoot from UMP) [Christine BOUTIN]; French Communist Party or PCF [Marie-George BUFFET]; Generation Ecology [France GAMERRE]; Hunting, Fishing, Nature, and Tradition or CPNT [Jean SAINT-JOSSE]; Independent Ecological Movement or MEI [Antoine WAECHTER]; Left Radical Party or PRG (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG) [Jean-Michel BAYLET]; Liberal-Christian Right [Charles MILLON]; Liberal Democracy or DL (originally Republican Party or PR) [Alain MADELIN]; Movement for France or MPF [Philippe DE VILLIERS]; National Front or FN [Jean-Marie LE PEN]; National Republican Movement or MNR [Bruno MEGRET]; Radical Party or RP [Francois LOOS]; Rally for France or RPF [Charles PASQUA]; Rally for the Republic or RPR [Michelle ALLIOT-MARIE]; Revolutionary Communists' League or LCR [Alain KRIVINE]; Socialist Party or PS [Francois HOLLANDE]; The Greens [Gilles LEMAIRE, national secretary]; Union for French Democracy or UDF (coalition of DL, CDS, UDF, RP, and other parties) [Francois BAYROU]; Union for a Popular Movement or UMP (including RPR, DL, and a part of UDF) [Alain JUPPE]; Union of the Center or UDC [leader NA] |
| Political pressure groups and leaders: | historically-Communist labor union (Confederation Generale du Travail) or CGT, approximately 700,000 members (claimed); left-leaning labor union (Confederation Francaise Democratique du Travail) or CFDT, approximately 865,000 members (claimed, of which 810,000 are actively employed); independent labor union (Confederation Generale du Travail - Force Ouvriere) or FO, 300,000 members (est.); independent white-collar union (Confederation Generale des Cadres) or CGC, 196,000 members (claimed); employers' union (Mouvement des Entreprises de France) or MEDEF, 750,000 companies as members (claimed) |
| International organization participation: | ACCT, AfDB, AsDB, Australia Group, BDEAC, BIS, CCC, CDB (non-regional), CE, CERN, EAPC, EBRD, ECA (associate), ECE, ECLAC, EIB, EMU, ESA, ESCAP, EU, FAO, FZ, G- 5, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, ISO, ITU, MINURSO, MIPONUH, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, SPC, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMIK, UNMOVIC, UNOMIG, UNRWA, UNTSO, UNU, UPU, WADB (nonregional), WCL, WEU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jean-David LEVITTE |
| Diplomatic representation in the US: | chancery: 4101 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-6166 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, and San Francisco |
| Diplomatic representation in the US: | telephone: [1] (202) 944-6000 |
| Diplomatic representation from the US: | chief of mission: Ambassador Howard H. LEACH |
| Diplomatic representation from the US: | embassy: 2 Avenue Gabriel, 75008 Paris |
| Diplomatic representation from the US: | mailing address: PSC 116, B210 APO AE 09777 |
| Diplomatic representation from the US: | telephone: [33] (1) 43-12-22-22 |
| Diplomatic representation from the US: | FAX: [33] (1) 42 66 97 83 |
| Diplomatic representation from the US: | consulate(s) general: Marseille, Strasbourg |
| Flag description: | three equal vertical bands of blue (hoist side), white, and red; known as the French Tricouleur (Tricolor); the design and/or colors are similar to a number of other flags, including those of Belgium, Chad, Ireland, Cote d'Ivoire, Luxembourg, and Netherlands; the official flag for all French dependent areas |
