| Government | Azerbaijan |
| Administrative divisions: | autonomous republic: Naxcivan Muxtar Respublikasi |
| Independence: | 30 August 1991 (from Soviet Union) |
| National holiday: | Founding of the Democratic Republic of Azerbaijan, 28 May (1918) |
| Constitution: | adopted 12 November 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ilham ALIYEV (since 31 October 2003) |
| Executive branch: | head of government: Prime Minister Artur RASIZADE (since 4 November 2003); First Deputy Prime Minister Abbas ABBASOV (since 10 November 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | elections: president elected by popular vote to a five-year term (eligible for a second term); election last held 15 October 2003 (next to be held October 2008); prime minister and first deputy prime ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | election results: Ilham ALIYEV elected president; percent of vote - Ilham ALIYEV 76.8%, Isa GAMBAR 14% |
| Legislative branch: | unicameral National Assembly or Milli Mejlis (125 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 6 November 2005 (next to be held in November 2010) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Yeni 58, Azadliq coalition 8, CSP 2, YES 2, Motherland 2, other parties with single seats 7, independents 42, undetermined 4 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Azerbaijan Popular Front or APF [Ali KARIMLI, leader of "Reform" faction; Mirmahmud MIRALI-OGLU, leader of "Classic" faction]; Civic Solidarity Party or CSP [Sabir RUSTAMKHANLY]; Civic Union Party [Ayaz MUTALIBOV]; Communist Party of Azerbaijan or CPA [Ramiz AHMADOV]; Compatriot Party [Mais SAFARLI]; Democratic Party for Azerbaijan or DPA [Rasul QULIYEV, chairman]; Justice Party [Ilyas ISMAILOV]; Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA]; Motherland Party; Musavat [Isa GAMBAR, chairman]; Yeni Azerbaijan Party; Party for National Independence of Azerbaijan or PNIA [Etibar MAMMADLI, chairman]; Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE and Ayaz MUTALIBOV] |
| Political parties and leaders: | note: opposition parties regularly factionalize and form new parties |
| Political pressure groups and leaders: | Sadval, Lezgin movement; self-proclaimed Armenian Nagorno-Karabakh Republic; Talysh independence movement; Union of Pro-Azerbaijani Forces (UPAF) |
| International organization participation: | AsDB, BSEC, CE, CIS, EAPC, EBRD, ECO, FAO, GUAM, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NAM (observer), OAS (observer), OIC, OPCW, OSCE, PFP, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Yashar ALIYEV |
| Diplomatic representation in the US: | chancery: 2741 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-5911 |
| Diplomatic representation in the US: | Consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Anne E. DERSE |
| Diplomatic representation from the US: | embassy: 83 Azadliyg Prospecti, Baku AZ1007 |
| Diplomatic representation from the US: | mailing address: American Embassy Baku, US Department of State, 7050 Baku Place, Washington, DC 20521-7050 |
| Diplomatic representation from the US: | telephone: [994] (12) 4980-335 through 337 |
| Diplomatic representation from the US: | FAX: [994] (12) 4656-671 |
| Flag description: | three equal horizontal bands of blue (top), red, and green; a crescent and eight-pointed star in white are centered in red band |
