| Government | Azerbaijan |
| Administrative divisions: | autonomous republic: Naxcivan Muxtar Respublikasi (Nakhichevan) |
| Independence: | 30 August 1991 (declared from the Soviet Union); 18 October 1991 (adopted by the Supreme Council of Azerbaijan) |
| National holiday: | Founding of the Democratic Republic of Azerbaijan, 28 May (1918) |
| Constitution: | adopted 12 November 1995; modified by referendum 24 August 2002 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ilham ALIYEV (since 31 October 2003) |
| Executive branch: | head of government: Prime Minister Artur RASIZADE (since 4 November 2003); First Deputy Prime Minister Yaqub EYYUBOV (since June 2006) |
| Executive branch: | cabinet: Council of Ministers appointed by the president and confirmed by the National Assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for unlimited terms); election last held on 15 October 2008 (next to be held in October 2013); prime minister and first deputy prime minister appointed by the president and confirmed by the National Assembly |
| Executive branch: | election results: Ilham ALIYEV reelected president; percent of vote - Ilham ALIYEV 89%, Igbal AGHAZADE 2.9%, five other candidates with smaller percentages |
| Executive branch: | note: several political parties boycotted the election due to unfair conditions; OSCE observers concluded that the election did not meet international standards |
| Legislative branch: | unicameral National Assembly or Milli Mejlis (125 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 7 November 2010 (next to be held in November 2015) |
| Legislative branch: | election results: percent of vote by party - YAP 45.8%, CSP 1.6%, Motherland 1.4%, independents 48.2%, other 3.1%; seats by party - YAP 71, CSP 3, Motherland 2, Democratic Reforms 1, Great Creation 1, Hope Party 1, Social Welfare 1, Civil Unity 1, Whole Azerbaijan Popular Front 1, Justice 1, independents 42 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Azerbaijan Democratic Party or ADP [Sardar JALALOGLU]; Civil Solidarity Party or CSP [Sabir RUSTAMKHANLI]; Civil Unity Party [Sabir HACIYEV]; Classic People's Front of Azerbaijan [Mirmahmud MIRALI-OGLU]; Democratic Reform Party [Asim MOLLAZADE]; Great Creation Party [Fazil Gazanfaroglu MUSTAFAYEV]; Hope (Umid) Party [Iqbal AGAZADE]; Justice Party [Ilyas ISMAYILOV]; Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA]; Motherland Party [Fazail AGAMALI]; Musavat (Equality) [Isa GAMBAR, chairman]; Open Society Party [Rasul GULIYEV, in exile in the US]; Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE and Ayaz MUTALIBOV (in exile)]; Social Welfare Party [Hussein KAZIMLI]; United Popular Azerbaijan Front Party or AXCP [Ali KARIMLI]; Whole Azerbaijan Popular Front Party [Gudrat HASANGULIYEV]; Yeni (New) Azerbaijan Party or YAP [President Ilham ALIYEV] |
| Political parties and leaders: | note: opposition parties regularly factionalize and form new parties |
| Political pressure groups and leaders: | Azerbaijan Public Forum [Eldar NAMAZOV]; Karabakh Liberation Organization |
| International organization participation: | ADB, BSEC, CE, CICA, CIS, EAPC, EBRD, ECO, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (observer), OAS (observer), OIC, OPCW, OSCE, PFP, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Yashar ALIYEV |
| Diplomatic representation in the US: | chancery: 2741 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-5911 |
| Diplomatic representation in the US: | Consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew BRYZA |
| Diplomatic representation from the US: | embassy: 83 Azadlig Prospecti, Baku AZ1007 |
| Diplomatic representation from the US: | mailing address: American Embassy Baku, US Department of State, 7050 Baku Place, Washington, DC 20521-7050 |
| Diplomatic representation from the US: | telephone: [994] (12) 4980-335 through 337 |
| Diplomatic representation from the US: | FAX: [994] (12) 4656-671 |
| Flag description: | three equal horizontal bands of blue (top), red, and green; a crescent and eight-pointed star in white are centered in the red band; the blue band recalls Azerbaijan's Turkic heritage, red stands for modernization and progress, and green refers to Islam; the crescent moon is an Islamic symbol, while the eight-pointed star represents the eight Turkic peoples of the world |
| National anthem: | name: "Azerbaijan Marsi" (March of Azerbaijan) |
| National anthem: | lyrics/music: Ahmed JAVAD/Uzeyir HAJIBEYOV |
| National anthem: | note: adopted 1992; although originally written in 1919 during a brief period of independence, "Azerbaijan Marsi" did not become the official anthem until after the dissolution of the Soviet Union |
