| Government | CUBA |
| Legislative branch: | elections: last held on 3 February 2013 (next to be held in 2018) |
| Legislative branch: | election results: Cuba's Communist Party is the only legal party, and officially sanctioned candidates run unopposed |
| Judicial branch: | highest court(s): People's Supreme Court (consists of court president, vice president, 41 professional justices, and NA lay judges); organization includes the State Council, criminal, civil, administrative, labor, crimes against the state, and military courts) |
| Judicial branch: | judge selection and term of office: professional judges elected by the National Assembly to serve 2.5-year terms; lay judges nominated by workplace collectives and neighborhood associations and elected by municipal or provincial assemblies; lay judges appointed for 5-year terms and serve up to 30 days per year |
| Judicial branch: | subordinate courts: People's Provincial Courts; People's Regional Courts; People's Courts |
| Political parties and leaders: | Cuban Communist Party or PCC [Raul CASTRO Ruz, first secretary] |
| Political pressure groups and leaders: | Cuban Commission for Human Rights and National Reconciliation |
| Political pressure groups and leaders: | Damas de Blanco (Ladies in White) |
| Political pressure groups and leaders: | National Association of Small Farmers |
| Political pressure groups and leaders: | Patriotic Union of Cuba |
| Political pressure groups and leaders: | other: political dissidents and bloggers |
| International organization participation: | ACP, ALBA, AOSIS, CELAC, FAO, G-77, IAEA, ICAO, ICC (national committees), ICRM, IFAD, IFRCS, IHO, ILO, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAES, LAIA, NAM, OAS (excluded from formal participation since 1962), OPANAL, OPCW, PCA, Petrocaribe, PIF (partner), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Ramon CABANAS Rodriguez (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 2630 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-8518 |
| Diplomatic representation in the US: | FAX: NA |
| Diplomatic representation in the US: | consulate(s) general: NA |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Jeffrey DELAURENTIS (since 20 July 2015) |
| Diplomatic representation from the US: | embassy: Calzada between L & M Streets, Vedado, Havana |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [53] (7) 839-4100 |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | five equal horizontal bands of blue (top, center, and bottom) alternating with white; a red equilateral triangle based on the hoist side bears a white, five-pointed star in the center; the blue bands refer to the three old divisions of the island: central, occidental, and oriental; the white bands describe the purity of the independence ideal; the triangle symbolizes liberty, equality, and fraternity, while the red color stands for the blood shed in the independence struggle; the white star, called La Estrella Solitaria (the Lone Star) lights the way to freedom and was taken from the flag of Texas |
| Flag description: | note: design similar to the Puerto Rican flag, with the colors of the bands and triangle reversed |
| National symbol(s): | royal palm; national colors: red, white, blue |
| National anthem: | name: "La Bayamesa" (The Bayamo Song) |
| National anthem: | lyrics/music: Pedro FIGUEREDO |
| National anthem: | note: adopted 1940; Pedro FIGUEREDO first performed "La Bayamesa" in 1868 during the Ten Years War against the Spanish; a leading figure in the uprising, FIGUEREDO was captured in 1870 and executed by a firing squad; just prior to the fusillade he is reputed to have shouted, "Morir por la Patria es vivir" (To die for the country is to live), a line from the anthem |
