| Government | United Kingdom |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, C, CCC, CDB, CE, CERN, EAPC, EBRD, ECA (associate), ECE, ECLAC, EIB, ESA, ESCAP, EU, FAO, G- 5, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, SPC, UN, UN Security Council, UNAMSIL, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMIBH, UNMIK, UNMOVIC, UNOMIG, UNRWA, UNTAET, UNU, UPU, WCL, WEU, WHO, WIPO, WMO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Sir Christopher J. R. MEYER |
| Diplomatic representation in the US: | chancery: 3100 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-7870 |
| Diplomatic representation in the US: | consulate(s): Dallas, Denver, Miami, and Seattle |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Cleveland, Houston, Los Angeles, New York, and San Francisco |
| Diplomatic representation in the US: | telephone: [1] (202) 588-6500 |
| Diplomatic representation from the US: | chief of mission: Ambassador William S. FARISH |
| Diplomatic representation from the US: | embassy: 24/31 Grosvenor Square, London, W1A1AE |
| Diplomatic representation from the US: | mailing address: PSC 801, Box 40, FPO AE 09498-4040 |
| Diplomatic representation from the US: | telephone: [44] (0) 207499-9000 (switchboard) |
| Diplomatic representation from the US: | FAX: [44] (0) 207 629-8288 |
| Diplomatic representation from the US: | consulate(s) general: Belfast, Edinburgh |
| Flag description: | blue with the red cross of Saint George (patron saint of England) edged in white superimposed on the diagonal red cross of Saint Patrick (patron saint of Ireland) and which is superimposed on the diagonal white cross of Saint Andrew (patron saint of Scotland); properly known as the Union Flag, but commonly called the Union Jack; the design and colors (especially the Blue Ensign) have been the basis for a number of other flags including other Commonwealth countries and their constituent states or provinces, as well as British overseas territories |
