| Government | Burkina Faso |
| Political pressure groups and leaders: | National Organization of Free Unions or ONSL [Paul KABORE] |
| Political pressure groups and leaders: | other: watchdog/political action groups throughout the country in both organizations and communities |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (candidate country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNITAR, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Seydou BOUDA (since 2 September 2011) |
| Diplomatic representation in the US: | chancery: 2340 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-5577 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1882 |
| Diplomatic representation from the US: | chief of mission: Ambassador Tulinabo S. MUSHINGI (since 25 July 2013) |
| Diplomatic representation from the US: | embassy: 602 Avenue Raoul Follereau, Koulouba, Secteur 4 |
| Diplomatic representation from the US: | mailing address: 01 B. P. 35, Ouagadougou 01; pouch mail - US Department of State, 2440 Ouagadougou Place, Washington, DC 20521-2440 |
| Diplomatic representation from the US: | telephone: [226] 50-49-53-00 |
| Diplomatic representation from the US: | FAX: [226] 50-49-56-28 |
| Flag description: | two equal horizontal bands of red (top) and green with a yellow five-pointed star in the center; red recalls the country's struggle for independence, green is for hope and abundance, and yellow represents the country's mineral wealth |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | white stallion |
| National anthem: | name: "Le Ditanye" (Anthem of Victory) |
| National anthem: | lyrics/music: Thomas SANKARA |
| National anthem: | note: adopted 1974; also known as "Une Seule Nuit" (One Single Night), Burkina Faso's anthem was written by the country's president, an avid guitar player |
