| Government | Burkina Faso |
| Diplomatic representation from the US: | embassy: 602 Avenue Raoul Follereau, Koulouba, Secteur 4 |
| Diplomatic representation from the US: | mailing address: 01 B. P. 35, Ouagadougou 01; pouch mail - US Department of State, 2440 Ouagadougou Place, Washington, DC 20521-2440 |
| Diplomatic representation from the US: | telephone: [226] 50-30-67-23 |
| Diplomatic representation from the US: | FAX: [226] 50-30-38-90 |
| Flag description: | two equal horizontal bands of red (top) and green with a yellow five-pointed star in the center; red recalls the country's struggle for independence, green is for hope and abundance, and yellow represents the country's mineral wealth |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | white stallion |
| National anthem: | name: "Le Ditanye" (Anthem of Victory) |
| National anthem: | lyrics/music: Thomas SANKARA |
| National anthem: | note: adopted 1974; also known as "Une Seule Nuit" (One Single Night), Burkina Faso's anthem was written by the country's president, an avid guitar player |
