| Government | Moldova |
| Executive branch: | cabinet: Cabinet selected by president, subject to approval of Parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by Parliament for a four-year term (eligible for a second term); election last held 16 March 2012 (next to be held in March 2016); note - prime minister designated by the president upon consultation with Parliament; within 15 days from designation, the prime minister-designate must request a vote of confidence from the Parliament regarding his/her work program and entire cabinet; prime minister (re)designated on 31 December 2010; the prime minister and cabinet received a vote of confidence 14 January 2011 |
| Executive branch: | election results: Nicolae TIMOFTI elected president; parliamentary votes - 62 of 101 votes Vladimir FILAT (re)designated prime minister; parliamentary votes of confidence - 59 of 101 |
| Legislative branch: | unicameral Parliament or Parlamentul (101 seats; members elected on an at-large basis by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 28 November 2010 (next to be held in 2014); note - this was the third parliamentary election in less than two years; the earlier parliaments (elected 5 April 2009 and 29 July 2009) were dissolved after they could not agree on a presidential candidate |
| Legislative branch: | election results: percent of vote by party - PCRM 39.3%, PLDM 29.4%, PD 12.7%, PL 10%, other 8.6%; seats by party - PCRM 42, PLDM 32, PD 15, PL 12; note - in November of 2011, 3 legislators defected from the Communist Party (PCRM) and voted with the PLDM, PD, and PL governing coalition - termed the Alliance for European Integration (AEI) - to reach a 62-seat majority sufficient to elect a new president; the three former PCRM legislators are now aligned with the Party of Socialists, and in 2012 an additional 5 legislators defected from the PCRM |
| Judicial branch: | Supreme Court; Constitutional Court (the sole authority for constitutional judicature) |
| Political parties and leaders: | represented in Parliament: Communist Party of the Republic of Moldova or PCRM [Vladimir VORONIN]; Democratic Party or PD [Marian LUPU]; Liberal Democratic Party or PLDM [Vladimir FILAT]; Liberal Party or PL [Mihai GHIMPU]; Alliance for European Integration or AEI (coalition of the PD, PLDM, and PL) |
| Political parties and leaders: | not represented in Parliament: Christian Democratic People's Party or PPCD [Iurie ROSCA]; Conservative Party or PC [Natalia NIRCA]; Ecological Party of Moldova "Green Alliance" or PEMAVE [Vladimir BRAGA]; European Action Movement or MAE [Veaceslav UNTILA]; For Nation and Country Party or PpNT [Sergiu MOCANU]; Humanist Party of Moldova or PUM [Valeriu PASAT]; Labor Party or PM [Gheorghe SIMA]; National Liberal Party or PNL [Vitalia PAVLICENKO]; Party of Socialists or PSRM [Igor DODON]; Patriots of Moldova Party or PPM [Mihail GARBUZ]; Popular Republican Party or PPR [Nicolae ANDRONIC]; Republican Party of Moldova or PRM [Andrei STRATAN]; Roma Social Political Movement of the Republic of Moldova or MRRM [Ion BUCUR]; Social Democratic Party or PSD [Victor SELIN]; Social Political Movement "Equality" or MR [Valeriy KLIMENCO]; United Moldova Party or PMUEM [Vladimir TURCAN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | BSEC, CD, CE, CEI, CIS, EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, OIF, OPCW, OSCE, PFP, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Igor MUNTEANU |
| Diplomatic representation in the US: | chancery: 2101 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-1130 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1204 |
| Diplomatic representation from the US: | chief of mission: Ambassador William H. MOSER |
| Diplomatic representation from the US: | embassy: 103 Mateevici Street, Chisinau MD-2009 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [373] (22) 40-8300 |
| Diplomatic representation from the US: | FAX: [373] (22) 23-3044 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; emblem in center of flag is of a Roman eagle of gold outlined in black with a red beak and talons carrying a yellow cross in its beak and a green olive branch in its right talons and a yellow scepter in its left talons; on its breast is a shield divided horizontally red over blue with a stylized aurochs head, star, rose, and crescent all in black-outlined yellow; based on the color scheme of the flag of Romania - with which Moldova shares a history and culture - but Moldova's blue band is lighter; the reverse of the flag does not display any coat of arms |
| Flag description: | note: one of only three national flags that differ on their obverse and reverse sides - the others are Paraguay and Saudi Arabia |
| National symbol(s): | aurochs (a type of wild cattle) |
| National anthem: | name: "Limba noastra" (Our Language) |
| National anthem: | lyrics/music: Alexei MATEEVICI/Alexandru CRISTEA |
| National anthem: | note: adopted 1994 |
