| Government | MOLDOVA |
| Constitution: | amendments: proposed by voter petition (at least 200,000 eligible voters), by one-third of Parliament members, or by the government; passage requires two-thirds majority vote of Parliament within one year of initial proposal; revisions to constitutional articles on sovereignty, independence, and neutrality require majority vote by referendum; articles on fundamental rights and freedoms cannot be amended; amended several times, last in 2010; note – in early 2016, the Moldovan Constitutional Court decision returned the country to direct presidential elections, reversing a 2000 constitutional amendment that allowed Parliament to select the president (2016) |
| Legal system: | civil law system with Germanic law influences; Constitutional Court review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Moldova |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Igor DODON (since 23 December 2016) |
| Executive branch: | head of government: Prime Minister Pavel FILIP (since 20 January 2016) |
| Executive branch: | cabinet: Cabinet proposed by the prime minister-designate, nominated by the president, approved through a vote of confidence in Parliament |
| Executive branch: | elections/appointments: president directly elected for a 4-year term (eligible for a second term); election last held on 13 November 2016 (next to be held in fall 2020); prime minister designated by the president upon consultation with Parliament; within 15 days from designation, the prime minister-designate must request a vote of confidence for his/her proposed work program from the Parliament |
| Executive branch: | election results: Igor DODON elected president; percent of vote - Igor DODON (PSRM) 52.2%, Maia SANDU (PAS) 47.8%; Pavel FILIP (PDM) designated prime minister; Parliament vote - 57 of 101 |
| Legislative branch: | description: unicameral Parliament (101 seats; members directly elected in a single, nationwide constituency by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 30 November 2014 (next to be held in November 2018) |
| Legislative branch: | election results: percent of vote by party - PSRM 20.5%, PLDM 20.2%, PCRM 17.5%, PDM 15.8%, PL 9.7%, other 16.3%; seats by party - PSRM 25, PLDM 23, PCRM 21, PDM 19, PL 13 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of the chief judge, 3 deputy-chief judges, 45 judges, and 7 assistant judges); Constitutional Court (consists of the court president and 6 judges); note - the Constitutional Court is autonomous to the other branches of government; the Court interprets the Constitution and reviews the constitutionality of parliamentary laws and decisions, decrees of the president, and acts of the government |
| Judicial branch: | judge selection and term of office: Supreme Court of Justice judges appointed by the president of the republic upon the recommendation of the Superior Council of Magistracy (an 11-member body of judicial officials); all judges serve 4-year renewable terms; Constitutional Court judges appointed 2 each by Parliament, the Moldovan president, and the Higher Council of Magistracy; court president elected by other court judges for a 3-year term; other judges appointed for 6-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Court of Business Audit; municipal courts |
| Political parties and leaders: | represented in Parliament: |
| Political parties and leaders: | Communist Party of the Republic of Moldova or PCRM [Vladimir VORONIN] |
| Political parties and leaders: | Democratic Party of Moldova or PDM [Vladimir PLAHOTNIUC] |
| Political parties and leaders: | Liberal Democratic Party of Moldova or PLDM [Viorel CIBOTARU] |
| Political parties and leaders: | Liberal Party or PL [Mihai GHIMPU] |
| Political parties and leaders: | Socialist Party of the Republic of Moldova or PSRM [Zinaida GRECEANII] |
| not represented in Parliament, participated in recent elections (2014-2016): | Action and Solidarity Party or PAS [Maia SANDU] |
| not represented in Parliament, participated in recent elections (2014-2016): | Anti-Mafia Movement or MPA [Sergiu MOCANU] |
| not represented in Parliament, participated in recent elections (2014-2016): | Centrist Union of Moldova or UCM [Mihai PETRACHE] |
| not represented in Parliament, participated in recent elections (2014-2016): | Christian Democratic People's Party or PPCD [Iurie ROSCA] |
| not represented in Parliament, participated in recent elections (2014-2016): | Conservative Party or PC [Natalia NIRCA] |
| not represented in Parliament, participated in recent elections (2014-2016): | Democracy at Home Party or PPDA [Vasile COSTIUC] |
| not represented in Parliament, participated in recent elections (2014-2016): | Democratic Action Party or PAD [Mihai GODEA] |
| not represented in Parliament, participated in recent elections (2014-2016): | Dignity and Truth Platform or PDA [Andrei NASTASE] |
| not represented in Parliament, participated in recent elections (2014-2016): | Ecologist Green Party or PVE [Anatolie PROHNITCHI] |
| not represented in Parliament, participated in recent elections (2014-2016): | European People’s Party of Moldova or EPPM [Iurie LEANCA] |
| not represented in Parliament, participated in recent elections (2014-2016): | Law and Justice Party or PLD [Nicolae ALEXEI] |
| not represented in Parliament, participated in recent elections (2014-2016): | "Motherland" Party or PP [Emilian CIOTU] |
| not represented in Parliament, participated in recent elections (2014-2016): | National Liberal Party or PNL [Vitalia PAVLICENKO] |
| not represented in Parliament, participated in recent elections (2014-2016): | Our Home Moldova or PCNM [Grigore PETRENCO] |
| not represented in Parliament, participated in recent elections (2014-2016): | Our Party or PN [Renato USATII] |
| not represented in Parliament, participated in recent elections (2014-2016): | People’s Party of Moldova or PPRM [Alexandru OLEINIC] |
| not represented in Parliament, participated in recent elections (2014-2016): | Regions Party of Moldova or PRM [Alexandr KALININ] |
| not represented in Parliament, participated in recent elections (2014-2016): | “Right” Party or PD [Ana GUTU] |
| not represented in Parliament, participated in recent elections (2014-2016): | Shor Party or PS [Ilan SHOR] |
| not represented in Parliament, participated in recent elections (2014-2016): | Socialist People’s Party of Moldova or PPSM [Victor STEPANIUC] |
| Political pressure groups and leaders: | NA |
| International organization participation: | BSEC, CD, CE, CEI, CIS, EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, OIF, OPCW, OSCE, PFP, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Aureliu CIOCOI (since 8 September 2017) |
| Diplomatic representation in the US: | chancery: 2101 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-1130 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1204 |
| Diplomatic representation from the US: | chief of mission: Ambassador James D. PETTIT (since 30 January 2015) |
| Diplomatic representation from the US: | embassy: 103 Mateevici Street, Chisinau MD-2009 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [373] (22) 40-8300 |
| Diplomatic representation from the US: | FAX: [373] (22) 23-3044 |
| Flag description: | three equal vertical bands of Prussian blue (hoist side), chrome yellow, and vermilion red; emblem in center of flag is of a Roman eagle of dark gold (brown) outlined in black with a red beak and talons carrying a yellow cross in its beak and a green olive branch in its right talons and a yellow scepter in its left talons; on its breast is a shield divided horizontally red over blue with a stylized aurochs head, star, rose, and crescent all in black-outlined yellow; based on the color scheme of the flag of Romania - with which Moldova shares a history and culture - but Moldova's blue band is lighter; the reverse of the flag displays a mirrored image of the coat of arms |
| Flag description: | note: one of only three national flags that differ on their obverse and reverse sides - the others are Paraguay and Saudi Arabia |
| National symbol(s): | aurochs (a type of wild cattle); national colors: blue, yellow, red |
| National anthem: | name: "Limba noastra" (Our Language) |
| National anthem: | lyrics/music: Alexei MATEEVICI/Alexandru CRISTEA |
| National anthem: | note: adopted 1994 |
