| Government | MOLDOVA |
| Executive branch: | cabinet: Cabinet proposed by the prime minister-designate, nominated by the president, approved through a vote of confidence in Parliament |
| Executive branch: | elections/appointments: president indirectly elected by Parliament by absolute majority vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 16 March 2012 (next to be held in March 2016); prime minister designated by the president upon consultation with Parliament; within 15 days from designation, the prime minister-designate must request a vote of confidence for his/her proposed work program from the Parliament; the prime minister and Cabinet received a vote of confidence on 30 May 2013 |
| Executive branch: | election results: Nicolae TIMOFTI (independent) elected president; Parliament vote - 62 of 101; Iurie LEANCA (Pro-European Coalition) designated prime minister; Parliament confidence vote - 58 of 101 |
| Legislative branch: | description: unicameral Parliament or Parlament (101 seats; members directly elected in a single, nationwide constituency by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 30 November 2014 (next to be held in November 2018) |
| Legislative branch: | election results: percent of vote by party - PSRM 21.3%, PLDM 19.5%, PCRM 18%, PD 15.8%, PL 9.4%, other 16%; seats by party - PSRM 25, PLDM 23, PCRM 21, PD 19, PL 13 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of a chief judges, 3 deputy-chief judges, 45 judges, and 7 assistant judges); Constitutional Court (consists of the court president and 6 judges); note - the Constitutional Court is autonomous to the other branches of government; the Court interprets the Constitution and reviews the constitutionality of parliamentary laws and decisions, decrees of the president, and acts of the government |
| Judicial branch: | judge selection and term of office: Supreme Court of Justice judges appointed by Parliament upon the recommendation of the Supreme Council of the Magistracy; all judges serve 4-year renewable terms; Constitutional Court judges appointed 2 each by Parliament, the Moldovan president, and the Higher Council of Magistracy; court president elected by other court judges for a 3-year term; other judges appointed for 6-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Court of Business Audit; municipal courts |
| Political parties and leaders: | represented in Parliament: |
| Political parties and leaders: | Communist Party of the Republic of Moldova or PCRM [Vladimir VORONIN] |
| Political parties and leaders: | Democratic Party or PD [Marian LUPU] |
| Political parties and leaders: | Liberal Democratic Party or PLDM [Vladimir FILAT] |
| Political parties and leaders: | Liberal Party or PL [Mihai GHIMPU] |
| Political parties and leaders: | Party of Socialists or PSRM [Igor DODON] |
| not represented in Parliament: | Anti-Fascist Movement or Antifa [Grigore PETRENCO] |
| not represented in Parliament: | Anti-Mafia Movement [Sergiu MOCANU] |
| not represented in Parliament: | Christian Democratic People's Party or PPCD [Iurie ROSCA] |
| not represented in Parliament: | Conservative Party or PC [Natalia NIRCA] |
| not represented in Parliament: | Ecological Party of Moldova "Green Alliance" or PEMAVE [Vladimir BRAGA] |
| not represented in Parliament: | European Action Movement or MAE [Veaceslav UNTILA] |
| not represented in Parliament: | Humanist Party of Moldova or PUM [Valeriu PASAT] |
| not represented in Parliament: | Labor Party or PM [Gheorghe SIMA] |
| not represented in Parliament: | Liberal Reformers Party or PLR [Ion HADARCA] |
| not represented in Parliament: | National Liberal Party or PNL [Vitalia PAVLICENKO] |
| not represented in Parliament: | Our Party [Renato USATII] |
| not represented in Parliament: | Patriots of Moldova Party or PPM [Mihail GARBUZ] |
| not represented in Parliament: | Popular Republican Party or PPR [Nicolae ANDRONIC] |
| not represented in Parliament: | Republican Party of Moldova or PRM [Andrei STRATAN] |
| not represented in Parliament: | Roma Social Political Movement of the Republic of Moldova or MRRM [Ion BUCUR] |
| not represented in Parliament: | Social Democratic Party or PSD [Victor SELIN] |
| not represented in Parliament: | Social Political Movement "Equality" or MR [Valeriy KLIMENCO] |
| not represented in Parliament: | United Moldova Party or PMUEM [Vladimir TURCAN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | BSEC, CD, CE, CEI, CIS, EAEC (observer), EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, OIF, OPCW, OSCE, PFP, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Igor MUNTEANU (since 7 September 2010) |
| Diplomatic representation in the US: | chancery: 2101 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-1130 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1204 |
| Diplomatic representation from the US: | chief of mission: Ambassador James D. PETTIT (since 29 January 2015) |
| Diplomatic representation from the US: | embassy: 103 Mateevici Street, Chisinau MD-2009 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [373] (22) 40-8300 |
| Diplomatic representation from the US: | FAX: [373] (22) 23-3044 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; emblem in center of flag is of a Roman eagle of gold outlined in black with a red beak and talons carrying a yellow cross in its beak and a green olive branch in its right talons and a yellow scepter in its left talons; on its breast is a shield divided horizontally red over blue with a stylized aurochs head, star, rose, and crescent all in black-outlined yellow; based on the color scheme of the flag of Romania - with which Moldova shares a history and culture - but Moldova's blue band is lighter; the reverse of the flag does not display any coat of arms |
| Flag description: | note: one of only three national flags that differ on their obverse and reverse sides - the others are Paraguay and Saudi Arabia |
| National symbol(s): | aurochs (a type of wild cattle); national colors: blue, yellow, red |
| National anthem: | name: "Limba noastra" (Our Language) |
| National anthem: | lyrics/music: Alexei MATEEVICI/Alexandru CRISTEA |
| National anthem: | note: adopted 1994 |
