| Government | Albania |
| International organization participation: | BSEC, CD, CE, CEI, EAPC, EBRD, EITI (candidate country), FAO, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NATO, OAS (observer), OIC, OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Gilbert GALANXHI (since 5 January 2011) |
| Diplomatic representation in the US: | chancery: 1312 18th Street NW, 4th Floor, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4942 |
| Diplomatic representation in the US: | FAX: [1] (202) 628-7342 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Alexander ARVIZU (since 10 November 2010) |
| Diplomatic representation from the US: | embassy: Rruga e Elbasanit, Labinoti #103, Tirana |
| Diplomatic representation from the US: | mailing address: US Department of State, 9510 Tirana Place, Dulles, VA 20189-9510 |
| Diplomatic representation from the US: | telephone: [355] (4) 2247285 |
| Diplomatic representation from the US: | FAX: [355] (4) 2232222 |
| Flag description: | red with a black two-headed eagle in the center; the design is claimed to be that of 15th-century hero George Castriota SKANDERBEG, who led a successful uprising against the Turks that resulted in a short-lived independence for some Albanian regions (1443-78); an unsubstantiated explanation for the eagle symbol is the tradition that Albanians see themselves as descendants of the eagle; they refer to themselves as "Shkypetars," which translates as "sons of the eagle" |
| National symbol(s): | double-headed eagle |
| National anthem: | name: "Hymni i Flamurit" (Hymn to the Flag) |
| National anthem: | lyrics/music: Aleksander Stavre DRENOVA/Ciprian PORUMBESCU |
| National anthem: | note: adopted 1912 |
