| Government | Chad |
| Executive branch: | election results: Lt. Gen. Idriss DEBY Itno reelected president in first round; percent of vote - Lt. Gen. Idriss DEBY (MPS) 61.6%, Saleh KEBZABO (UNDR) 12.8%, Laokein Kourayo MEDAR (CTPD) 10.7%, Djimrangar DADNADJI (CAP-SUR) 5.1%, other 9.8% |
| Legislative branch: | description: unicameral National Assembly (188 seats; 163 directly elected in multi-seat constituencies by proportional representation vote and 25 directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 4-year terms) |
| Legislative branch: | elections: last held on 13 February and 6 May 2011 (next to be held in 2019) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - MPS 117, UNDR 10, RDP 9, RNDT/Le Reveil 8, URD 8, Viva-RNDP 5, FAR 4, CTPD 2, PDSA 2, PUR 2, UDR 2, other 19; composition - men 164, women 24, percent of women 12.8% |
| Legislative branch: | note: the National Assembly mandate was extended to 2019, reportedly due to a lack of funding for the scheduled 2015 election |
| Political parties and leaders: | Chadian Convention for Peace and Development or CTPD [Laoukein Kourayo MEDAR] |
| Political parties and leaders: | Federation Action for the Republic or FAR [Ngarledjy YORONGAR] |
| Political parties and leaders: | Framework of Popular Action for Solidarity and Unity of the Republic or CAP-SUR [Joseph Djimrangar DADNADJI] |
| Political parties and leaders: | National Rally for Development and Progress or Viva-RNDP [Dr. Nouradine Delwa Kassire COUMAKOYE] |
| Political parties and leaders: | National Union for Democracy and Renewal or UNDR [Saleh KEBZABO] |
| Political parties and leaders: | Party for Liberty and Development or PLD [Ahmat ALHABO] |
| Political parties and leaders: | Party for Unity and Reconciliation |
| Political parties and leaders: | Patriotic Salvation Movement or MPS [Idriss DEBY]Rally for Democracy and Progress or RDP [Mahamat Allahou TAHER]RNDT/Le Reveil [Albert Pahimi PADACKE] |
| Political parties and leaders: | Social Democratic Party for a Change-over of Power or PDSA |
| Political parties and leaders: | Union for Renewal and Democracy or URD [Sande NGARYIMBE] |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ngote Gali KOUTOU (since 22 June 2018) |
| Diplomatic representation in the US: | chancery: 2401 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 652-1312 |
| Diplomatic representation in the US: | FAX: [1] (202) 758-0431 |
| Diplomatic representation from the US: | chief of mission: Ambassador Geeta PASI (since September 2016) |
| Diplomatic representation from the US: | embassy: Chagoua Round Point, N'Djamena |
| Diplomatic representation from the US: | mailing address: B. P. 413, N'Djamena |
| Diplomatic representation from the US: | telephone: [235] 2251-5017 |
| Diplomatic representation from the US: | FAX: [235] 2253-9102 |
| Flag description: | three equal vertical bands of blue (hoist side), gold, and red; the flag combines the blue and red French (former colonial) colors with the red and yellow (gold) of the Pan-African colors; blue symbolizes the sky, hope, and the south of the country, which is relatively well-watered; gold represents the sun, as well as the desert in the north of the country; red stands for progress, unity, and sacrifice |
| Flag description: | note: almost identical to the flag of Romania but with a darker shade of blue; also similar to the flags of Andorra and Moldova, both of which have a national coat of arms centered in the yellow band; design based on the flag of France |
| National symbol(s): | goat (north), lion (south); national colors: blue, yellow, red |
| National anthem: | name: "La Tchadienne" (The Chadian) |
| National anthem: | lyrics/music: Louis GIDROL and his students/Paul VILLARD |
| National anthem: | note: adopted 1960 |
