| Government | Indonesia |
| Legislative branch: | House of Representatives or Dewan Perwakilan Rakyat (560 seats; members directly elected in multi-seat constituencies by single non-transferable vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Regional Representative Council - last held on 9 April 2014 (next to be held in 2019) |
| Legislative branch: | House of Representatives - last held on 9 April 2014 (next to be held in 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Regional Representative Council - all seats elected on a non-partisan basis |
| Legislative branch: | House of Representatives - percent of vote by party - PDI-P 19%, Golkar 14.8%, Gerindra 11.8%, PD 10.2%, PKB 9%, PAN 2.6%, PKS 6.8%, NasDem 6.7%, PPP 6.5%, Hanura 5.3%, other 7.3%; seats by party - PDI-P 109, Golkar 91, Gerindra 73, PD 61, PAN 48, PKB 47, PKS 40, PPP 39, NasDem 36, Hanura 16; composition - men 463, women 97, percent of women 27.6% |
| Political parties and leaders: | Democrat Party or PD [Susilo Bambang YUDHOYONO] |
| Political parties and leaders: | Functional Groups Party or GOLKAR [Airlangga HARTARTO] |
| Political parties and leaders: | Great Indonesia Movement Party or GERINDRA [PRABOWO Subianto Djojohadikusumo] |
| Political parties and leaders: | Indonesia Democratic Party-Struggle or PDI-P [MEGAWATI Sukarnoputri] |
| Political parties and leaders: | National Awakening Party or PKB [Muhaiman ISKANDAR] |
| Political parties and leaders: | National Democratic Party (Partai Nasional Demokrat) or Nasdem [Surya PALOH] |
| Political parties and leaders: | National Mandate Party or PAN [Zulkifli HASAN] |
| Political parties and leaders: | People's Conscience Party or HANURA [Oesman Sapta ODANG] |
| Political parties and leaders: | Prosperous Justice Party or PKS [Muhammad Sohibul IMAN] |
| Political parties and leaders: | United Development Party or PPP [Muhammad ROMAHURMUZIY] |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIS, CD, CICA (observer), CP, D-8, EAS, EITI (compliant country), FAO, G-11, G-15, G-20, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IORA, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSTAH, MONUSCO, MSG (associate member), NAM, OECD (enhanced engagement), OIC, OPCW, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Budi BOWOLEKSONO (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2020 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-5200 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-5365 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph R. DONOVAN, Jr. (since 12 January 2017) |
| Diplomatic representation from the US: | embassy: Jalan Medan Merdeka Selatan 3-5, Jakarta 10110 |
| Diplomatic representation from the US: | mailing address: Unit 8129, Box 1, FPO AP 96520 |
| Diplomatic representation from the US: | telephone: [62] (21) 5083-1000 (2018) |
| Diplomatic representation from the US: | FAX: [62] (21) 2395-1697 (2018) |
| Diplomatic representation from the US: | consulate(s) general: Surabaya |
| Diplomatic representation from the US: | consulate(s): Medan |
| Flag description: | two equal horizontal bands of red (top) and white; the colors derive from the banner of the Majapahit Empire of the 13th-15th centuries; red symbolizes courage, white represents purity |
| Flag description: | note: similar to the flag of Monaco, which is shorter; also similar to the flag of Poland, which is white (top) and red |
| National symbol(s): | garuda (mythical bird); national colors: red, white |
| National anthem: | name: "Indonesia Raya" (Great Indonesia) |
| National anthem: | lyrics/music: Wage Rudolf SOEPRATMAN |
| National anthem: | note: adopted 1945 |
