| Government | Indonesia |
| International organization participation: | APEC, ARF, AsDB, ASEAN, CCC, CP, ESCAP, FAO, G-15, G-19, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MONUC, NAM, OIC, OPCW, OPEC, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMIBH, UNMOP, UNMOT, UNOMIG, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador SOEMADI Brotodiningrat |
| Diplomatic representation in the US: | chancery: 2020 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 775-5365 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-5200 |
| Diplomatic representation from the US: | chief of mission: Ambassador Ralph L. BOYCE |
| Diplomatic representation from the US: | embassy: Jalan Medan Merdeka Selatan 4-5, Jakarta 10110 |
| Diplomatic representation from the US: | mailing address: Unit 8129, Box 1, APO AP 96520 |
| Diplomatic representation from the US: | telephone: [62] (21) 3435-9000 |
| Diplomatic representation from the US: | FAX: [62] (21) 385-7189 |
| Diplomatic representation from the US: | consulate(s) general: Surabaya |
| Flag description: | two equal horizontal bands of red (top) and white; similar to the flag of Monaco, which is shorter; also similar to the flag of Poland, which is white (top) and red |
