| Government | INDONESIA |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by Judicial Commission, appointed by president with concurrence of parliament; judges serve until retirement at age 65; Constitutional Court judges - 3 nominated by president, 3 by Supreme Court, and 3 by parliament; judges appointed by the president; judges serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Courts of Appeal, district courts, religious courts |
| Political parties and leaders: | Democrat Party or PD [Susilo Bambang YUDHOYONO] |
| Political parties and leaders: | Functional Groups Party or GOLKAR [Aburizal BAKRIE] |
| Political parties and leaders: | Great Indonesia Movement Party or GERINDRA [PRABOWO Subianto Djojohadikusumo] |
| Political parties and leaders: | Indonesia Democratic Party-Struggle or PDI-P [MEGAWATI Sukarnoputri] |
| Political parties and leaders: | National Awakening Party or PKB [Muhaiman ISKANDAR] |
| Political parties and leaders: | National Mandate Party or PAN [Hatta RAJASA] |
| Political parties and leaders: | People's Conscience Party or HANURA [WIRANTO] |
| Political parties and leaders: | Prosperous Justice Party or PKS [Anis MATTA] |
| Political parties and leaders: | United Development Party or PPP [NA] |
| Political pressure groups and leaders: | Commission for the "Disappeared" and Victims of Violence or KontraS |
| Political pressure groups and leaders: | Indonesia Corruption Watch or ICW |
| Political pressure groups and leaders: | Indonesian Forum for the Environment or WALHI |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIS, CD, CICA (observer), CP, D-8, EAS, EITI (compliant country), FAO, G-11, G-15, G-20, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSTAH, MONUSCO, NAM, OECD (Enhanced Engagement, OIC, OPCW, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Budi BOWOLEKSONO (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2020 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 775-5200 |
| Diplomatic representation in the US: | FAX: [1] (202) 775-5365 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert O. BLAKE, Jr. (since 30 January 2014) |
| Diplomatic representation from the US: | embassy: Jalan Medan Merdeka Selatan 3-5, Jakarta 10110 |
| Diplomatic representation from the US: | mailing address: Unit 8129, Box 1, FPO AP 96520 |
| Diplomatic representation from the US: | telephone: [62] (21) 3435-9000 |
| Diplomatic representation from the US: | FAX: [62] (21) 386-2259 |
| Diplomatic representation from the US: | consulate general: Surabaya |
| Diplomatic representation from the US: | consulate: Medan |
| Diplomatic representation from the US: | consular agency: Bali |
| Flag description: | two equal horizontal bands of red (top) and white; the colors derive from the banner of the Majapahit Empire of the 13th-15th centuries; red symbolizes courage, white represents purity |
| Flag description: | note: similar to the flag of Monaco, which is shorter; also similar to the flag of Poland, which is white (top) and red |
| National symbol(s): | garuda (mythical bird); national colors: red, white |
| National anthem: | name: "Indonesia Raya" (Great Indonesia) |
| National anthem: | lyrics/music: Wage Rudolf SOEPRATMAN |
| National anthem: | note: adopted 1945 |
