| Government |
| International organization participation: | ABEDA, ANZUS (US suspended security obligations to NZ on 11 August 1986), APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, C, CCC, CP, EBRD, ESCAP, FAO, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM (guest), NSG, OECD, OPCW, PCA, Sparteca, SPC, SPF, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMIK, UNMOP, UNTAET, UNTSO, UPU, WFTU, WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador James Brendan BOLGER |
| Diplomatic representation in the US: | chancery: 37 Observatory Circle NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-4800 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5227 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Carol MOSELEY-BRAUN |
| Diplomatic representation from the US: | embassy: 29 Fitzherbert Terrace, Thorndon, Wellington |
| Diplomatic representation from the US: | mailing address: P. O. Box 1190, Wellington; PSC 467, Box 1, FPO AP 96531-1001 |
| Diplomatic representation from the US: | telephone: [64] (4) 472-2068 |
| Diplomatic representation from the US: | FAX: [64] (4) 478-1701 |
| Diplomatic representation from the US: | consulate(s) general: Auckland |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant with four red five-pointed stars edged in white centered in the outer half of the flag; the stars represent the Southern Cross constellation |
