| Government | NEW ZEALAND |
| International organization participation: | ADB, ANZUS (US suspended security obligations to NZ on 11 August 1986), APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CD, CP, EAS, EBRD, FAO, FATF, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NSG, OECD, OPCW, Pacific Alliance (observer), Paris Club (associate), PCA, PIF, SICA (observer), Sparteca, SPC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNTSO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Timothy John GROSER (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 37 Observatory Circle NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-4800 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5227[1] (202) 667-5227 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu (HI), Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Scott P. BROWN (since 27 June 2017) note - also accredited to Samoa |
| Diplomatic representation from the US: | embassy: 29 Fitzherbert Terrace, Thorndon, Wellington |
| Diplomatic representation from the US: | mailing address: P. O. Box 1190, Wellington; PSC 467, Box 1, APO AP 96531-1034 |
| Diplomatic representation from the US: | telephone: [64] (4) 462-6000 |
| Diplomatic representation from the US: | FAX: [64] (4) 499-0490 |
| Diplomatic representation from the US: | consulate(s) general: Auckland |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant with four red five-pointed stars edged in white centered in the outer half of the flag; the stars represent the Southern Cross constellation |
| National symbol(s): | Southern Cross constellation (four, five-pointed stars), kiwi (bird), silver fern; national colors: black, white, red (ochre) |
| National anthem: | name: "God Defend New Zealand" |
| National anthem: | lyrics/music: Thomas BRACKEN [English], Thomas Henry SMITH [Maori]/John Joseph WOODS |
| National anthem: | note: adopted 1940 as national song, adopted 1977 as co-national anthem; New Zealand has two national anthems with equal status; as a commonwealth realm, in addition to "God Defend New Zealand," "God Save the Queen" serves as a national anthem (see United Kingdom); "God Save the Queen" normally played only when a member of the royal family or the governor-general is present; in all other cases, "God Defend New Zealand" is played |
