| Government | MADAGASCAR |
| Executive branch: | note: on 17 March 2009, democratically elected President Marc RAVALOMANANA stepped down, handing the government over to the military, which in turn conferred the presidency on opposition leader and Antananarivo mayor Andry RAJOELINA; a power-sharing agreement established a 15-month transition period to conclude with a general election in 2010, which failed to occur; a subsequent agreement aimed for an early 2013 election - the first round was held on 25 October 2013 and the second on 20 December 2013 |
| Legislative branch: | description: unicameral National Assembly or Antenimierampirenena (151 seats; 87 members directly elected in single-seat constituencies by simple majority vote and 64 directly elected in two-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: National Assembly - last held on 20 December 2013 (next to be held in 2017); note - a power-sharing agreement in the summer of 2009 established a 15-month transition, concluding in general elections held in 2013 after repeated delays |
| Legislative branch: | election results: National Assembly - percent of vote by party - MPAR 17.3%, MR 10.8%, VPM MMM 8.2%, PHI 3.8%, AMHM 3.5%, LF 2.8%, FFF 1.6%, AIM 1.0%, SFN 0.3%, independent and other 50.6%; seats by party - MPAR 49, MR 20, VPM MMM 13, PHI 5, AMHM 2, LF 5, FFF 2, AIM 2, SFN 2, other 22, independent 25, seats with delayed elections 4 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 11 members; addresses judicial administration issues only); High Constitutional Court or Haute Cour Constitutionnelle (consists of 9 members); note - the judiciary includes a High Court of Justice responsible for adjudicating crimes and misdemeanors by government officials including the president |
| Judicial branch: | judge selection and term of office: Supreme Court heads elected by the president and judiciary officials to serve single-renewable, 3-year terms; High Constitutional Court members appointed - 3 each by the president, by both legislative bodies, and by the Council of Magistrates; members serve single, 6-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; provincial and city tribunals |
| Political parties and leaders: | AVANA Party [Jean-Louis ROBINSON] |
| Political parties and leaders: | Economic Liberalism and Democratic Action for National Recovery/LEADER Fanilo or LF [Manasse ESOAVELOMANDROSO] |
| Political parties and leaders: | Green Party/Parti Vert or AMHM [Sarah Georget RABEHARISOA] |
| Political parties and leaders: | National Unity, Freedom, and Development or FFF [Benjamin RADAVIDSON Andriamparany] |
| Political parties and leaders: | New Force for Madagascar or FIDIO [Hery RAJAONARIMAMPIANINA] |
| Political parties and leaders: | Parti Hiaraka Isika or PHI [Albert Camille VITAL] |
| Political parties and leaders: | Party of Andry Rajoelina or MPAR [Andry RAJOELINA] |
| Political parties and leaders: | Pillar of Madagascar or AIM [Andry RAKOTOVAO] |
| Political parties and leaders: | Ravlomanana Movement or MR [Marc RAVALOMANANA] |
| Political parties and leaders: | Sambo Fiaran'i Noe or SFN |
| Political parties and leaders: | Union Party or Tambatra [Pety RAKOTONIAINA] |
| Political parties and leaders: | Vondrona Politika Miara dia Malagasy Miara Miainga or VPM MMM [Milavonjy ANDRIASY] |
| Political pressure groups and leaders: | Committee for the Defense of Truth and Justice or KMMR |
| Political pressure groups and leaders: | Committee for National Reconciliation or CRN [Albert ZAFY] |
| Political pressure groups and leaders: | National Council of Christian Churches or FFKM |
| International organization participation: | ACP, AfDB, AU, CD, COMESA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Velotiana Rakotoanosy RAOBELINA (since 20 June 2011) |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525 through 5526 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-3034 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert T. YAMATE (since 13 January 2015); note - also accredited to Comoros |
| Diplomatic representation from the US: | embassy: Lot 207A, Point Liberty, Andranoro, Antehiroka, 105 Antananarivo |
| Diplomatic representation from the US: | mailing address: B.P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | telephone: [261] (23) 480 00 |
| Diplomatic representation from the US: | FAX: [261] 20 23 480 35 or [261] 33 44 328 17 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side; by tradition, red stands for sovereignty, green for hope, white for purity |
| National symbol(s): | traveller's palm, zebu; national colors: red, green, white |
| National anthem: | name: "Ry Tanindraza nay malala o" (Oh, Our Beloved Fatherland) |
| National anthem: | lyrics/music: Pasteur RAHAJASON/Norbert RAHARISOA |
| National anthem: | note: adopted 1959 |
