| Government | Iran |
| Executive branch: | election results: Mahmud AHMADI-NEJAD reelected president; percent of vote - Mahmud AHMADI-NEJAD 62.6%, Mir-Hosein MUSAVI-Khamenei 33.8%, other 3.6%; voter turnout 85% (according to official figures published by the government) |
| Legislative branch: | unicameral Islamic Consultative Assembly or Majles-e Shura-ye Eslami or Majles (290 seats; members elected by popular vote from single and multimember districts to serve four-year terms) |
| Legislative branch: | elections: last held on 2 March 2012 (first round); second round held on 4 May 2012; (next election to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | The Supreme Court (Qeveh Qazaieh) and the four-member High Council of the Judiciary have a single head and overlapping responsibilities; together they supervise the enforcement of all laws and establish judicial and legal policies; lower courts include a special clerical court, a revolutionary court, and a special administrative court |
| Political parties and leaders: | Note: formal political parties are a relatively new phenomenon in Iran and most conservatives still prefer to work through political pressure groups rather than parties; often political parties or coalitions are formed prior to elections and disbanded soon thereafter; a loose pro-reform coalition called the 2nd Khordad Front, which includes political parties as well as less formal groups and organizations, achieved considerable success in elections for the sixth Majles in early 2000; groups in the coalition included the Islamic Iran Participation Front (IIPF), Executives of Construction Party (Kargozaran), Solidarity Party, Islamic Labor Party, Mardom Salari, Mojahedin of the Islamic Revolution Organization (MIRO), and Militant Clerics Society (MCS; Ruhaniyun); the coalition participated in the seventh Majles elections in early 2004 but boycotted them after 80 incumbent reformists were disqualified; following his defeat in the 2005 presidential elections, former MCS Secretary General and sixth Majles Speaker Mehdi KARUBI formed the National Trust Party; a new conservative group, Islamic Iran Developers Coalition (Abadgaran), took a leading position in the new Majles after winning a majority of the seats in February 2004; ahead of the 2008 Majles elections, traditional and hardline conservatives attempted to close ranks under the United Front of Principlists and the Broad Popular Coalition of Principlists; several reformist groups, such as the MIRO and the IIPF, also came together as a reformist coalition in advance of the 2008 Majles elections; the IIPF has repeatedly complained that the overwhelming majority of its candidates were unfairly disqualified from the 2008 elections |
| Political pressure groups and leaders: | groups that generally support the Islamic Republic: Ansar-e Hizballah-; Followers of the Line of the Imam and the Leader; Islamic Coalition Party (Motalefeh); Islamic Engineers Society; Tehran Militant Clergy Association (MCA; Ruhaniyat) |
| Political pressure groups and leaders: | active pro-reform student group: Office of Strengthening Unity (OSU) |
| Political pressure groups and leaders: | opposition groups: Freedom Movement of Iran; Green Path movement [Mehdi KARUBI, Mir-Hosein MUSAVI]; Marz-e Por Gohar; National Front; various ethnic and monarchist organizations |
| Political pressure groups and leaders: | armed political groups repressed by the government: Democratic Party of Iranian Kurdistan (KDPI); Jundallah; Komala; Mojahedin-e Khalq Organization (MEK or MKO); People's Fedayeen; People's Free Life Party of Kurdistan (PJAK) |
| International organization participation: | CICA, CP, D-8, ECO, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OPEC, PCA, SAARC (observer), SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | none; note - Iran has an Interests Section in the Pakistani Embassy; address: Iranian Interests Section, Pakistani Embassy, 2209 Wisconsin Avenue NW, Washington, DC 20007; telephone: [1] (202) 965-4990; FAX [1] (202) 965-1073 |
| Diplomatic representation from the US: | none; note - the US Interests Section is located in the Embassy of Switzerland No. 39 Shahid Mousavi (Golestan 5th), Pasdaran Ave., Tehran, Iran; telephone [98] 21 2254 2178/2256 5273; FAX [98] 21 2258 0432 |
| Flag description: | three equal horizontal bands of green (top), white, and red; the national emblem (a stylized representation of the word Allah in the shape of a tulip, a symbol of martyrdom) in red is centered in the white band; ALLAH AKBAR (God is Great) in white Arabic script is repeated 11 times along the bottom edge of the green band and 11 times along the top edge of the red band; green is the color of Islam and also represents growth, white symbolizes honesty and peace, red stands for bravery and martyrdom |
| National symbol(s): | lion |
| National anthem: | name: "Soroud-e Melli-ye Jomhouri-ye Eslami-ye Iran" (National Anthem of the Islamic Republic of Iran) |
| National anthem: | lyrics/music: multiple authors/Hassan RIAHI |
| National anthem: | note: adopted 1990 |
