| Government | Iran |
| Executive branch: | election results: Hasan Fereidun ROHANI reelected president; percent of vote - Hasan Fereidun ROHANI (Moderation and Development Party) 58.8%, Ebrahim RAI'SI (Combat Clergy Association) 39.4% , Mostafa MIR-SALIM Islamic Coalition Party) 1.2%, Mostafa HASHEMITABA(Executives of Construction Party) 0.5% |
| Executive branch: | note: 3 oversight bodies are also considered part of the executive branch of government |
| Legislative branch: | description: unicameral Islamic Consultative Assembly or Majles-e Shura-ye Eslami or Majles (290 seats; 285 members directly elected in single- and multi-seat constituencies by 2-round vote, and 1 seat each for Zoroastrians, Jews, Assyrian and Chaldean Christians, Armenians in the north of the country and Armenians in the south; members serve 4-year terms); note - all candidates to the Majles must be approved by the Council of Guardians, a 12-member group of which 6 are appointed by the supreme leader and 6 are jurists nominated by the judiciary and elected by the Majles |
| Legislative branch: | elections: first round held on 26 February 2016 and second round for 68 remaining seats held on 29 April 2016; (next full Majles election to be held in 2020) |
| Legislative branch: | election results: percent of vote by coalition - List of Hope 37.2%, Principlists Grand Coalition 25.9%, People's Voice Coalition 4.5%, joint Hope/People's Voice 4.1%, joint People's Voice/Principlist 0.3%, religious minorities 1.7%, independent 26.4%; seats by coalition - List of Hope 108, Principlists Grand Coalition 75, People's Voice Coalition 13, joint Hope/People's Voice 12, joint People's Voice/Principlist 1, religious minorities 5, independent 76; composition - men 273, women 17, percent of women 5.9% |
| Judicial branch: | highest courts: Supreme Court (consists of the president and NA judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the head of the High Judicial Council (HJC), a 5-member body to include the Supreme Court chief justice, the prosecutor general, and 3 clergy, in consultation with judges of the Supreme Court; president appointed for a single, renewable 5-year term; other judges appointed by the HJC; judge tenure NA |
| Judicial branch: | subordinate courts: Penal Courts I and II; Islamic Revolutionary Courts; Courts of Peace; Special Clerical Court (functions outside the judicial system and handles cases involving clerics); military courts |
| Political parties and leaders: | Combatant Clergy Association |
| Political parties and leaders: | Council for Coordinating the Reforms Front |
| Political parties and leaders: | Executives of Construction Party |
| Political parties and leaders: | Followers of the Guardianship of the Jurisprudent [Ali LARIJANI] |
| Political parties and leaders: | Front of Islamic Revolutionary Stability [Morteza AGHA-TEHRANI, general secretary] |
| Political parties and leaders: | Islamic Coalition Party |
| Political parties and leaders: | Islamic Iran Participation Front [associated with former President Mohammed KHATAMI] |
| Political parties and leaders: | Militant Clerics Society |
| Political parties and leaders: | Moderation and Development Party |
| Political parties and leaders: | National Trust Party |
| Political parties and leaders: | National Unity Party |
| Political parties and leaders: | Pervasive Coalition of Reformists [Ali SUFI, chairman] (includes Council for Coordinating the Reforms Front, National Trust Party, Union of Islamic Iran People Party, Moderation and Development Party) |
| Political parties and leaders: | Principlists Grand Coalition [Ali Reza ZAKANI] (includes Combatant Clergy Association and Islamic Coalition Party, Society of Devotees and Pathseekers of the Islamic Revolution, Front of Islamic Revolution Stability) |
| Political parties and leaders: | Progress, Welfare, and Justice Front |
| Political parties and leaders: | Progress and Justice Population of Islamic Iran or PJP [Hosein GHORBANZADEH, general secretary] |
| Political parties and leaders: | Resistance Front of Islamic Iran [Yadollah HABIBI, general secretary] |
| Political parties and leaders: | Steadfastness Front |
| Political parties and leaders: | Union of Islamic Iran People's Party |
| Political parties and leaders: | Wayfarers of the Islamic Revolution |
| International organization participation: | CICA, CP, D-8, ECO, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OPEC, PCA, SAARC (observer), SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | none; Iran has an Interests Section in the Pakistani Embassy; address: Iranian Interests Section, Pakistani Embassy, 2209 Wisconsin Avenue NW, Washington, DC 20007; telephone: [1] (202) 965-4990; FAX [1] (202) 965-1073 |
| Diplomatic representation from the US: | none; the US Interests Section is located in the Embassy of Switzerland, No. 39 Shahid Mousavi (Golestan 5th), Pasdaran Ave., Tehran, Iran; telephone [98] 21 2254 2178/2256 5273; FAX [98] 21 2258 0432 |
| Flag description: | three equal horizontal bands of green (top), white, and red; the national emblem (a stylized representation of the word Allah in the shape of a tulip, a symbol of martyrdom) in red is centered in the white band; ALLAH AKBAR (God is Great) in white Arabic script is repeated 11 times along the bottom edge of the green band and 11 times along the top edge of the red band; green is the color of Islam and also represents growth, white symbolizes honesty and peace, red stands for bravery and martyrdom |
| National symbol(s): | lion; national colors: green, white, red |
| National anthem: | name: "Soroud-e Melli-ye Jomhouri-ye Eslami-ye Iran" (National Anthem of the Islamic Republic of Iran) |
| National anthem: | lyrics/music: multiple authors/Hassan RIAHI |
| National anthem: | note 1: adopted 1990; Iran has had six national anthems; the first, entitled Salam-e Shah (Royal Salute) was in use from 1873-1909; next came Salamati-ye Dowlat-e Elliye-ye Iran (Salute of the Sublime State of Persia, 1909-1933); it was followed by Sorud-e melli (The Imperial Anthem of Iran; 1933-1979), which chronicled the exploits of the Pahlavi Dynasty; Ey Iran (Oh Iran) functioned unofficially as the national anthem for a brief period between the ouster of the Shah in 1979 and the early days of the Islamic Republic in 1980; Payandeh Bada Iran (Long Live Iran) was used between 1980 and 1990 during the time of Ayatollah KHOMEINI |
| National anthem: | note 2: a recording of the current Iranian national anthem is unavailable since the US Navy Band does not record anthems for countries from which the US does not anticipate official visits; the US does not have diplomatic relations with Iran |
