| Government | IRAN |
| Legislative branch: | description: unicameral Islamic Consultative Assembly or Majles-e Shura-ye Eslami or Majles (290 seats; 285 members directly elected in single- and multi-seat constituencies by two-round vote, and 1 seat each for Zoroastrians, Jews, Assyrian and Chaldean Christians, Armenians in the north of the country, and Armenians in the South; members serve 4-year terms); note - all candidates to the Majles must be approved by the Guardians Council, a 12-member group of which 6 are appointed by the supreme leader and 6 are jurists nominated by the judiciary and elected by the Majles |
| Legislative branch: | elections: first round held on 26 February 2016 with second round for 68 remaining seats held on 29 April 2016; (next full Majles election to be held in 2020) |
| Legislative branch: | election results: percent of vote by coalition - List of Hope 37.2%, Principlists Grand Coalition 25.9%, People's Voice Coalition 4.5%, joint Hope/People’s Voice 4.1%, joint People’s Voice/Principlist 0.3%, religious minorities 1.7%, independent 26.4%; seats by coalition - List of Hope 108, Principlists Grand Coalition 75, People's Voice Coalition 13, joint Hope/People’s Voice 12, joint People’s Voice/Principlist 1, religious minorities 5, independent 76 |
| Judicial branch: | highest court(s): Supreme Court (consists of the president and NA judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the head of the High Judicial Council (HJC), a 5-member body to include the Supreme Court chief justice, the prosecutor general, and 3 clergy, in consultation with judges of the Supreme Court; president appointed for a 5-year term; other judges appointed by the HJC; judge tenure NA |
| Judicial branch: | subordinate courts: Penal Courts I and II; Islamic Revolutionary Courts; Courts of Peace; Special Clerical Court (functions outside the judicial system and handles cases involving clerics); military courts |
| Political parties and leaders: | Followers of Walayat [Ali LARIJANI] |
| Political parties and leaders: | Pervasive Coalition of Reformists: The Second Step [Ali SOUFI, chairman] (includes Council for Coordinating the Reforms Front, National Trust Party, Union of Islamic Iran People Party, Moderation and Development Party |
| Political parties and leaders: | Principalists Grand Coalition [Alireza ZAKANI] (includes Combatant Clergy Association and Islamic Coalition Party, Society of Devotees and Pathseekers of the Islamic Revolution, Front of Islamic Revolution Stability) |
| Political parties and leaders: | Progress and Justice Population of Islamic Iran [Hssein GHORBANZADEH] |
| Political pressure groups and leaders: | other political groups that support the Islamic Republic: Ansar-e Hizballah |
| Political pressure groups and leaders: | Democracy Party (Hezb-e Mardom Salari) |
| Political pressure groups and leaders: | Executives of Construction Party (Kargozaran) |
| Political pressure groups and leaders: | Followers of the Guardianship of the Jurisprudent (Rahrovan) |
| Political pressure groups and leaders: | Followers of the Line of the Imam and the Leader (Peyrovan) |
| Political pressure groups and leaders: | Islamic Iran Freedom Party (Hezb-e Azadegi) |
| Political pressure groups and leaders: | Islamic Coalition Party (Motalefeh) |
| Political pressure groups and leaders: | Islamic Labor Party (Hezb-e Kar) |
| Political pressure groups and leaders: | Militant Clerics Society or MCS (Ruhaniyun) |
| Political pressure groups and leaders: | Moderation and Development Party (Hezb-e Etedal va Tose-eh) |
| Political pressure groups and leaders: | Nation of Iran Unity Party (Hezb-e Etehad) |
| Political pressure groups and leaders: | National Trust Party (Hezb-e Etemad-e Meli) |
| Political pressure groups and leaders: | Qom Theological Lecturers Association |
| Political pressure groups and leaders: | Reform Front Coordination Council (Shora-ye Hamahangi Eslahat) |
| Political pressure groups and leaders: | Society of Devotees (Isargaran) |
| Political pressure groups and leaders: | Society of Modern Thinking Muslim Women of Iran (Jamiat-e Zanan-e Noandish) |
| Political pressure groups and leaders: | Steadfastness Front (Paydari) |
| Political pressure groups and leaders: | Tehran Militant Clergy Association or MCA (Ruhaniyat) |
| Political pressure groups and leaders: | Voice of Iranians (Neda) |
| Political pressure groups and leaders: | Wayfarers of the Islamic Revolution (Rahpuyan) |
| armed political groups repressed by the government: | Democratic Party of Iranian Kurdistan or KDPI |
| armed political groups repressed by the government: | Harekat-e Ansar-e Iran (splinter faction of Jundallah) |
| armed political groups repressed by the government: | Jaysh l-Adl (formerly known as Jundallah) |
| armed political groups repressed by the government: | Komala |
| armed political groups repressed by the government: | Mojahedin-e Khalq Organization or MEK (MKO) |
| armed political groups repressed by the government: | People's Fedayeen |
| armed political groups repressed by the government: | People's Free Life Party of Kurdistan or PJAK |
| International organization participation: | CICA, CP, D-8, ECO, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OPEC, PCA, SAARC (observer), SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | none; note - Iran has an Interests Section in the Pakistani Embassy; address: Iranian Interests Section, Pakistani Embassy, 2209 Wisconsin Avenue NW, Washington, DC 20007; telephone: [1] (202) 965-4990; FAX [1] (202) 965-1073 |
| Diplomatic representation from the US: | none; note - the US Interests Section is located in the Embassy of Switzerland No. 39 Shahid Mousavi (Golestan 5th), Pasdaran Ave., Tehran, Iran; telephone [98] 21 2254 2178/2256 5273; FAX [98] 21 2258 0432 |
| Flag description: | three equal horizontal bands of green (top), white, and red; the national emblem (a stylized representation of the word Allah in the shape of a tulip, a symbol of martyrdom) in red is centered in the white band; ALLAH AKBAR (God is Great) in white Arabic script is repeated 11 times along the bottom edge of the green band and 11 times along the top edge of the red band; green is the color of Islam and also represents growth, white symbolizes honesty and peace, red stands for bravery and martyrdom |
| National symbol(s): | lion; national colors: green, white, red |
| National anthem: | name: "Soroud-e Melli-ye Jomhouri-ye Eslami-ye Iran" (National Anthem of the Islamic Republic of Iran) |
| National anthem: | lyrics/music: multiple authors/Hassan RIAHI |
| National anthem: | note: adopted 1990 |
