| Government | Mongolia |
| International organization participation: | ADB, ARF, CD, CICA, CP, EBRD, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OPCW, OSCE, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yondon OTGONBAYAR (since 28 March 2018) |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Manuel MICALLER (since November 2017) |
| Diplomatic representation from the US: | embassy: Denver Street #3, 11th Micro Region, Big Ring Road, Ulaanbaatar, 14190 Mongolia |
| Diplomatic representation from the US: | mailing address: P.O. Box 341, Ulaanbaatar 14192 |
| Diplomatic representation from the US: | telephone: [976] 7007-6001 |
| Diplomatic representation from the US: | FAX: [976] 7007-6016 |
| Flag description: | three, equal vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol); blue represents the sky, red symbolizes progress and prosperity |
| National symbol(s): | soyombo emblem; national colors: red, blue, yellow |
| National anthem: | name: "Mongol ulsyn toriin duulal" (National Anthem of Mongolia) |
| National anthem: | lyrics/music: Tsendiin DAMDINSUREN/Bilegiin DAMDINSUREN and Luvsanjamts MURJORJ |
| National anthem: | note: music adopted 1950, lyrics adopted 2006; lyrics altered on numerous occasions |
