| Government | YEMEN |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew H. TUELLER (since 10 June 2014) |
| Diplomatic representation from the US: | embassy: Sa'awan Street, Sanaa |
| Diplomatic representation from the US: | mailing address: P. O. Box 22347, Sanaa |
| Diplomatic representation from the US: | telephone: [967] (1) 755-2000 ext. 2153 or 2266 |
| Diplomatic representation from the US: | FAX: [967] (1) 303-182 |
| Flag description: | three equal horizontal bands of red (top), white, and black; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, and of Iraq, which has an Arabic inscription centered in the white band; also similar to the flag of Egypt, which has a heraldic eagle centered in the white band |
| National symbol(s): | golden eagle; national colors: red, white, black |
| National anthem: | name: "al-qumhuriyatu l-muttahida" (United Republic) |
| National anthem: | lyrics/music: Abdullah Abdulwahab NOA'MAN/Ayyoab Tarish ABSI |
| National anthem: | note: adopted 1990; the music first served as the anthem for South Yemen before unification with North Yemen in 1990 |
