| Government | Samoa |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: TUIMALEALI'IFANO Vaâ€™aletoa Sualauvi II (since 21 July 2017) |
| Executive branch: | head of government: Prime Minister TUILA'EPA Lupesoliai Sailele Malielegaoi (since 23 November 1998); Deputy Prime Minister FIAME Naomi Mataâ€™afa (since 2016) |
| Executive branch: | cabinet: Cabinet appointed by the chief of state on the prime minister's advice |
| Executive branch: | elections/appointments: chief of state indirectly elected by the Legislative Assembly to serve a 5-year term (2- term limit); election last held on 4 July 2017 (next to be held in 2022); following legislative elections, the leader of the majority party is usually appointed prime minister by the chief of state, approved by the Legislative Assembly |
| Executive branch: | election results: TUIMALEALI'IFANO Vaâ€™aletoa Sualauvi unanimously elected by the Legislative Assembly on 5 July 2017 |
| Legislative branch: | description: unicameral Legislative Assembly or Fono (50 seats for 2016-2021 term); members from 49 single-seat constituencies directly elected by simple majority vote and 1 seat for a woman, added for the 2016 election to meet the mandated 10% representation of women in the Assembly; members serve 5-year terms) |
| Legislative branch: | elections: election last held on 4 March 2016 (next election to be held on 9 April 2021) |
| Legislative branch: | election results: percent of vote by party - HRPP 89.8%, Tautua Samoa 4.1%, independent 6.1%; seats by party â€“ initial election results - HRPP 44, Tautua Samoa 2, independents 3; post-election party affiliation â€“ HRPP 47, (informal) opposition 3; composition - men 45, women 5, percent of women 10% |
| Judicial branch: | highest courts: Court of Appeal (consists of the chief justice and 2 Supreme Court judges and meets once or twice a year); Supreme Court (consists of the chief justice and several judges) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the chief of state upon the advice of the prime minister; other Supreme Court judges appointed by the Judicial Service Commission, a 3-member body chaired by the chief justice and includes the attorney general and an appointee of the Minister of Justice; judges normally serve until retirement at age 68 |
| Judicial branch: | subordinate courts: District Court; Magistrates' Courts; Land and Titles Courts; village fono or village chief councils |
| Political parties and leaders: | Human Rights Protection Party or HRPP [TUILA'EPA Sailele Malielegaoi] |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, ITU, ITUC (NGOs), MIGA, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Aliioaiga Feturi ELISAIA (since 4 December 2003) |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400J, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6196 through 6197 |
| Diplomatic representation in the US: | FAX: [1] (212) 599-0797 |
| Diplomatic representation in the US: | consulate(s) general: Pago Pago (American Samoa) |
| Diplomatic representation from the US: | chief of mission: the US Ambassador to New Zealand is accredited to Samoa |
| Diplomatic representation from the US: | telephone: [685] 21-631 (2018) |
| Diplomatic representation from the US: | embassy: Accident Corporation Building, 5th Floor, Matafele, Apia |
| Diplomatic representation from the US: | mailing address: P. O. Box 3430, Matafele, Apia |
| Diplomatic representation from the US: | FAX: [685] 22-030 (2018) |
| Flag description: | red with a blue rectangle in the upper hoist-side quadrant bearing five white, five-pointed stars representing the Southern Cross constellation; red stands for courage, blue represents freedom, and white signifies purity |
| Flag description: | note: similar to the flag of Taiwan |
| National symbol(s): | Southern Cross constellation (five, five-pointed stars); national colors: red, white, blue |
| National anthem: | name: "O le Fu'a o le Sa'olotoga o Samoa" (The Banner of Freedom) |
| National anthem: | lyrics/music: Sauni Liga KURESA |
| National anthem: | note: adopted 1962; also known as "Samoa Tula'i" (Samoa Arise) |
