| Government | Croatia |
| Constitution: | amendments: proposed by at least one fifth of the Assembly membership, by the president of the republic, by the Government of Croatia, or through petition by at least 10% of the total electorate; proceedings to amend require majority vote by the Assembly; passage requires two-thirds majority vote by the Assembly; passage by petition requires a majority vote in a referendum and promulgation by the Assembly; amended several times, last in 2014 |
| Legal system: | civil law system influenced by legal heritage of Austria-Hungary; note - Croatian law was fully harmonized with the European Community acquis as of the June 2010 completion of EU accession negotiations |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Croatia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Zoran MILANOVIC (since 18 February 2020) |
| Executive branch: | head of government: Prime Minister Andrej PLENKOVIC (since 19 October 2016); Deputy Prime Ministers Damir KRSTICEVIC (since 19 October 2016), Predrag STROMAR (since 9 June 2017), Marija Pejcinovic BURIC (since 19 June 2017), and Tomislav TOLUSIC (since 25 May 2018)Â  |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and approved by the Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 22 December 2019 with a runoff on 5 January 2020 (next to be held in 2024); the leader of the majority party or majority coalition usually appointed prime minister by the president and approved by the Assembly |
| Executive branch: | election results: Zoran MILANOVIC elected president in second round; percent of vote - Zoran MILANOVIC (SDP) 52.7%, Kolinda GRABAR-KITAROVIC (HDZ) 47.3% |
| Legislative branch: | description: unicameral Assembly or Hrvatski Sabor (151 seats; 140 members in 10 multi-seat constituencies and 3 members in a single constituency for Croatian diaspora directly elected by proportional representation vote using the D'Hondt method with a 5% threshold; an additional 8 members elected from a nationwide constituency by simple majority by voters belonging to minorities recognized by Croatia; the Serb minority elects 3 Assembly members, the Hungarian and Italian minorities elect 1 each, the Czech and Slovak minorities elect 1 jointly, and all other minorities elect 2; all members serve 4-year terms |
| Legislative branch: | elections: early election held on 5 July 2020 (next to be held by 2024) |
| Legislative branch: | election results: percent of vote by coalition/party - HDZ-led coalition 37.3%, Restart coalition 24.9%, DPMS-led coalition 10.9%, MOST 7.4%, Green-Left coalition 7%, P-F-SSIP 4%, HNS-LD 1.3%, People's Party - Reformists 1%, other 6.2%; number of seats by coalition/party - HDZ-led coalition 66, Restart coalition 41, DPMS-led coalition 16, MOST 8, Green-Left coalition 7, P-F-SSIP 3, HNS-LD 1, People's Party - Reformists - 1, national minorities 8; composition - men 116, women 35, percent of women 23.2% |
| Legislative branch: | note: seats by party as of June 2019 - HDZ 55, SDP 29, MOST-NL 10, HNS 4, HSS 4, GLAS 4, IDS 3, SDSS 3, BM365-SRS 3, Human Shield 2, HDS 2, NHR 2, other 8, independent 21 |
| Judicial branch: | highest courts: Supreme Court (consists of the court president and vice president, 25 civil department justices, and 16 criminal department justices) |
| Judicial branch: | judge selection and term of office: president of Supreme Court nominated by the president of Croatia and elected by the Sabor for a 4-year term; other Supreme Court justices appointed by the National Judicial Council; all judges serve until age 70 |
| Judicial branch: | subordinate courts: Administrative Court; county, municipal, and specialized courts; note - there is an 11-member Constitutional Court with jurisdiction limited to constitutional issues but is outside of the judicial system |
| Political parties and leaders: | Bloc for Croatia or BZH [Zlatko HASANBEGOVIC] |
| Political parties and leaders: | Bridge of Independent Lists or Most [Bozo PETROV] |
| Political parties and leaders: | Civic Liberal Alliance or GLAS [Ankar Mrak TARITAS] |
| Political parties and leaders: | Croatian Christian Democratic Party or HDS [Goran DODIG] |
| Political parties and leaders: | Croatian Conservative Party or HKS [Marijan PAVLICEK] |
| Political parties and leaders: | Croatian Democratic Congress of Slavonia and Baranja or HDSSB [Branimir GLAVAS] |
| Political parties and leaders: | Croatian Democratic Union or HDZ [Andrej PLENKOVIC] |
| Political parties and leaders: | Croatian Democratic Union-led coalition (includes HSLS, HDS, HDSSB) |
| Political parties and leaders: | Croatian Peasant Party or HSS [Kreso BELJAK] |
| Political parties and leaders: | Croatian Pensioner Party or HSU [Silvano HRELJA] |
| Political parties and leaders: | Croatian People's Party - Liberal Democrats or HNS-LD [Ivan VRDOLJAK] |
| Political parties and leaders: | Croatian Social Liberal Party or HSLS [Dario HREBAK] |
| Political parties and leaders: | Croatian Sovereignists coalition (includes HK, HRAST) |
| Political parties and leaders: | FOKUS [Davor NADI] |
| Political parties and leaders: | Green-Left coalition (includes MOZEMO!, RF, NL) |
| Political parties and leaders: | Homeland Movement or DPMS [Miloslav SKORO] |
| Political parties and leaders: | Homeland Movement-led coalition (includes DPMS, Croatian Sovereignists coalition, BZH) |
| Political parties and leaders: | Istrian Democratic Assembly or IDS [Boris MILETIC] |
| Political parties and leaders: | Movement for Successful Croatia or HRAST [Ladislav ILCIC] |
| Political parties and leaders: | New Left or NL [Dragan MARKOVINA] |
| Political parties and leaders: | Pametno [Marijana PULJAK] |
| Political parties and leaders: | Pametno, FOKUS, SSIP coalition |
| Political parties and leaders: | Party with a First and Last Name or SSIP [Ivan KOVACIC] |
| Political parties and leaders: | People's Party - Reformists [Radimir CACIC] |
| Political parties and leaders: | Restart Coalition (includes HSLS, HDS, HDSSB) |
| Political parties and leaders: | Social Democratic Party of Croatia or SDP [Zlatko KOMADINA, acting leader] |
| Political parties and leaders: | We Can! or MOZEMO! [collective leadership] |
| Political parties and leaders: | Workers' Front or RF [collective leadership] |
| International organization participation: | Australia Group, BIS, BSEC (observer), CD, CE, CEI, EAPC, EBRD, ECB, EMU, EU, FAO, G-11, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NAM (observer), NATO, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNMOGIP, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Pjer SIMUNOVIC (since 8 September 2017) |
| Diplomatic representation in the US: | chancery: 2343 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-5899 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-8936 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador W. Robert KOHORST (since 12 January 2018) |
| Diplomatic representation from the US: | telephone: [385] (1) 661-2200 |
| Diplomatic representation from the US: | embassy: 2 Thomas Jefferson Street, 10010 Zagreb |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [385] (1) 661-2373 |
| Flag description: | three equal horizontal bands of red (top), white, and blue - the Pan-Slav colors - superimposed by the Croatian coat of arms; the coat of arms consists of one main shield (a checkerboard of 13 red and 12 silver (white) fields) surmounted by five smaller shields that form a crown over the main shield; the five small shields represent five historic regions (from left to right): Croatia, Dubrovnik, Dalmatia, Istria, and Slavonia |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | red-white checkerboard; national colors: red, white, blue |
| National anthem: | name: "Lijepa nasa domovino" (Our Beautiful Homeland) |
| National anthem: | lyrics/music: Antun MIHANOVIC/Josip RUNJANIN |
| National anthem: | note: adopted in 1972 while still part of Yugoslavia; "Lijepa nasa domovino," whose lyrics were written in 1835, served as an unofficial anthem beginning in 1891 |
