| Government | Liberia |
| Judicial branch: | judge selection and term of office: chief justice and associate justices appointed by the president of Liberia with consent of the Senate; judges can serve until age 70 |
| Judicial branch: | subordinate courts: judicial circuit courts; special courts, including criminal, civil, labor, traffic; magistrate and traditional or customary courts |
| Political parties and leaders: | Alliance for Peace and Democracy or APD [Marcus S. G. DAHN] |
| Political parties and leaders: | All Liberian Party or ALP [Benoi UREY] |
| Political parties and leaders: | Alternative National Congress or ANC [Orishil GOULD] |
| Political parties and leaders: | Coalition for Democratic Change [George WEAH] (includes CDC, NPP, and LPDP)Congress for Democratic Change or CDC [George WEAH] |
| Political parties and leaders: | Liberia Destiny Party or LDP [Nathaniel BARNES] |
| Political parties and leaders: | Liberia National Union or LINU [Nathaniel BLAMA] |
| Political parties and leaders: | Liberia Transformation Party or LTP [Julius SUKU] |
| Political parties and leaders: | Liberian People Democratic Party or LPDP [Alex J. TYLER] |
| Political parties and leaders: | Liberian People's Party or LPP |
| Political parties and leaders: | Liberty Party or LP [J. Fonati KOFFA] |
| Political parties and leaders: | Movement for Democracy and Reconstruction or MDR [Prince Y. JOHNSON] |
| Political parties and leaders: | Movement for Economic Empowerment [J. Mill JONES, Dr.] |
| Political parties and leaders: | Movement for Progressive Change or MPC [Simeon FREEMAN] |
| Political parties and leaders: | National Democratic Coalition or NDC [Dew MAYSON] |
| Political parties and leaders: | National Democratic Party of Liberia or NDPL [D. Nyandeh SIEH] |
| Political parties and leaders: | National Patriotic Party or NPP [Jewel HOWARD TAYLOR] |
| Political parties and leaders: | National Reformist Party or NRP [Maximillian T. W. DIABE] |
| Political parties and leaders: | National Union for Democratic Progress or NUDP [Victor BARNEY] |
| Political parties and leaders: | People's Unification Party or PUP [Isobe GBORKORKOLLIE] |
| Political parties and leaders: | Unity Party or UP [Varney SHERMAN] |
| Political parties and leaders: | United People's Party [MacDonald WENTO] |
| Political parties and leaders: | Victory for Change Party [Marcus R. JONES] |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (correspondent), ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | Ambassador George PATTEN (since 11 January 2019) |
| Diplomatic representation in the US: | chancery: 5201 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 723-0437 |
| Diplomatic representation in the US: | FAX: [1] (202) 723-0436 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Christine A. ELDER (since 23 June 2016) |
| Diplomatic representation from the US: | telephone: [231] 77-677-7000 |
| Diplomatic representation from the US: | embassy: U.S. Embassy, 502 Benson Street, Monrovia |
| Diplomatic representation from the US: | mailing address: P.O. Box 98, Monrovia |
| Diplomatic representation from the US: | FAX: [231] 77-677-7370 |
| Flag description: | 11 equal horizontal stripes of red (top and bottom) alternating with white; a white five-pointed star appears on a blue square in the upper hoist-side corner; the stripes symbolize the signatories of the Liberian Declaration of Independence; the blue square represents the African mainland, and the star represents the freedom granted to the ex-slaves; according to the constitution, the blue color signifies liberty, justice, and fidelity, the white color purity, cleanliness, and guilelessness, and the red color steadfastness, valor, and fervor |
| Flag description: | note: the design is based on the US flag |
| National symbol(s): | white star; national colors: red, white, blue |
| National anthem: | name: All Hail, Liberia Hail! |
| National anthem: | lyrics/music: Daniel Bashiel WARNER/Olmstead LUCA |
| National anthem: | note: lyrics adopted 1847, music adopted 1860; the anthem's author later became the third president of Liberia |
