| Government | Madagascar |
| Executive branch: | note: on 17 March 2009, democratically elected President Marc RAVALOMANANA stepped down handing the government over to the military, which in turn conferred the presidency on opposition leader and Antananarivo mayor Andry RAJOELINA; a power-sharing agreement established a 15-month transition period to conclude with general elections in 2010, which failed to occur; a subsequent agreement aimed for elections in early 2013 the first round of which were held 25 October 2013, with the second round scheduled for 20 December 2013 |
| Legislative branch: | bicameral legislature consists of a Senate or Senat (100 seats; two-thirds of the members appointed by regional assemblies; the remaining one-third appointed by the president; members to serve four-year terms) and a National Assembly or Assemblee Nationale (127 seats - reduced from 160 seats by an April 2007 national referendum; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: National Assembly - last held on 23 September 2007 (next to be held 20 December 2013); note - a power-sharing agreement in the summer of 2009 established a 15-month transition, concluding in general elections scheduled for late 2013 after repeated delays |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA; seats by party - TIM 106, LEADER/Fanilo 1, independents 20 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 11 members; addresses judicial administration issues only); High Constitutional Court or Haute Cour Constitutionnelle (consists of 9 members) |
| Judicial branch: | note - the judiciary includes a High Court of Justice responsible for adjudicating crimes and misdemeanors by government officials including the president |
| Judicial branch: | judge selection and term of office: Supreme Court heads elected by the president and judiciary officials to serve single-renewable, 3-year terms;  High Constitutional Court members appointed - 3 each by the president, by both legislative bodies, and by the Council of Magistrates; members serve single, 6-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; provincial and city tribunals |
| Political parties and leaders: | Association for the Rebirth of Madagascar or AREMA [Pierrot RAJAONARIVELO] |
| Political parties and leaders: | Democratic Party for Union in Madagascar or PSDUM [Jean LAHINIRIKO] |
| Political parties and leaders: | Economic Liberalism and Democratic Action for National Recovery or LEADER/Fanilo [Herizo RAZAFIMAHALEO] |
| Political parties and leaders: | Fihaonana Party or FP [Guy-Willy RAZANAMASY] |
| Political parties and leaders: | Green Party or Vert [Sarah Georget RABEHARISOA] |
| Political parties and leaders: | I Love Madagascar or TIM [Marc RAVALOMANANA] |
| Political parties and leaders: | Renewal of the Social Democratic Party or RPSD [Evariste MARSON] |
| Political pressure groups and leaders: | Committee for the Defense of Truth and Justice or KMMR |
| Political pressure groups and leaders: | Committee for National Reconciliation or CRN [Albert Zafy] |
| Political pressure groups and leaders: | National Council of Christian Churches or FFKM |
| International organization participation: | ACP, AfDB, AU (suspended), CD, COMESA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF (suspended), OPCW, PCA, SADC (suspended), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Velotiana Rakotoanosy RAOBELINA |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525 through 5526 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-3034 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Eric WONG note - also accredited to Comoros |
| Diplomatic representation from the US: | embassy: Lot 207A, Point Liberty, Andranoro, Antehiroka, 105 Antananarivo |
| Diplomatic representation from the US: | mailing address: B. P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | telephone: [261] (23) 480 00/01 |
| Diplomatic representation from the US: | FAX: [261] (23) 480 35 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side; by tradition, red stands for sovereignty, green for hope, white for purity |
| National anthem: | name: "Ry Tanindraza nay malala o" (Oh, Our Beloved Fatherland) |
| National anthem: | lyrics/music: Pasteur RAHAJASON/Norbert RAHARISOA |
| National anthem: | note: adopted 1959 |
