| Government | Madagascar |
| Judicial branch: | subordinate courts: Courts of Appeal; provincial and city tribunals |
| Executive branch: | chief of state: President Hery Martial RAJAONARIMAMPIANINA Rakotoarimana (since 25 January 2014) |
| Executive branch: | head of government: Prime Minister Christian NTSAY (since 6 June 2018) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 25 October and 20 December 2013 (next to be held on 7 November and 19 December 2018); prime minister nominated by the National Assembly, appointed by the president |
| Executive branch: | election results: Hery Martial RAJAONARIMAMPIANINA elected president in second round; percent of vote - Hery Martial RAJAONARIMAMPIANINA (HVM) 53.5%, Jean Louis ROBINSON (AVANA) 46.5% |
| Executive branch: | note: on 17 March 2009, democratically elected President Marc RAVALOMANANA stepped down, handing the government over to the military, which in turn conferred the presidency on opposition leader and Antananarivo mayor Andry RAJOELINA; a power-sharing agreement established a 15-month transition period to conclude with a general election in 2010, which failed to occur; a subsequent agreement aimed for an early 2013 election - the first round was held on 25 October 2013 and the second on 20 December 2013 |
| Legislative branch: | description: bicameral National Assembly or Assemblee Nationale consists of: |
| Legislative branch: | Senate or Antenimieran-Doholona (dissolved following the 2009 coup and reestablished in December 2015) (63 seats; 42 members indirectly elected by an electoral college of municipal, communal, regional, and provincial leaders and 21 appointed by the president of the republic; members serve 6-year terms) |
| Legislative branch: | National Assembly or Antenimierampirenena (151 seats; 87 members directly elected in single-seat constituencies by simple majority vote and 64 directly elected in multi-seat constituencies by closed-list proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held 29 December 2015 (next to be held in 2021) |
| Legislative branch: | National Assembly - last held on 20 December 2013 (next to be held in 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - TIM 3, MAPAR 2, LEADER-Fanilo 1, independent 2, appointed by the president 21 |
| Legislative branch: | National Assembly - percent of vote by party - MAPAR 17.3%, MR 10.8%, VPM MMM 8.2%, PHI 3.8%, AMHM 3.5%, LEADER-Fanilo 2.8%, FFF 1.6%, AIM 1.%, SFN 0.3%, independent and other 50.6%; seats by party - MAPAR 49, MR 20, VPM MMM 13, PHI 5, AMHM 2, LEADER-Fanilo 5, FFF 2, AIM 2, SFN 2, other 22, independent 25, seats with delayed elections 4 |
| Political parties and leaders: | + AVANA [Jean-Louis ROBINSON] |
| Political parties and leaders: | Economic Liberalism and Democratic Action for National Recovery or LEADER-Fanilo [Manasse ESOAVELOMANDROSO] |
| Political parties and leaders: | Green Party/Parti Vert or AMHM [Sarah Georget RABEHARISOA] |
| Political parties and leaders: | I Love Madagascar (Tiako I Madagasikara) or TIM [Marc RAVALOMANANA] |
| Political parties and leaders: | Liberal Democrat Party (Parti Liberal Democrate) or PLD [Sarah RABEHARISOA] |
| Political parties and leaders: | Malagasy Awaken Party (Malagasy Tonga Saina) or MTS [Roland RATSIRAKA] |
| Political parties and leaders: | Malagasy Starting Together Party (Malagasy Miara-Miainga) or MMM [Hajo ANDRIANAINARIVELO] |
| Political parties and leaders: | National Unity, Freedom, and Development or FFF [Benjamin RADAVIDSON Andriamparany] |
| Political parties and leaders: | New Forces for Madagascar (Hery Vaovao ho an'i Madagasikara) or HVM [Rivo RAKOTOVAO] |
| Political parties and leaders: | Parti Hiaraka Isika or PHI [Albert Camille VITAL] |
| Political parties and leaders: | Pillar for the Renovation of Madagscar Party (Avant-garde pour la Renovation de Madagascar) or AREMA [Didier RATSIRAKA] |
| Political parties and leaders: | Pillar of Madagascar or AIM [Andry RAKOTOVAO] |
| Political parties and leaders: | Ravalomanana Movement or MR |
| Political parties and leaders: | Sambo Fiaran'i Noe or SFN |
| Political parties and leaders: | Union Party or Tambatra [Pety RAKOTONIAINA] |
| Political parties and leaders: | Vondrona Politika Miara dia Malagasy Miara Miainga or VPM MMM [Milavonjy ANDRIASY] |
| Political parties and leaders: | With the President Andry RAJOELIN Party (Miaraka amin'i Andry RAJOELINA) or MAPAR [Andry RAJOELINA] |
| International organization participation: | ACP, AfDB, AU, CD, COMESA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Eric ANDRIAMIHAJAMANANIRINA Robson (since 28 March 2018) |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-3034 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Stuart R. WILSON (since 2 April 2018) |
| Diplomatic representation from the US: | embassy: Lot 207A, Point Liberty, Andranoro, Antehiroka, 105 Antananarivo |
| Diplomatic representation from the US: | mailing address: B.P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | telephone: [261] 20 23 480 00 |
| Diplomatic representation from the US: | FAX: [261] 20 23 480 35 or [261] 33 44 328 17 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side; by tradition, red stands for sovereignty, green for hope, white for purity |
| National symbol(s): | traveller's palm, zebu; national colors: red, green, white |
| National anthem: | name: "Ry Tanindraza nay malala o" (Oh, Our Beloved Fatherland) |
| National anthem: | lyrics/music: Pasteur RAHAJASON/Norbert RAHARISOA |
| National anthem: | note: adopted 1959 |
