| Government | Madagascar |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 7 November andÂ 19 December 2018 (next to be held in 2023); prime minister nominated by the National Assembly, appointed by the president |
| Executive branch: | election results: Andry RAJOELINA elected President in second round;Â percent of vote - Andry RAJOELINAÂ (TGV) 55.7%, Marc RAVALOMANANA 44.3% (TIM) |
| Legislative branch: | description: bicameralÂ ParliamentÂ consists of: |
| Legislative branch: | Senate or Antenimieran-Doholona (reestablished on 22 January 2016, following the December 2015 senatorial election) (63 seats; 42 members indirectly elected by an electoral college of municipal, communal, regional, and provincial leaders and 21 appointed by the president of the republic; members serve 5-year terms) |
| Legislative branch: | National Assembly or Antenimierampirenena (151 seats; 87 members directly elected in single-seat constituencies by simple majority vote and 64 directly elected in multi-seat constituencies by closed-list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held 29 December 2015 (next to be held in 2021) |
| Legislative branch: | National Assembly - last held onÂ 27 MayÂ 2019 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - HVM 34, TIM 3, MAPAR 2, LEADER-Fanilo 1, independent 2, appointed by the president 21; composition - men 51, women 12, percent of women 19% |
| Legislative branch: | National Assembly - percent of vote by party -IndependentÂ Pro-HVM 18%,Â MAPAR 17%,Â MAPAR pro-HVM 16%, VPM-MMM 10%, VERTS 3%, LEADER FANILO 3%, HIARAKA ISIKA 3%, GPS/ARD 7%,Â  INDEPENDENT 9%, TAMBATRA 1%, TIM 13%;Â Â composition - men 120, women 31, percent of women 20.5%; note - total National Assembly percent of women 20.1% |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of 11 members; addresses judicial administration issues only); High Constitutional Court or Haute Cour Constitutionnelle (consists of 9 members); note - the judiciary includes a High Court of Justice responsible for adjudicating crimes and misdemeanors by government officials, including the president |
| Judicial branch: | judge selection and term of office: Supreme Court heads elected by the president and judiciary officials to serve 3-year, single renewable terms; High Constitutional Court members appointed - 3 each by the president, by both legislative bodies, and by the Council of Magistrates; members serve single, 7-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance |
| Political parties and leaders: | Economic liberalism and democratic action for national recovery or LEADER FANILO [Jean Max RAKOTOMAMONJY] |
| Political parties and leaders: | FOMBA [Ny Rado RAFALIMANANA] |
| Political parties and leaders: | Gideons fighting against poverty inÂ Madagascar (GedeonaÂ Miady amin'ny Fahantrana eto Madagascar) or GFFM [Andre Christian Dieu Donne MAILHOL] |
| Political parties and leaders: | Green party or VERTS (Antoko Maintso) [Alexandre GEORGET] |
| Political parties and leaders: | I Love Madagascar (Tiako I Madagasikara) or TIM [Marc RAVALOMANANA] |
| Political parties and leaders: | Malagasy aware (Malagasy Tonga Saina) or MTS [Roland RATSIRAKA] |
| Political parties and leaders: | Malagasy raising togetherÂ (Malagasy Miara-Miainga) or MMM [Hajo ANDRIANAINARIVELO] |
| Political parties and leaders: | New Force for Madagascar (Hery Vaovao ho an'ny Madagasikara) or HVM [Hery Martial RAJAONARIMAMPIANINA Rakotoarimanana] |
| Political parties and leaders: | Total Refoundation of Madagascar (Refondation Totale de Madagascar) or RTM [Joseph Martin RANDRIAMAMPIONONA] |
| Political parties and leaders: | Vanguard for the renovation of Madagascar (Avant-Garde pour la renovation de Madagascar) or AREMA [Didier RATSIRAKA] |
| Political parties and leaders: | Young Malagasies Determined (Malagasy: Tanora malaGasy Vonona) or TGV [Andry RAJOELINA]and MAPAR [Andry RAJOELINA],Â andÂ IRD (We are all with Andy Rajoelina) [Andry RAJOELINA] |
| International organization participation: | ACP, AfDB, AU, CD, COMESA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | (vacant) |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-3034 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael PELLETIER (since 14 FebruaryÂ 2019) |
| Diplomatic representation from the US: | telephone: [261] 20 23 480 00 |
| Diplomatic representation from the US: | embassy: Lot 207A, Point Liberty, Andranoro, Antehiroka, 105 Antananarivo |
| Diplomatic representation from the US: | mailing address: B.P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | FAX: [261] 20 23 480 35 or [261] 33 44 328 17 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side; by tradition, red stands for sovereignty, green for hope, white for purity |
| National symbol(s): | traveller's palm, zebu; national colors: red, green, white |
| National anthem: | name: "Ry Tanindraza nay malala o" (Oh, Our Beloved Fatherland) |
| National anthem: | lyrics/music: Pasteur RAHAJASON/Norbert RAHARISOA |
| National anthem: | note: adopted 1959 |
