| Government | Madagascar |
| Legislative branch: | bicameral legislature consists of a Senate or Senat (33 seats; 22 elected from each of the 22 regions; the remaining 11 appointed by the president; members to serve six-year terms) and a National Assembly or Assemblee Nationale (151 seats in the December 2013 election; reduced from 160 seats to 127 seats by an April 2007 national referendum - never used; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: National Assembly - last held on 20 December 2013 (next to be held in 2017); note - a power-sharing agreement in the summer of 2009 established a 15-month transition, concluding in general elections scheduled for late 2013 after repeated delays |
| Legislative branch: | election results: National Assembly - percent of vote by party - Party of Andry Rajoelina 17.3%, Ravalomannana Movement 10.8%, Vondrona Politika 8.2%, independents and others 63.7%; seats by party - Party of Andry Rajoelina 49, the Ravalomannana Movement 20, Malagasy Miara Mianinga 13, independents 25, seats with delayed elections 4, other 40 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 11 members; addresses judicial administration issues only); High Constitutional Court or Haute Cour Constitutionnelle (consists of 9 members) |
| Judicial branch: | note - the judiciary includes a High Court of Justice responsible for adjudicating crimes and misdemeanors by government officials including the president |
| Judicial branch: | judge selection and term of office: Supreme Court heads elected by the president and judiciary officials to serve single-renewable, 3-year terms;  High Constitutional Court members appointed - 3 each by the president, by both legislative bodies, and by the Council of Magistrates; members serve single, 6-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; provincial and city tribunals |
| Political parties and leaders: | AVANA Party [Jean-Louis ROBINSON] |
| Political parties and leaders: | Economic Liberalism and Democratic Action for National Recovery or LEADER/Fanilo [Manasse ESOAVELOMANDROSO] |
| Political parties and leaders: | Green Party or Parti Vert [Sarah Georget RABEHARISOA] |
| Political parties and leaders: | I Love Madagascar or TIM [Marc RAVALOMANANA] |
| Political parties and leaders: | Judged by Your Work or AVI [Norbert RATSIRAHONANA] |
| Political parties and leaders: | Malagasy Miara-Miainga or MMM [Hajo ANDRIANAINARIVELO] |
| Political parties and leaders: | Malagasy Tonga Saina or MTS [Roland RATSIRAKA] |
| Political parties and leaders: | Movement for Democracy in Madagascar or MDM [Pierrot RAJAONARIVELO] |
| Political parties and leaders: | New Force for Madagascar of FIDIO [Hery RAJAONARIMAMPIANINA] |
| Political parties and leaders: | Renewal of the Social Democratic Party or RPSD [Evariste MARSON] |
| Political parties and leaders: | Socialist and Democratic Party for the Unity of Madagascar or PSDUM [Jean LAHINIRIKO] |
| Political parties and leaders: | Union Party or Tambatra [Pety RAKOTONIAINA] |
| Political parties and leaders: | Young Malagasies Determined or TGV [Andry RAJOELINA] |
| Political pressure groups and leaders: | Committee for the Defense of Truth and Justice or KMMR |
| Political pressure groups and leaders: | Committee for National Reconciliation or CRN [Albert Zafy] |
| Political pressure groups and leaders: | National Council of Christian Churches or FFKM |
| International organization participation: | ACP, AfDB, AU, CD, COMESA, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Velotiana Rakotoanosy RAOBELINA (since 20 June 1011) |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525 through 5526 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-3034 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Eric WONG note - also accredited to Comoros |
| Diplomatic representation from the US: | embassy: Lot 207A, Point Liberty, Andranoro, Antehiroka, 105 Antananarivo |
| Diplomatic representation from the US: | mailing address: B. P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | telephone: [261] (23) 480 00/01 |
| Diplomatic representation from the US: | FAX: [261] (23) 480 35 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side; by tradition, red stands for sovereignty, green for hope, white for purity |
| National anthem: | name: "Ry Tanindraza nay malala o" (Oh, Our Beloved Fatherland) |
| National anthem: | lyrics/music: Pasteur RAHAJASON/Norbert RAHARISOA |
| National anthem: | note: adopted 1959 |
