| Government | Austria |
| Executive branch: | election results: Alexander VAN DER BELLEN elected in second round; percent of vote in first round - Norbret HOFER (FPOe) 35.1%, Alexander VAN DER BELLEN (independent, allied with the Greens) 21.3%, Irmgard GRISS (independent) 18.9%, Rudolf HUNDSTORFER (SPOe) 11.3%, Andreas KHOL (OeVP) 11.1%, Richard LUGNER (independent) 2.3%; percent of vote in second round - Alexander VAN DER BELLEN 53.8%, Norbert HOFER 46.2% |
| Legislative branch: | description: bicameral Federal Assembly or Bundesversammlung consists of: |
| Legislative branch: | Federal Council or Bundesrat (61 seats; members appointed by state parliaments with each state receiving 3 to 12 seats in proportion to its population; members serve 5- or 6-year terms) |
| Legislative branch: | National Council or Nationalrat (183 seats; members directly elected in single-seat constituencies by proportional representation vote; members serve 5-year terms) (e.g. 2019) |
| Legislative branch: | elections: |
| Legislative branch: | Federal Council - last appointed - NA |
| Legislative branch: | National Council - last held on 29 September 2019 (next to be held in 2024); note - election was originally scheduled for 2022, but President VAN DER BELLEN called for an early election (e.g. 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Federal Council - percent of vote by party - NA; seats by party - NA; compositionÂ - men 44, women 17, percent of women 27.9%Â  |
| Legislative branch: | National Council - percent of vote by party - OeVP 37.5%, SPOe 21.2%, FPOe 16.2%, The Greens 13.9%, NEOS 8.1%, other 3.1%; seats by party - OeVP 71, SPOe 40, FPOe 31, The Greens 26,Â  NEOS 15; composition - men 115, women 68, percent of women 37.2%; note -Â total Federal Assembly percent of women 34.8% (e.g. 2019) |
| Judicial branch: | highest courts: Supreme Court of Justice or Oberster Gerichtshof (consists of 85 judges organized into 17 senates or panels of 5 judges each); Constitutional Court or Verfassungsgerichtshof (consists of 20 judges including 6 substitutes; Administrative Court or Verwaltungsgerichtshof - 2 judges plus other members depending on the importance of the case) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by executive branch departments and appointed by the president; judges serve for life; Constitutional Court judges nominated by several executive branch departments and approved by the president; judges serve for life; Administrative Court judges recommended by executive branch departments and appointed by the president; terms of judges and members determined by the president |
| Judicial branch: | subordinate courts: Courts of Appeal (4); Regional Courts (20); district courts (120); county courts |
| Political parties and leaders: | Austrian People's Party or OeVP [Sebastian KURZ] |
| Political parties and leaders: | Communist Party of Austria or KPOe [Mirko MESSNER] |
| Political parties and leaders: | Freedom Party of Austria or FPOe [Heinz-Christian STRACHE] |
| Political parties and leaders: | The Greens [Werner KOGLER] |
| Political parties and leaders: | NEOS - The New Austria [Beate MEINL-REISINGER] |
| Political parties and leaders: | NOW-Pilz List (JETZT-Liste Pilz) or PILZ [Maria STERN] |
| Political parties and leaders: | Social Democratic Party of Austria or SPOe [Pamela RENDI-WAGNER] |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, BSEC (observer), CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EMU, ESA, EU, FAO, FATF, G-9, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | Ambassador Wolfgang WALDNER (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 3524 International Court NW, Washington, DC 20008-3035 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 895-6750 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation in the US: | consulate(s): Chicago |
| Diplomatic representation from the US: | chief of mission: Ambassador Trevor TRAINA (since 24 May 2018) |
| Diplomatic representation from the US: | telephone: [43] (1) 31339-0 |
| Diplomatic representation from the US: | embassy: Boltzmanngasse 16, A-1090, Vienna |
| Diplomatic representation from the US: | mailing address: Boltzmanngasse 16, 1090 Vienna, Austria |
| Diplomatic representation from the US: | FAX: [43] (1) 3100682 |
| Flag description: | three equal horizontal bands of red (top), white, and red; the flag design is certainly one of the oldest - if not the oldest - national banners in the world; according to tradition, in 1191, following a fierce battle in the Third Crusade, Duke Leopold V of Austria's white tunic became completely blood-spattered; upon removal of his wide belt or sash, a white band was revealed; the red-white-red color combination was subsequently adopted as his banner |
| National symbol(s): | eagle, edelweiss, Alpine gentian; national colors: red, white |
| National anthem: | name: "Bundeshymne" (Federal Hymn) |
| National anthem: | lyrics/music: Paula von PRERADOVIC/Wolfgang Amadeus MOZART or Johann HOLZER (disputed) |
| National anthem: | note: adopted 1947; the anthem is also known as "Land der Berge, Land am Strome" (Land of the Mountains, Land by the River); Austria adopted a new national anthem after World War II to replace the former imperial anthem composed by Franz Josef HAYDN, which had been appropriated by Germany in 1922 and was thereafter associated with the Nazi regime; a gendered version of the lyrics was adopted by the Austrian Federal Assembly in fall 2011 and became effective 1 January 2012 |
