| Government | Vietnam |
| Diplomatic representation from the US: | telephone: [84] (24) 3850-5000 |
| Diplomatic representation from the US: | embassy: 7 Lang Ha Street, Hanoi |
| Diplomatic representation from the US: | mailing address: 7 Lang Ha Street, Ba Dinh District, Hanoi; 4550 Hanoi Place, Washington, DC 20521-4550 |
| Diplomatic representation from the US: | FAX: [84] (24) 3850-5010 |
| Diplomatic representation from the US: | consulate(s) general: Ho Chi Minh City |
| Flag description: | red field with a large yellow five-pointed star in the center; red symbolizes revolution and blood, the five-pointed star represents the five elements of the populace - peasants, workers, intellectuals, traders, and soldiers - that unite to build socialism |
| National symbol(s): | yellow, five-pointed star on red field; lotus blossom; national colors: red, yellow |
| National anthem: | name: "Tien quan ca" (The Song of the Marching Troops) |
| National anthem: | lyrics/music: Nguyen Van CAO |
| National anthem: | note: adopted as the national anthem of the Democratic Republic of Vietnam in 1945; it became the national anthem of the unified Socialist Republic of Vietnam in 1976; although it consists of two verses, only the first is used as the official anthem |
