| Government | Timor-Leste |
| Executive branch: | cabinet: the governing coalition in the Parliament proposes cabinet member candidates to the Prime Minister, who presents these recommendations to the President of the Republic for swearing in |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 20 March 2017 (next to be held in 2022); following parliamentary elections, the president appoints the leader of the majority party or majority coalition as the prime minister |
| Executive branch: | election results: Francisco GUTERRES elected president; percent of vote - Francisco GUTERRES (FRETILIN) 57.1%, Antonio DA CONCEICAO (PD) 32.5%, Jose Luis GUTERRES (Frenti-Mudanca) 2.6%, Jose NEVES (independent) 2.3%, Luis Alves TILMAN (independent) 2.2%, other 3.4% |
| Legislative branch: | description: unicameral National Parliament (65 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 12 May 2018 (next to be held in July 2023) |
| Legislative branch: | election results: percent of vote by party - AMP - 49.6%, FRETILIN 34.2%, PD 8.1%, DDF 5.5%, other 2.6%; seats by party - AMP 34, FRETILIN 23, PD 5, DDF 3; composition - men 39, women 26, percent of women 40% |
| Judicial branch: | highest courts: Court of Appeals (consists of the court president and NA judges) |
| Judicial branch: | judge selection and term of office: court president appointed by the president of the republic from among the other court judges to serve a 4-year term; other court judges appointed - 1 by the Parliament and the others by the Supreme Council for the Judiciary, a body chaired by the court president and that includes mostly presidential and parliamentary appointees; other judges serve for life |
| Judicial branch: | subordinate courts: Court of Appeal; High Administrative, Tax, and Audit Court; district courts; magistrates' courts; military courts |
| Judicial branch: | note: the UN Justice System Programme, launched in 2003 and being rolled out in 4 phases through 2018, is helping strengthen the country's justice system; the Programme is aligned with the country's long-range Justice Sector Strategic Plan, which includes legal reforms |
| Political parties and leaders: | Alliance for Change and Progress or AMP [Xanana GUSMAO] (alliance includes CNRT, KHUNTO, PLP) |
| Political parties and leaders: | Democratic Development Forum or DDF |
| Political parties and leaders: | Democratic Party or PD |
| Political parties and leaders: | Frenti-Mudanca [Jose Luis GUTERRES] |
| Political parties and leaders: | Kmanek Haburas Unidade Nasional Timor Oan or KHUNTO |
| Political parties and leaders: | National Congress for Timorese Reconstruction or CNRT [Kay Rala Xanana GUSMAO] |
| Political parties and leaders: | People's Liberation Party or PLP [Taur Matan RUAK] |
| Political parties and leaders: | Revolutionary Front of Independent Timor-Leste or FRETILIN [Mari ALKATIRI] |
| International organization participation: | ACP, ADB, AOSIS, ARF, ASEAN (observer), CPLP, EITI (compliant country), FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, MIGA, NAM, OPCW, PIF (observer), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WMO |
| Diplomatic representation in the US: | Ambassador Domingos Sarmento ALVES (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 4201 Connecticut Avenue NW, Suite 504, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-3202 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3205 |
| Diplomatic representation from the US: | chief of mission: Ambassador Kathleen FITZPATRICK (since 19 January 2018) |
| Diplomatic representation from the US: | telephone: (670) 332-4684 |
| Diplomatic representation from the US: | embassy: Avenida de Portugal, Praia dos Coqueiros, Dili |
| Diplomatic representation from the US: | mailing address: US Department of State, 8250 Dili Place, Washington, DC 20521-8250 |
| Diplomatic representation from the US: | FAX: (670) 331-3206 |
| Flag description: | red with a black isosceles triangle (based on the hoist side) superimposed on a slightly longer yellow arrowhead that extends to the center of the flag; a white star - pointing to the upper hoist-side corner of the flag - is in the center of the black triangle; yellow denotes the colonialism in Timor-Leste's past, black represents the obscurantism that needs to be overcome, red stands for the national liberation struggle; the white star symbolizes peace and serves as a guiding light |
| National symbol(s): | Mount Ramelau; national colors: red, yellow, black, white |
| National anthem: | name: "Patria" (Fatherland) |
| National anthem: | lyrics/music: Fransisco Borja DA COSTA/Afonso DE ARAUJO |
| National anthem: | note: adopted 2002; the song was first used as an anthem when Timor-Leste declared its independence from Portugal in 1975; the lyricist, Francisco Borja DA COSTA, was killed in the Indonesian invasion just days after independence was declared |
